experiment,algorithm,benchmark,seed,population_size,max_iterations,rho,temperature_start,temperature_min,best_fitness,known_optimum,gap_percent,success,valid_route,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,two_opt_calls,two_opt_candidate_checks,two_opt_improvements,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,memory_ranked_pool_rebuilds,memory_dirty_rebuilds,case_a_calls,case_a_successes,case_a_fallbacks,case_b_calls,case_b_successes,case_b_fallbacks,total_fitness_evaluations,best_route
edge-memory-ana-final,edge_memory_ana,dj38,1,50,2500,0.1,0.07,0.0005,6656,6656,0.0,True,True,44.839377641677856,28895,65910,405,2409,122186,4,25636,96,4,20523,82085,3,189506,1757500,63807,126568,126568,0,2485,2502,4794,4794,405,405,0,2409,2409,0,207143,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
edge-memory-ana-final,edge_memory_ana,dj38,2,50,2500,0.1,0.07,0.0005,6656,6656,0.0,True,True,39.27806329727173,28847,66054,217,2341,122442,4,28517,84,4,20523,82085,3,186162,1757500,63649,125850,125850,0,2397,2502,4730,4730,217,217,0,2341,2341,0,207143,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
edge-memory-ana-final,edge_memory_ana,dj38,3,50,2500,0.1,0.07,0.0005,6656,6656,0.0,True,True,38.38228797912598,28892,65890,257,2825,121918,4,28924,113,4,15730,62915,3,196536,1757500,63908,127081,127081,0,2670,2502,4911,4911,257,257,0,2825,2825,0,187973,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
edge-memory-ana-final,edge_memory_ana,dj38,4,50,2500,0.1,0.07,0.0005,6656,6656,0.0,True,True,40.66972470283508,28631,66072,52,2486,122462,2,21425,82,2,10939,43753,1,196726,1757500,63577,126049,126049,0,2675,2502,4979,4979,52,52,0,2486,2486,0,168807,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
edge-memory-ana-final,edge_memory_ana,dj38,5,50,2500,0.1,0.07,0.0005,6656,6656,0.0,True,True,33.67361640930176,28601,66465,216,2462,122322,2,22988,73,2,10939,43753,1,195738,1757500,63787,126492,126492,0,2649,2502,4899,4899,216,216,0,2462,2462,0,168807,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
edge-memory-ana-final,edge_memory_ana,dj38,6,50,2500,0.1,0.07,0.0005,6656,6656,0.0,True,True,36.27878761291504,28711,66316,240,2565,122195,5,19649,80,5,14155,56614,4,188062,1757500,63944,127024,127024,0,2447,2502,4758,4758,240,240,0,2565,2565,0,181674,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
edge-memory-ana-final,edge_memory_ana,dj38,7,50,2500,0.1,0.07,0.0005,6656,6656,0.0,True,True,38.981520891189575,28619,66410,118,2434,122448,2,28504,96,2,10157,40627,1,196612,1757500,63516,125933,125933,0,2672,2502,4946,4946,118,118,0,2434,2434,0,165681,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
edge-memory-ana-final,edge_memory_ana,dj38,8,50,2500,0.1,0.07,0.0005,6656,6656,0.0,True,True,38.31091785430908,28549,66837,124,2819,122057,3,24307,71,3,18045,72177,1,158574,1757500,63788,127352,127352,0,1670,2503,4043,4043,124,124,0,2819,2819,0,197233,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
edge-memory-ana-final,edge_memory_ana,dj38,9,50,2500,0.1,0.07,0.0005,6656,6656,0.0,True,True,37.835862159729004,29268,65590,372,2397,122231,4,28641,92,4,19847,79383,3,198550,1757500,64092,126899,126899,0,2723,2502,4961,4961,372,372,0,2397,2397,0,204441,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
edge-memory-ana-final,edge_memory_ana,dj38,10,50,2500,0.1,0.07,0.0005,6656,6656,0.0,True,True,47.351036071777344,28806,66135,121,2413,122466,4,29398,105,4,20523,82085,3,203718,1757500,63410,125687,125687,0,2859,2502,5067,5067,121,121,0,2413,2413,0,207143,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
