experiment,algorithm,benchmark,seed,population_size,max_iterations,rho,temperature_start,temperature_min,best_fitness,known_optimum,gap_percent,success,valid_route,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,two_opt_calls,two_opt_candidate_checks,two_opt_improvements,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,memory_ranked_pool_rebuilds,memory_dirty_rebuilds,case_a_calls,case_a_successes,case_a_fallbacks,case_b_calls,case_b_successes,case_b_fallbacks,total_fitness_evaluations,best_route
edge-memory-ana-final,edge_memory_ana,grid_9,1,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8608827590942383,1204,10595,1403,2011,10586,1,59,2,1,30,120,0,12231,25200,8730,18288,18288,0,657,702,1274,1274,1403,1403,0,2011,2011,0,14142,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,2,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8372089862823486,1111,10630,1300,2247,10453,1,75,4,1,30,120,0,13581,25200,8765,18344,18344,0,807,702,1424,1424,1300,1300,0,2247,2247,0,14142,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,3,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8302910327911377,1148,10655,1226,1698,11076,1,58,2,1,30,120,0,13248,25200,8379,17060,17060,0,770,702,1353,1353,1226,1226,0,1698,1698,0,14142,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,4,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.859583854675293,1141,10654,583,1987,11430,1,58,3,1,30,120,0,12717,25200,8282,17556,17556,0,711,702,1273,1273,583,583,0,1987,1987,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,5,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8206441402435303,1061,10692,1729,1750,10521,1,27,0,1,30,120,0,14076,25200,8647,17626,17626,0,862,702,1411,1411,1729,1729,0,1750,1750,0,14142,"[0, 1, 2, 5, 4, 8, 7, 6, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,6,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8711345195770264,1013,10945,1023,2594,10383,1,63,2,1,30,120,0,12438,25200,8850,19282,19282,0,680,702,1276,1276,1023,1023,0,2594,2594,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,7,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8639652729034424,1136,10638,987,2518,10495,1,62,2,1,30,120,0,13347,25200,8720,18742,18742,0,781,702,1358,1358,987,987,0,2518,2518,0,14142,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,8,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8461253643035889,1139,10655,1050,2355,10595,1,56,2,1,30,120,0,12690,25200,8624,18569,18569,0,708,702,1300,1300,1050,1050,0,2355,2355,0,14142,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,9,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8137311935424805,1154,10470,1710,1525,10765,1,40,1,1,30,120,0,14022,25200,8604,17208,17208,0,856,702,1418,1418,1710,1710,0,1525,1525,0,14142,"[0, 1, 2, 5, 8, 4, 7, 6, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,10,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.896132230758667,1156,10628,683,2415,10902,1,78,4,1,30,120,0,12600,25200,8514,18292,18292,0,698,702,1292,1292,683,683,0,2415,2415,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,11,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.9852356910705566,1142,10660,455,2144,11401,1,64,3,1,30,120,0,12438,25200,8232,17626,17626,0,680,702,1289,1289,455,455,0,2144,2144,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,12,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,1.6025807857513428,1176,10713,636,2244,11120,1,85,3,1,30,120,0,12087,25200,8464,18206,18206,0,641,702,1231,1231,636,636,0,2244,2244,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,13,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,1.354982852935791,1129,10787,584,2481,10935,2,114,3,2,60,240,0,12096,25200,8573,18622,18622,0,641,703,1262,1262,584,584,0,2481,2481,0,14264,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,14,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,2.518218755722046,1176,10597,644,1913,11443,1,70,4,1,30,120,0,12780,25200,8279,17413,17413,0,718,702,1279,1279,644,644,0,1913,1913,0,14142,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,15,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,4.3333189487457275,1085,10812,906,2762,10332,1,68,4,1,30,120,0,13122,25200,8813,19229,19229,0,756,702,1316,1316,906,906,0,2762,2762,0,14142,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,16,20,700,0.1,0.08,0.001,9.414213562373094,9.414213562373096,-1.8868881905335425e-14,True,True,1.1685206890106201,1173,10610,854,1996,11150,1,64,2,1,30,120,0,12618,25200,8441,17677,17677,0,700,702,1304,1304,854,854,0,1996,1996,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,17,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.9259941577911377,1175,10568,1160,2311,10529,2,96,3,2,60,240,0,12807,25200,8738,18395,18395,0,720,703,1298,1298,1160,1160,0,2311,2311,0,14264,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,18,20,700,0.1,0.08,0.001,9.414213562373094,9.414213562373096,-1.8868881905335425e-14,True,True,0.8967897891998291,1056,10804,1029,2404,10567,1,87,3,1,30,120,0,13248,25200,8748,18777,18777,0,770,702,1340,1340,1029,1029,0,2404,2404,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
