experiment,algorithm,benchmark,seed,population_size,max_iterations,rho,temperature_start,temperature_min,best_fitness,known_optimum,gap_percent,success,valid_route,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,two_opt_calls,two_opt_candidate_checks,two_opt_improvements,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,memory_ranked_pool_rebuilds,memory_dirty_rebuilds,case_a_calls,case_a_successes,case_a_fallbacks,case_b_calls,case_b_successes,case_b_fallbacks,total_fitness_evaluations,best_route
edge-memory-ana-final,edge_memory_ana,square_4,1,10,100,0.1,0.1,0.001,4.0,4.0,0.0,True,True,0.02778005599975586,34,860,894,34,72,0,0,0,0,0,0,0,576,600,964,1067,1067,0,43,101,136,136,894,894,0,34,34,0,1010,"[0, 1, 2, 3]"
edge-memory-ana-final,edge_memory_ana,square_4,2,10,100,0.1,0.1,0.001,4.0,4.0,0.0,True,True,0.025821685791015625,33,866,899,26,75,0,0,0,0,0,0,0,556,600,962,1052,1052,0,38,101,131,131,899,899,0,26,26,0,1010,"[0, 1, 2, 3]"
edge-memory-ana-final,edge_memory_ana,square_4,3,10,100,0.1,0.1,0.001,4.0,4.0,0.0,True,True,0.02741694450378418,28,888,916,19,65,0,0,0,0,0,0,0,548,600,972,1052,1052,0,36,101,128,128,916,916,0,19,19,0,1010,"[0, 1, 2, 3]"
edge-memory-ana-final,edge_memory_ana,square_4,4,10,100,0.1,0.1,0.001,4.0,4.0,0.0,True,True,0.02490687370300293,27,885,912,21,67,0,0,0,0,0,0,0,528,600,977,1066,1066,0,31,101,125,125,912,912,0,21,21,0,1010,"[0, 1, 2, 3]"
edge-memory-ana-final,edge_memory_ana,square_4,5,10,100,0.1,0.1,0.001,4.0,4.0,0.0,True,True,0.024685144424438477,29,869,898,21,81,0,0,0,0,0,0,0,548,600,952,1029,1029,0,36,101,128,128,898,898,0,21,21,0,1010,"[0, 1, 2, 3]"
edge-memory-ana-final,edge_memory_ana,square_4,6,10,100,0.1,0.1,0.001,4.0,4.0,0.0,True,True,0.024938583374023438,29,854,883,25,92,0,0,0,0,0,0,0,544,600,947,1029,1029,0,35,101,127,127,883,883,0,25,25,0,1010,"[0, 1, 2, 3]"
edge-memory-ana-final,edge_memory_ana,square_4,7,10,100,0.1,0.1,0.001,4.0,4.0,0.0,True,True,0.025029659271240234,33,860,893,23,84,0,0,0,0,0,0,0,572,600,957,1043,1043,0,42,101,132,132,893,893,0,23,23,0,1010,"[0, 1, 2, 3]"
edge-memory-ana-final,edge_memory_ana,square_4,8,10,100,0.1,0.1,0.001,4.0,4.0,0.0,True,True,0.02548837661743164,26,881,907,24,69,0,0,0,0,0,0,0,544,600,973,1061,1061,0,35,101,131,131,907,907,0,24,24,0,1010,"[0, 1, 2, 3]"
edge-memory-ana-final,edge_memory_ana,square_4,9,10,100,0.1,0.1,0.001,4.0,4.0,0.0,True,True,0.02938079833984375,34,871,905,24,71,0,0,0,0,0,0,0,568,600,964,1049,1049,0,41,101,132,132,905,905,0,24,24,0,1010,"[0, 1, 2, 3]"
edge-memory-ana-final,edge_memory_ana,square_4,10,10,100,0.1,0.1,0.001,4.0,4.0,0.0,True,True,0.024507761001586914,24,916,940,17,43,0,0,0,0,0,0,0,524,600,980,1039,1039,0,30,101,125,125,940,940,0,17,17,0,1010,"[0, 1, 2, 3]"
