experiment,algorithm,benchmark,seed,population_size,max_iterations,rho,temperature_start,temperature_min,best_fitness,known_optimum,gap_percent,success,valid_route,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,two_opt_calls,two_opt_candidate_checks,two_opt_improvements,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,memory_ranked_pool_rebuilds,memory_dirty_rebuilds,case_a_calls,case_a_successes,case_a_fallbacks,case_b_calls,case_b_successes,case_b_fallbacks,total_fitness_evaluations,best_route
edge-memory-ana-final,edge_memory_ana,wi29,1,30,6666,0.2,0.03,0.0001,27603,27603,0.0,True,True,36.262152910232544,22612,152556,18585,12725,168670,3,8668,53,3,8700,34800,0,412467,2706396,115320,233927,233927,0,7553,6670,13379,13379,18585,18585,0,12725,12725,0,234816,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
edge-memory-ana-final,edge_memory_ana,wi29,2,30,6666,0.2,0.03,0.0001,27603,27603,0.0,True,True,42.02293062210083,22156,153598,19990,12072,167918,2,9843,57,2,5800,23200,0,411684,2706396,116090,234583,234583,0,7527,6669,13404,13404,19990,19990,0,12072,12072,0,223214,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
edge-memory-ana-final,edge_memory_ana,wi29,3,30,6666,0.2,0.03,0.0001,27603,27603,0.0,True,True,38.91830587387085,22400,153551,10926,11154,177900,5,9920,50,5,11996,47982,2,430128,2706396,110915,223546,223546,0,8162,6670,14126,14126,10926,10926,0,11154,11154,0,248002,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
edge-memory-ana-final,edge_memory_ana,wi29,4,30,6666,0.2,0.03,0.0001,27603,27603,0.0,True,True,34.354647636413574,22882,152305,16930,10812,172238,2,7582,47,2,5800,23200,0,417107,2706396,113912,229287,229287,0,7714,6669,13682,13682,16930,16930,0,10812,10812,0,223214,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
edge-memory-ana-final,edge_memory_ana,wi29,5,30,6666,0.2,0.03,0.0001,27603,27603,0.0,True,True,41.012152671813965,22407,153120,18988,10291,170701,3,9111,58,3,7687,30747,1,421515,2706396,114742,230596,230596,0,7866,6669,13731,13731,18988,18988,0,10291,10291,0,230763,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
edge-memory-ana-final,edge_memory_ana,wi29,6,30,6666,0.2,0.03,0.0001,27603,27603,0.0,True,True,35.34351968765259,21099,155535,18503,13093,168384,3,10687,69,3,8700,34800,0,401679,2706396,115880,235416,235416,0,7181,6670,13174,13174,18503,18503,0,13093,13093,0,234816,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
edge-memory-ana-final,edge_memory_ana,wi29,7,30,6666,0.2,0.03,0.0001,27603,27603,0.0,True,True,33.94064927101135,22887,151978,20778,12756,166446,2,7013,45,2,5800,23200,0,411452,2706396,116709,236886,236886,0,7519,6669,13465,13465,20778,20778,0,12756,12756,0,223214,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
edge-memory-ana-final,edge_memory_ana,wi29,8,30,6666,0.2,0.03,0.0001,27603,27603,0.0,True,True,41.15405464172363,22587,153000,16764,11048,172168,1,12306,82,1,2900,11600,0,414787,2706396,113721,229557,229557,0,7635,6668,13587,13587,16764,16764,0,11048,11048,0,211612,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
edge-memory-ana-final,edge_memory_ana,wi29,9,30,6666,0.2,0.03,0.0001,27603,27603,0.0,True,True,36.51539945602417,20827,156571,6757,13893,179330,2,10741,72,2,5800,23200,0,405971,2706396,110434,226554,226554,0,7330,6669,13376,13376,6757,6757,0,13893,13893,0,223214,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
edge-memory-ana-final,edge_memory_ana,wi29,10,30,6666,0.2,0.03,0.0001,27603,27603,0.0,True,True,35.24816131591797,22489,152790,19336,12136,168508,2,8184,60,2,5800,23200,0,421602,2706396,115684,233486,233486,0,7869,6669,13818,13818,19336,19336,0,12136,12136,0,223214,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
