experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,best_route
baseline_parameters_v1,berlin52,1,52,60,3000,0.08,0.06,0.0005,180060,10051,7542,2509,33.267037920975866,no,9.413052064999647,9335,157818,153343,76,26581,"[0, 35, 38, 39, 36, 33, 34, 48, 31, 44, 18, 7, 40, 2, 17, 21, 30, 20, 22, 29, 41, 1, 6, 16, 3, 50, 10, 51, 13, 12, 26, 27, 11, 32, 8, 9, 42, 24, 25, 46, 28, 19, 49, 15, 43, 45, 47, 5, 14, 4, 23, 37]"
baseline_parameters_v1,berlin52,2,52,60,3000,0.08,0.06,0.0005,180060,9899,7542,2357,31.25165738530894,no,9.341923986998154,8340,159004,154261,75,25664,"[0, 21, 2, 16, 6, 1, 41, 30, 17, 44, 31, 48, 43, 28, 29, 20, 22, 19, 49, 15, 45, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 24, 25, 26, 27, 11, 3, 9, 8, 7, 40, 18, 42, 32, 50, 10, 51, 13, 12, 46]"
baseline_parameters_v1,berlin52,3,52,60,3000,0.08,0.06,0.0005,180060,9850,7542,2308,30.60196234420578,no,9.307700824003405,8639,158654,154202,73,25725,"[0, 34, 33, 45, 24, 11, 27, 26, 12, 51, 13, 25, 46, 28, 22, 30, 17, 21, 48, 35, 36, 23, 47, 43, 15, 49, 19, 29, 1, 6, 41, 20, 16, 2, 31, 38, 4, 5, 3, 14, 37, 39, 44, 18, 40, 7, 8, 9, 42, 32, 10, 50]"
baseline_parameters_v1,berlin52,4,52,60,3000,0.08,0.06,0.0005,180060,10511,7542,2969,39.366215857862635,no,9.656469036999624,9756,156373,151495,74,28431,"[0, 35, 38, 37, 23, 47, 34, 21, 17, 2, 40, 18, 44, 31, 48, 39, 14, 3, 42, 32, 50, 11, 10, 51, 13, 12, 9, 8, 7, 16, 6, 1, 41, 29, 20, 30, 22, 19, 15, 45, 43, 33, 36, 4, 5, 24, 27, 26, 25, 46, 28, 49]"
baseline_parameters_v1,berlin52,5,52,60,3000,0.08,0.06,0.0005,180060,12839,7542,5297,70.23335985149828,no,10.023420839999744,12240,152582,148997,79,30924,"[0, 35, 38, 39, 9, 8, 41, 6, 1, 29, 24, 11, 50, 12, 26, 45, 15, 22, 30, 17, 2, 31, 36, 37, 4, 14, 42, 32, 10, 51, 13, 20, 16, 40, 7, 18, 44, 21, 19, 49, 28, 46, 25, 27, 3, 5, 23, 47, 43, 33, 34, 48]"
baseline_parameters_v1,berlin52,6,52,60,3000,0.08,0.06,0.0005,180060,11029,7542,3487,46.23442057809599,no,9.416558939999959,9884,156696,153447,73,26480,"[0, 17, 2, 40, 18, 44, 35, 34, 33, 19, 22, 20, 30, 21, 31, 48, 38, 39, 11, 50, 3, 5, 14, 4, 43, 49, 29, 41, 1, 6, 16, 7, 8, 9, 42, 32, 10, 51, 26, 27, 24, 47, 23, 37, 36, 45, 15, 28, 46, 13, 12, 25]"
baseline_parameters_v1,berlin52,7,52,60,3000,0.08,0.06,0.0005,180060,10441,7542,2899,38.43808008485813,no,9.394346933000634,9126,157859,153725,81,26194,"[0, 22, 29, 19, 49, 15, 45, 47, 23, 37, 36, 43, 28, 46, 25, 26, 12, 13, 51, 10, 32, 9, 8, 40, 2, 16, 17, 48, 34, 33, 24, 27, 11, 50, 3, 5, 4, 31, 44, 18, 7, 42, 14, 39, 38, 35, 21, 1, 6, 41, 20, 30]"
baseline_parameters_v1,berlin52,8,52,60,3000,0.08,0.06,0.0005,180060,10397,7542,2855,37.85468045611244,no,9.246119225997973,8879,158964,155286,76,24638,"[0, 7, 8, 9, 42, 31, 30, 20, 41, 6, 1, 29, 22, 36, 32, 50, 10, 51, 25, 45, 33, 34, 43, 15, 49, 19, 28, 46, 13, 12, 26, 27, 11, 24, 3, 5, 47, 23, 4, 14, 37, 39, 38, 35, 44, 18, 40, 2, 16, 17, 21, 48]"
baseline_parameters_v1,berlin52,9,52,60,3000,0.08,0.06,0.0005,180060,11195,7542,3653,48.43542826836383,no,9.455595991999871,9840,156859,153128,70,26802,"[0, 31, 18, 40, 16, 41, 20, 2, 17, 48, 35, 34, 33, 38, 39, 36, 37, 23, 3, 50, 10, 51, 13, 12, 11, 5, 4, 14, 42, 32, 9, 8, 7, 44, 49, 19, 22, 30, 21, 47, 24, 27, 26, 25, 46, 1, 6, 29, 28, 15, 45, 43]"
baseline_parameters_v1,berlin52,10,52,60,3000,0.08,0.06,0.0005,180060,11044,7542,3502,46.43330681516839,no,9.895656272998167,10794,154547,149248,74,30678,"[0, 8, 9, 10, 51, 13, 12, 26, 11, 50, 5, 23, 47, 37, 39, 38, 35, 34, 36, 24, 27, 25, 46, 28, 29, 22, 19, 49, 15, 21, 17, 2, 16, 6, 1, 41, 20, 30, 4, 14, 42, 32, 3, 45, 43, 33, 48, 44, 7, 40, 18, 31]"
