experiment,benchmark,case_a_mode,case_b_mode,seed,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,valid_route,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_invalid_routes,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_memory_direction_calls,case_b_memory_direction_insertions,case_b_memory_direction_fallbacks,case_b_memory_direction_invalid_routes,case_b_anti_similarity_calls,case_b_anti_similarity_high_similarity,case_b_anti_similarity_insertions,case_b_anti_similarity_fallbacks,case_b_anti_similarity_invalid_routes,mean_case_b_similarity_to_global_best,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,memory_failed_insertions,total_fitness_evaluations,best_route
v11-adaptiveA-caseB-anti-similarity,berlin52,adaptive_memory_escape,anti_similarity_memory_direction,1,8116,7542,574,7.610713338636966,no,99.16862750600194,yes,36,36,0,0,1524,1524,0,1524,0,0,0,0,0,1524,529,1524,0,0,0.720712194629513,0,0,0,0,0,401382,"[0, 21, 31, 48, 35, 34, 33, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 45, 15, 28, 46, 25, 27, 11, 26, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 2, 16, 17, 30, 20, 41, 6, 1, 29, 22, 19, 49, 43]"
v11-adaptiveA-caseB-anti-similarity,berlin52,adaptive_memory_escape,anti_similarity_memory_direction,2,7542,7542,0,0.0,yes,168.02547434100052,yes,26,26,0,0,1347,1347,0,1347,0,0,0,0,0,1347,383,1347,0,0,0.7137085260693267,0,0,0,0,0,725012,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-anti-similarity,berlin52,adaptive_memory_escape,anti_similarity_memory_direction,3,7775,7542,233,3.0893662158578628,no,75.20224577299814,yes,293,293,0,0,1740,1740,0,1740,0,0,0,0,0,1740,745,1740,0,0,0.7498342175066306,0,0,0,0,0,306248,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 50, 11, 24, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 42, 32, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-anti-similarity,berlin52,adaptive_memory_escape,anti_similarity_memory_direction,4,7981,7542,439,5.820737204985415,no,94.1228311440027,yes,3,3,0,0,1346,1346,0,1346,0,0,0,0,0,1346,247,1346,0,0,0.7002085952680295,0,0,0,0,0,406766,"[0, 21, 31, 44, 9, 8, 7, 40, 18, 2, 16, 17, 30, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 45, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 35, 33, 34, 48]"
v11-adaptiveA-caseB-anti-similarity,berlin52,adaptive_memory_escape,anti_similarity_memory_direction,5,7892,7542,350,4.64067886502254,no,150.94606186799865,yes,12,12,0,0,1531,1531,0,1531,0,0,0,0,0,1531,476,1531,0,0,0.7180827011003363,0,0,0,0,0,652500,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48, 34, 33, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 45, 43]"
v11-adaptiveA-caseB-anti-similarity,berlin52,adaptive_memory_escape,anti_similarity_memory_direction,6,8078,7542,536,7.106868204720233,no,120.74878066800011,yes,8,8,0,0,1325,1325,0,1325,0,0,0,0,0,1325,219,1325,0,0,0.6901596516690853,0,0,0,0,0,516198,"[0, 21, 17, 30, 20, 41, 1, 6, 16, 2, 40, 8, 9, 7, 18, 44, 31, 48, 35, 34, 33, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 42, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 45, 15, 28, 29, 22, 19, 49, 43]"
v11-adaptiveA-caseB-anti-similarity,berlin52,adaptive_memory_escape,anti_similarity_memory_direction,7,8339,7542,797,10.5674887297799,no,107.27612242200121,yes,1,1,0,0,1451,1451,0,1451,0,0,0,0,0,1451,392,1451,0,0,0.7080793086995676,0,0,0,0,0,439648,"[0, 21, 30, 17, 2, 44, 18, 40, 7, 8, 9, 32, 50, 10, 51, 13, 12, 26, 11, 27, 25, 46, 28, 29, 41, 1, 6, 16, 20, 22, 19, 49, 15, 45, 24, 3, 42, 14, 5, 4, 23, 47, 37, 36, 39, 38, 35, 34, 33, 43, 48, 31]"
v11-adaptiveA-caseB-anti-similarity,berlin52,adaptive_memory_escape,anti_similarity_memory_direction,8,7755,7542,213,2.824184566428003,no,124.63426265400267,yes,8,8,0,0,1500,1500,0,1500,0,0,0,0,0,1500,444,1500,0,0,0.7195897435897421,0,0,0,0,0,511236,"[0, 21, 31, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 3, 5, 14, 4, 23, 47, 37, 39, 38, 36, 45, 15, 28, 29, 1, 6, 41, 20, 16, 2, 17, 30, 22, 19, 49, 43, 33, 34, 35, 48]"
v11-adaptiveA-caseB-anti-similarity,berlin52,adaptive_memory_escape,anti_similarity_memory_direction,9,7596,7542,54,0.7159904534606205,no,122.84645308900144,yes,4,4,0,0,1971,1971,0,1971,0,0,0,0,0,1971,988,1971,0,0,0.7599129688170742,0,0,0,0,0,526738,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-anti-similarity,berlin52,adaptive_memory_escape,anti_similarity_memory_direction,10,7954,7542,412,5.462741978255105,no,135.97977098400224,yes,27,27,0,0,1232,1232,0,1232,0,0,0,0,0,1232,227,1232,0,0,0.6925418331668316,0,0,0,0,0,569617,"[0, 21, 31, 48, 35, 34, 33, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 27, 26, 25, 46, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 2, 17, 30, 20, 16, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43]"
