experiment,benchmark,case_a_mode,case_b_mode,seed,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,valid_route,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_invalid_routes,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_memory_direction_calls,case_b_memory_direction_insertions,case_b_memory_direction_fallbacks,case_b_memory_direction_invalid_routes,case_b_anti_similarity_calls,case_b_anti_similarity_high_similarity,case_b_anti_similarity_insertions,case_b_anti_similarity_fallbacks,case_b_anti_similarity_invalid_routes,mean_case_b_similarity_to_global_best,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,memory_failed_insertions,total_fitness_evaluations,best_route
v11-adaptiveA-caseB-control,berlin52,adaptive_memory_escape,v9_original,1,7912,7542,370,4.9058605144523995,no,93.48844710299818,yes,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,384493,"[0, 21, 31, 44, 18, 40, 7, 8, 9, 32, 42, 3, 24, 11, 50, 10, 51, 13, 12, 26, 27, 25, 46, 28, 29, 1, 6, 41, 20, 16, 2, 17, 30, 22, 19, 49, 15, 43, 45, 47, 23, 4, 5, 14, 37, 36, 39, 38, 33, 34, 35, 48]"
v11-adaptiveA-caseB-control,berlin52,adaptive_memory_escape,v9_original,2,8024,7542,482,6.390877751259612,no,138.00245476300188,yes,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,567070,"[0, 21, 31, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 26, 11, 27, 25, 46, 28, 29, 1, 6, 41, 16, 2, 17, 30, 20, 22, 19, 49, 15, 43, 45, 24, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 35, 33, 34, 48]"
v11-adaptiveA-caseB-control,berlin52,adaptive_memory_escape,v9_original,3,8210,7542,668,8.857067090957306,no,75.94480270899658,yes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,337377,"[0, 21, 31, 44, 18, 7, 9, 8, 40, 2, 16, 17, 30, 20, 41, 6, 1, 29, 22, 19, 49, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 11, 50, 32, 42, 3, 24, 5, 14, 4, 23, 47, 37, 39, 38, 36, 45, 43, 33, 34, 35, 48]"
v11-adaptiveA-caseB-control,berlin52,adaptive_memory_escape,v9_original,4,7751,7542,209,2.7711482365420315,no,113.28874479799924,yes,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,479998,"[0, 21, 17, 30, 22, 19, 49, 28, 29, 1, 6, 41, 20, 16, 2, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 3, 5, 14, 4, 23, 47, 37, 39, 36, 45, 15, 43, 33, 34, 35, 38, 48, 31]"
v11-adaptiveA-caseB-control,berlin52,adaptive_memory_escape,v9_original,5,8010,7542,468,6.205250596658711,no,136.447241312002,yes,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,571777,"[0, 21, 17, 2, 16, 30, 20, 41, 6, 1, 29, 22, 19, 49, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48, 35, 34, 33, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 45, 43]"
v11-adaptiveA-caseB-control,berlin52,adaptive_memory_escape,v9_original,6,7542,7542,0,0.0,yes,97.07254691499838,yes,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,400752,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-control,berlin52,adaptive_memory_escape,v9_original,7,8036,7542,494,6.549986740917529,no,145.14566624800136,yes,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,620702,"[0, 21, 48, 31, 44, 18, 7, 9, 8, 40, 2, 17, 30, 20, 16, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 47, 23, 4, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 14, 37, 36, 39, 38, 35, 34, 33, 43]"
v11-adaptiveA-caseB-control,berlin52,adaptive_memory_escape,v9_original,8,7775,7542,233,3.0893662158578628,no,73.98956310299764,yes,286,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,292081,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 50, 11, 24, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 42, 32, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-control,berlin52,adaptive_memory_escape,v9_original,9,7848,7542,306,4.05727923627685,no,119.72337682599755,yes,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,465172,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 45, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-control,berlin52,adaptive_memory_escape,v9_original,10,8024,7542,482,6.390877751259612,no,108.04967635299909,yes,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,443745,"[0, 21, 30, 17, 2, 44, 18, 40, 7, 8, 9, 42, 32, 50, 11, 10, 51, 13, 12, 26, 27, 25, 46, 28, 29, 1, 6, 41, 16, 20, 22, 19, 49, 15, 45, 24, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 35, 34, 33, 43, 48, 31]"
