experiment,benchmark,case_a_mode,case_b_mode,seed,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,valid_route,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_invalid_routes,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_memory_direction_calls,case_b_memory_direction_insertions,case_b_memory_direction_fallbacks,case_b_memory_direction_invalid_routes,case_b_anti_similarity_calls,case_b_anti_similarity_high_similarity,case_b_anti_similarity_insertions,case_b_anti_similarity_fallbacks,case_b_anti_similarity_invalid_routes,mean_case_b_similarity_to_global_best,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,memory_failed_insertions,total_fitness_evaluations,best_route
v11-adaptiveA-caseB-memory-direction,berlin52,adaptive_memory_escape,memory_direction,1,8116,7542,574,7.610713338636966,no,99.81352061600046,yes,120,120,0,0,1423,1423,0,1423,0,1423,1423,0,0,0,0,0,0,0,0.0,0,0,0,0,0,401382,"[0, 21, 31, 48, 35, 34, 33, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 45, 15, 28, 46, 25, 27, 11, 26, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 2, 16, 17, 30, 20, 41, 6, 1, 29, 22, 19, 49, 43]"
v11-adaptiveA-caseB-memory-direction,berlin52,adaptive_memory_escape,memory_direction,2,7895,7542,353,4.680456112437019,no,170.6708564119981,yes,30,30,0,0,1378,1378,0,1378,0,1378,1378,0,0,0,0,0,0,0,0.0,0,0,0,0,0,703908,"[0, 21, 31, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 26, 46, 25, 27, 11, 24, 3, 5, 14, 4, 23, 47, 37, 39, 36, 45, 15, 28, 29, 41, 1, 6, 16, 2, 17, 30, 20, 22, 19, 49, 43, 33, 34, 35, 38, 48]"
v11-adaptiveA-caseB-memory-direction,berlin52,adaptive_memory_escape,memory_direction,3,7775,7542,233,3.0893662158578628,no,79.40284927999892,yes,166,166,0,0,1501,1501,0,1501,0,1501,1501,0,0,0,0,0,0,0,0.0,0,0,0,0,0,306248,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 50, 11, 24, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 42, 32, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-memory-direction,berlin52,adaptive_memory_escape,memory_direction,4,7959,7542,417,5.52903739061257,no,94.54715504900014,yes,8,8,0,0,1396,1396,0,1396,0,1396,1396,0,0,0,0,0,0,0,0.0,0,0,0,0,0,404550,"[0, 21, 31, 44, 18, 9, 8, 7, 40, 2, 16, 17, 30, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 45, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 33, 34, 35, 48]"
v11-adaptiveA-caseB-memory-direction,berlin52,adaptive_memory_escape,memory_direction,5,7885,7542,343,4.5478652877220895,no,168.45660949999728,yes,11,11,0,0,1467,1467,0,1467,0,1467,1467,0,0,0,0,0,0,0,0.0,0,0,0,0,0,736651,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48, 35, 34, 33, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 45, 43]"
v11-adaptiveA-caseB-memory-direction,berlin52,adaptive_memory_escape,memory_direction,6,8344,7542,802,10.633784142137364,no,85.1958243299996,yes,2,2,0,0,1290,1290,0,1290,0,1290,1290,0,0,0,0,0,0,0,0.0,0,0,0,0,0,346215,"[0, 21, 17, 30, 20, 41, 1, 6, 16, 2, 40, 8, 9, 7, 18, 44, 31, 48, 35, 34, 33, 38, 39, 36, 37, 4, 14, 5, 23, 47, 45, 24, 3, 42, 32, 50, 10, 51, 13, 12, 26, 11, 27, 25, 46, 28, 29, 22, 19, 49, 15, 43]"
v11-adaptiveA-caseB-memory-direction,berlin52,adaptive_memory_escape,memory_direction,7,8019,7542,477,6.324582338902148,no,164.78782010699797,yes,10,10,0,0,1397,1397,0,1397,0,1397,1397,0,0,0,0,0,0,0,0.0,0,0,0,0,0,688427,"[0, 21, 30, 17, 2, 44, 18, 40, 7, 8, 9, 42, 32, 50, 11, 10, 51, 13, 12, 26, 27, 25, 46, 28, 29, 41, 1, 6, 16, 20, 22, 19, 49, 15, 45, 24, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 35, 34, 33, 43, 48, 31]"
v11-adaptiveA-caseB-memory-direction,berlin52,adaptive_memory_escape,memory_direction,8,7542,7542,0,0.0,yes,163.20506974700038,yes,14,14,0,0,1365,1365,0,1365,0,1365,1365,0,0,0,0,0,0,0,0.0,0,0,0,0,0,664961,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-memory-direction,berlin52,adaptive_memory_escape,memory_direction,9,7596,7542,54,0.7159904534606205,no,107.96512359999906,yes,217,217,0,0,1484,1484,0,1484,0,1484,1484,0,0,0,0,0,0,0,0.0,0,0,0,0,0,461273,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-memory-direction,berlin52,adaptive_memory_escape,memory_direction,10,7734,7542,192,2.5457438345266508,no,131.65491449199908,yes,48,48,0,0,1408,1408,0,1408,0,1408,1408,0,0,0,0,0,0,0,0.0,0,0,0,0,0,554839,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 27, 26, 25, 46, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
