experiment,benchmark,case_a_mode,case_b_mode,seed,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,valid_route,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_invalid_routes,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_memory_direction_calls,case_b_memory_direction_insertions,case_b_memory_direction_fallbacks,case_b_memory_direction_invalid_routes,case_b_anti_similarity_calls,case_b_anti_similarity_high_similarity,case_b_anti_similarity_insertions,case_b_anti_similarity_fallbacks,case_b_anti_similarity_invalid_routes,mean_case_b_similarity_to_global_best,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,memory_failed_insertions,total_fitness_evaluations,best_route
v11-adaptiveA-caseB-mini-reconstruction,berlin52,adaptive_memory_escape,mini_reconstruction,1,7734,7542,192,2.5457438345266508,no,103.63485283400223,yes,14,14,0,0,2044,2044,0,6132,0,0,0,0,0,0,0,0,0,0,0.0,2044,6132,0,0,0,444386,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 27, 26, 25, 46, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-mini-reconstruction,berlin52,adaptive_memory_escape,mini_reconstruction,2,7788,7542,246,3.2617342879872715,no,153.6218000959998,yes,39,39,0,0,2289,2289,0,6867,0,0,0,0,0,0,0,0,0,0,0.0,2289,6867,0,0,0,665203,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 27, 26, 25, 46, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-mini-reconstruction,berlin52,adaptive_memory_escape,mini_reconstruction,3,7596,7542,54,0.7159904534606205,no,116.90724091000084,yes,18,18,0,0,2052,2052,0,6156,0,0,0,0,0,0,0,0,0,0,0.0,2052,6156,0,0,0,482798,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-mini-reconstruction,berlin52,adaptive_memory_escape,mini_reconstruction,4,7715,7542,173,2.2938212675682843,no,98.60178555899984,yes,7,7,0,0,1797,1797,0,5391,0,0,0,0,0,0,0,0,0,0,0.0,1797,5391,0,0,0,394535,"[0, 21, 17, 30, 22, 19, 49, 15, 28, 29, 1, 6, 41, 20, 16, 2, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 3, 5, 14, 4, 23, 47, 37, 39, 38, 36, 45, 43, 33, 34, 35, 48, 31]"
v11-adaptiveA-caseB-mini-reconstruction,berlin52,adaptive_memory_escape,mini_reconstruction,5,8122,7542,580,7.690267833465924,no,116.96379545300078,yes,3,3,0,0,2172,2172,0,6516,0,0,0,0,0,0,0,0,0,0,0.0,2172,6516,0,0,0,475226,"[0, 21, 30, 20, 41, 1, 6, 16, 2, 17, 44, 18, 40, 7, 8, 9, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 3, 42, 14, 5, 4, 23, 47, 37, 39, 36, 45, 15, 28, 29, 22, 19, 49, 43, 33, 34, 35, 38, 48, 31]"
v11-adaptiveA-caseB-mini-reconstruction,berlin52,adaptive_memory_escape,mini_reconstruction,6,7861,7542,319,4.229647308406259,no,112.72854880700106,yes,29,29,0,0,2281,2281,0,6843,0,0,0,0,0,0,0,0,0,0,0.0,2281,6843,0,0,0,492024,"[0, 21, 30, 20, 22, 19, 49, 28, 29, 1, 6, 41, 16, 2, 17, 31, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 3, 5, 14, 4, 23, 47, 37, 39, 36, 45, 15, 43, 33, 34, 35, 38, 48]"
v11-adaptiveA-caseB-mini-reconstruction,berlin52,adaptive_memory_escape,mini_reconstruction,7,7596,7542,54,0.7159904534606205,no,159.19858630999806,yes,28,28,0,0,1869,1869,0,5607,0,0,0,0,0,0,0,0,0,0,0.0,1869,5607,0,0,0,685359,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-mini-reconstruction,berlin52,adaptive_memory_escape,mini_reconstruction,8,8114,7542,572,7.58419517369398,no,114.53233948300112,yes,38,38,0,0,2052,2052,0,6156,0,0,0,0,0,0,0,0,0,0,0.0,2052,6156,0,0,0,484156,"[0, 21, 17, 30, 22, 19, 49, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 24, 3, 42, 32, 50, 11, 10, 51, 13, 12, 26, 27, 25, 46, 28, 29, 1, 6, 41, 20, 16, 2, 40, 8, 9, 7, 18, 44, 31, 48]"
v11-adaptiveA-caseB-mini-reconstruction,berlin52,adaptive_memory_escape,mini_reconstruction,9,7596,7542,54,0.7159904534606205,no,148.22474026200143,yes,41,41,0,0,1992,1992,0,5976,0,0,0,0,0,0,0,0,0,0,0.0,1992,5976,0,0,0,671280,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-adaptiveA-caseB-mini-reconstruction,berlin52,adaptive_memory_escape,mini_reconstruction,10,7542,7542,0,0.0,yes,105.8642371019996,yes,20,20,0,0,2034,2034,0,6102,0,0,0,0,0,0,0,0,0,0,0.0,2034,6102,0,0,0,454581,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
