experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v11-all,v11,berlin52,1,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7912,7542,370,4.9058605144523995,no,90.34669617399777,48367,84603,47,2654,177299,2,39104,156416,0,2,0,0,0,0,0,48013,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246376,3978000,89768,175974,175974,0,1735,3003,8.264747562983892,94.96969438667075,4624,100.0,227210100,4624,175974,0,adaptive_memory_escape,47,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384493,"[0, 21, 31, 44, 18, 40, 7, 8, 9, 32, 42, 3, 24, 11, 50, 10, 51, 13, 12, 26, 27, 25, 46, 28, 29, 1, 6, 41, 20, 16, 2, 17, 30, 22, 19, 49, 15, 43, 45, 47, 23, 4, 5, 14, 37, 36, 39, 38, 33, 34, 35, 48]"
v11-all,v11,berlin52,2,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8024,7542,482,6.390877751259612,no,131.18994660299722,48128,85018,22,2357,177621,7,83495,333975,4,7,0,0,0,0,0,53021,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225472,3978000,89991,176680,176680,0,1332,3004,8.192973492331829,99.78534072900159,4215,100.0,228688590,4215,176680,0,adaptive_memory_escape,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567070,"[0, 21, 31, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 26, 11, 27, 25, 46, 28, 29, 1, 6, 41, 16, 2, 17, 30, 20, 22, 19, 49, 15, 43, 45, 24, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 35, 33, 34, 48]"
v11-all,v11,berlin52,3,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8210,7542,668,8.857067090957306,no,75.76098672400258,49112,82724,2,2413,177585,1,19552,78208,0,1,0,0,0,0,0,79107,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232388,3978000,90224,176824,176824,0,1467,3002,8.218618617328564,97.93969709994118,4422,100.0,228605052,4422,176824,0,adaptive_memory_escape,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337377,"[0, 21, 31, 44, 18, 7, 9, 8, 40, 2, 16, 17, 30, 20, 41, 6, 1, 29, 22, 19, 49, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 11, 50, 32, 42, 3, 24, 5, 14, 4, 23, 47, 37, 39, 38, 36, 45, 43, 33, 34, 35, 48]"
v11-all,v11,berlin52,4,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7751,7542,209,2.7711482365420315,no,108.85006110500035,48271,84949,20,2578,177402,3,58656,234624,0,3,0,0,0,0,0,65308,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221104,3978000,90140,176426,176426,0,1248,3004,8.046523154590151,97.1849273916543,4167,100.0,228415434,4167,176426,0,adaptive_memory_escape,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479998,"[0, 21, 17, 30, 22, 19, 49, 28, 29, 1, 6, 41, 20, 16, 2, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 3, 5, 14, 4, 23, 47, 37, 39, 36, 45, 15, 43, 33, 34, 35, 38, 48, 31]"
v11-all,v11,berlin52,5,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8010,7542,468,6.205250596658711,no,128.079888338998,48123,84945,37,2558,177405,5,79385,317533,4,5,0,0,0,0,0,74174,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236964,3978000,90159,177085,177085,0,1555,3002,8.328783015551192,102.18452720444984,4454,100.0,228908706,4454,177085,0,adaptive_memory_escape,37,37,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571777,"[0, 21, 17, 2, 16, 30, 20, 41, 6, 1, 29, 22, 19, 49, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48, 35, 34, 33, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 45, 43]"
v11-all,v11,berlin52,6,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7542,7542,0,0.0,yes,95.0014172930023,48161,85048,119,2373,177508,3,40582,162327,1,3,0,0,0,0,0,58359,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220012,3978000,89769,175649,175649,0,1228,3003,8.042242654603623,94.85991380537321,4154,100.0,227402370,4154,175649,0,adaptive_memory_escape,119,119,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400752,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-all,v11,berlin52,7,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8036,7542,494,6.549986740917529,no,140.78239342599772,49073,83571,60,2289,177651,5,95083,380330,2,5,0,0,0,0,0,60302,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215644,3978000,89973,176551,176551,0,1143,3004,8.22701662219932,100.63983211649891,4125,100.0,228636876,4125,176551,0,adaptive_memory_escape,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620702,"[0, 21, 48, 31, 44, 18, 7, 9, 8, 40, 2, 17, 30, 20, 16, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 47, 23, 4, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 14, 37, 36, 39, 38, 35, 34, 33, 43]"
v11-all,v11,berlin52,8,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7775,7542,233,3.0893662158578628,no,70.62209185299798,48538,83913,286,2678,177036,1,19552,78208,0,1,0,0,0,0,0,33811,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245180,3978000,89972,175788,175788,0,1713,3002,8.104541032033449,94.19438186906956,4667,100.0,226906446,4667,175788,0,adaptive_memory_escape,286,286,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292081,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 50, 11, 24, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 42, 32, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-all,v11,berlin52,9,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7848,7542,306,4.05727923627685,no,108.70503590799854,47480,85839,11,3082,176907,4,60846,243381,1,4,0,0,0,0,0,41723,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259012,3978000,89844,176143,176143,0,1977,3004,8.10642783993851,93.9775580068467,4895,100.0,227074848,4895,176143,0,adaptive_memory_escape,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465172,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 45, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-all,v11,berlin52,10,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8024,7542,482,6.390877751259612,no,98.26614441100173,47889,85483,35,2554,177411,3,48466,193861,2,3,0,0,0,0,0,69818,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242996,3978000,89781,175435,175435,0,1671,3002,8.272979345952225,100.98325875680452,4589,100.0,226541796,4589,175435,0,adaptive_memory_escape,35,35,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443745,"[0, 21, 30, 17, 2, 44, 18, 40, 7, 8, 9, 42, 32, 50, 11, 10, 51, 13, 12, 26, 27, 25, 46, 28, 29, 1, 6, 41, 16, 20, 22, 19, 49, 15, 45, 24, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 35, 34, 33, 43, 48, 31]"
