experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_b_mode,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v11-finale,v11,berlin52,1,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7734,7542,192,2.5457438345266508,no,99.1563510440028,49102,82914,14,2044,177942,7,50980,203911,5,7,0,0,0,0,0,60401,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244036,3978000,90947,180026,180026,0,1690,3003,8.049462365242329,95.81456567384711,4658,100.0,232537968,4658,180026,0,adaptive_memory_escape,mini_reconstruction,2044,2044,0,6132,0,2044,6132,0,0,14,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444386,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 27, 26, 25, 46, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-finale,v11,berlin52,2,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7788,7542,246,3.2617342879872715,no,145.04556668299847,48673,83734,39,2289,177672,6,102633,410528,3,6,0,0,0,0,0,74603,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241852,3978000,90904,180465,180465,0,1647,3004,8.001406089981165,95.5084254564597,4555,100.0,233256660,4555,180465,0,adaptive_memory_escape,mini_reconstruction,2289,2289,0,6867,0,2289,6867,0,0,39,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665203,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 27, 26, 25, 46, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-finale,v11,berlin52,3,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7596,7542,54,0.7159904534606205,no,104.52338087300086,49419,82139,18,2052,177930,3,55826,223301,1,3,0,0,0,0,0,79431,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249912,3978000,90868,179811,179811,0,1803,3003,8.186660739873377,94.98305442937307,4687,100.0,232214424,4687,179811,0,adaptive_memory_escape,mini_reconstruction,2052,2052,0,6156,0,2052,6156,0,0,18,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482798,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-finale,v11,berlin52,4,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7715,7542,173,2.2938212675682843,no,91.41293575300006,47983,85096,7,1797,178196,2,39104,156416,0,2,0,0,0,0,0,58055,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246844,3978000,91395,180914,180914,0,1744,3003,8.287660648621284,91.21664437246426,4648,100.0,233728716,4648,180914,0,adaptive_memory_escape,mini_reconstruction,1797,1797,0,5391,0,1797,5391,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394535,"[0, 21, 17, 30, 22, 19, 49, 15, 28, 29, 1, 6, 41, 20, 16, 2, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 3, 5, 14, 4, 23, 47, 37, 39, 38, 36, 45, 43, 33, 34, 35, 48, 31]"
v11-finale,v11,berlin52,5,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8122,7542,580,7.690267833465924,no,109.23494248499992,48146,85142,3,2172,177825,3,58603,234412,1,3,0,0,0,0,0,60748,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221052,3978000,91054,180992,180992,0,1248,3003,8.286876969392058,104.14442074787836,4121,100.0,234530946,4121,180992,0,adaptive_memory_escape,mini_reconstruction,2172,2172,0,6516,0,2172,6516,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475226,"[0, 21, 30, 20, 41, 1, 6, 16, 2, 17, 44, 18, 40, 7, 8, 9, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 3, 42, 14, 5, 4, 23, 47, 37, 39, 36, 45, 15, 28, 29, 22, 19, 49, 43, 33, 34, 35, 38, 48, 31]"
v11-finale,v11,berlin52,6,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7861,7542,319,4.229647308406259,no,106.97676327900263,48339,85052,29,2281,177690,3,58560,234240,1,3,0,0,0,0,0,77718,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242476,3978000,91469,181711,181711,0,1660,3003,8.12316551950663,90.35270291837038,4580,100.0,234875706,4580,181711,0,adaptive_memory_escape,mini_reconstruction,2281,2281,0,6843,0,2281,6843,0,0,29,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492024,"[0, 21, 30, 20, 22, 19, 49, 28, 29, 1, 6, 41, 16, 2, 17, 31, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 3, 5, 14, 4, 23, 47, 37, 39, 36, 45, 15, 43, 33, 34, 35, 38, 48]"
v11-finale,v11,berlin52,7,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7596,7542,54,0.7159904534606205,no,150.2380081379997,48965,82891,28,1869,178103,9,108667,434658,6,9,0,0,0,0,0,70623,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247884,3978000,90895,180040,180040,0,1763,3004,8.095649734768616,91.30509886691846,4688,100.0,232516752,4688,180040,0,adaptive_memory_escape,mini_reconstruction,1869,1869,0,5607,0,1869,5607,0,0,28,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685359,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-finale,v11,berlin52,8,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8114,7542,572,7.58419517369398,no,107.97538773499764,49096,83229,38,2052,177910,3,58656,234624,0,3,0,0,0,0,0,69466,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229944,3978000,91100,180961,180961,0,1418,3004,8.22752864532078,98.94129674349722,4369,100.0,234160992,4369,180961,0,adaptive_memory_escape,mini_reconstruction,2052,2052,0,6156,0,2052,6156,0,0,38,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484156,"[0, 21, 17, 30, 22, 19, 49, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 24, 3, 42, 32, 50, 11, 10, 51, 13, 12, 26, 27, 25, 46, 28, 29, 1, 6, 41, 20, 16, 2, 40, 8, 9, 7, 18, 44, 31, 48]"
v11-finale,v11,berlin52,9,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7596,7542,54,0.7159904534606205,no,143.05678088200148,48562,84389,41,1992,177967,7,100244,400975,2,7,0,0,0,0,0,90231,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220844,3978000,90891,180271,180271,0,1241,3006,8.196409437972491,107.09540636042402,4222,100.0,233440974,4222,180271,0,adaptive_memory_escape,mini_reconstruction,1992,1992,0,5976,0,1992,5976,0,0,41,41,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671280,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v11-finale,v11,berlin52,10,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7542,7542,0,0.0,yes,100.99084562700227,47672,85591,20,2034,177946,5,50149,200592,3,5,0,0,0,0,0,73919,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255944,3978000,90953,179960,179960,0,1919,3003,8.277476264926309,96.33530784618804,4810,100.0,232248900,4810,179960,0,adaptive_memory_escape,mini_reconstruction,2034,2034,0,6102,0,2034,6102,0,0,20,20,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454581,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
