experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v5_all,v5,berlin52,1,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,180060,7875,7542,333,4.41527446300716,no,101.25383986399902,53670,86416,44314,1777,133909,6,76533,306128,4,6,0,0,0,0,0,73407,177,559607,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 36, 37, 14, 5, 4, 23, 47, 45, 24, 27, 26, 25, 46, 12, 13, 51, 10, 50, 11, 3, 42, 32, 9, 8, 7, 40, 18, 44, 31, 48]"
v5_all,v5,berlin52,2,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,180060,8109,7542,567,7.5178997613365155,no,100.59690013599902,55792,82778,40221,1900,137879,4,71602,286404,2,4,0,0,0,0,0,42898,137,509370,"[0, 43, 33, 34, 35, 38, 39, 36, 37, 14, 42, 3, 5, 4, 23, 47, 45, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 9, 8, 7, 40, 18, 44, 2, 16, 6, 1, 41, 29, 28, 15, 49, 19, 22, 20, 30, 17, 21, 31, 48]"
v5_all,v5,berlin52,3,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,180060,7658,7542,116,1.538053566693185,no,99.00872858099865,53591,86400,45066,1923,133011,4,71081,284322,2,4,0,0,0,0,0,61124,150,525514,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 36, 37, 14, 3, 5, 4, 23, 47, 45, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v5_all,v5,berlin52,4,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,180060,7797,7542,255,3.381066030230708,no,74.62275694299933,55895,83502,41523,1825,136652,5,43191,172760,3,5,0,0,0,0,0,51878,162,404708,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 5, 14, 42, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 9, 8, 7, 40, 18, 44, 31, 48]"
v5_all,v5,berlin52,5,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,180060,7848,7542,306,4.05727923627685,no,93.63605727899994,53029,87366,45138,1733,133129,7,62630,250511,4,7,0,0,0,0,0,52225,152,482810,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 45, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 11, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v5_all,v5,berlin52,6,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,180060,7967,7542,425,5.6351100503845135,no,82.03691030899972,52415,86982,45778,1864,132358,4,51237,204941,3,4,0,0,0,0,0,68269,141,453278,"[0, 21, 31, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 26, 11, 27, 25, 46, 28, 29, 1, 6, 41, 20, 16, 2, 17, 30, 22, 19, 49, 15, 43, 45, 24, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 33, 34, 35, 48]"
v5_all,v5,berlin52,7,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,180060,7950,7542,408,5.409705648369133,no,67.58522459099913,53081,87614,47032,1872,131096,3,34805,139219,2,3,0,0,0,0,0,42081,151,361366,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 45, 36, 47, 23, 4, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 9, 8, 7, 40, 18, 44, 42, 14, 37, 39, 38, 33, 34, 35, 48, 31]"
v5_all,v5,berlin52,8,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,180060,7984,7542,442,5.860514452399894,no,77.5669657060007,53025,87482,45731,1744,132525,5,46263,185046,3,5,0,0,0,0,0,52103,147,417219,"[0, 33, 34, 35, 38, 39, 36, 37, 14, 5, 4, 23, 47, 45, 43, 15, 49, 19, 22, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 28, 46, 25, 27, 26, 12, 13, 51, 10, 50, 11, 24, 3, 42, 32, 9, 8, 7, 40, 18, 44, 31, 48]"
v5_all,v5,berlin52,9,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,180060,7542,7542,0,0.0,yes,53.48299814799975,54006,86249,44200,1879,133921,2,20182,80725,1,2,0,0,0,0,0,61597,162,322386,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v5_all,v5,berlin52,10,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,180060,8029,7542,487,6.457173163617077,no,122.03699773400149,51799,89228,45998,1812,132190,5,95146,380583,1,5,0,0,0,0,0,64963,135,625616,"[0, 21, 31, 44, 18, 9, 8, 7, 40, 2, 16, 17, 30, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 45, 36, 47, 23, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 14, 4, 37, 39, 38, 33, 34, 35, 48]"
