experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v9-edge-memory-final-50runs,v9,berlin52,1,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7596,7542,54,0.7159904534606205,no,133.59514628500074,47993,84934,37,2434,177529,6,79792,319164,2,6,0,0,0,0,0,63397,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236288,3978000,89858,176073,176073,0,1539,3005,8.228030864178209,100.93968410829599,4505,100.0,227499168,4505,176073,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562633,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v9-edge-memory-final-50runs,v9,berlin52,2,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7967,7542,425,5.6351100503845135,no,137.27570458599985,48123,85128,23,2696,177281,7,83495,333975,4,7,0,0,0,0,0,55201,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226356,3978000,90108,176691,176691,0,1349,3004,8.230150632956999,98.54756608995365,4262,100.0,228640854,4262,176691,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569250,"[0, 21, 31, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 26, 11, 27, 25, 46, 28, 29, 1, 6, 41, 20, 16, 2, 17, 30, 22, 19, 49, 15, 43, 45, 24, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 33, 34, 35, 48]"
v9-edge-memory-final-50runs,v9,berlin52,3,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7962,7542,420,5.568814638027049,no,112.97647151700039,47865,84986,57,2540,177403,4,60908,243626,3,4,0,0,0,0,0,59816,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241488,3978000,89939,175925,175925,0,1642,3002,8.345024632834114,98.80186443086542,4526,100.0,227275074,4526,175925,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483510,"[0, 21, 17, 30, 22, 19, 49, 15, 45, 24, 11, 50, 10, 51, 13, 12, 26, 27, 25, 46, 28, 29, 1, 6, 41, 20, 16, 2, 44, 18, 40, 7, 8, 9, 32, 42, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 35, 34, 33, 43, 48, 31]"
v9-edge-memory-final-50runs,v9,berlin52,4,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7732,7542,190,2.519225669583665,no,121.74128723099966,47879,85561,96,2709,177195,4,78180,312718,1,4,0,0,0,0,0,62233,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211952,3978000,90097,177406,177406,0,1072,3004,8.018907017795366,97.55031396908785,4006,100.0,229928400,4006,177406,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555019,"[0, 21, 17, 30, 22, 19, 49, 28, 29, 1, 6, 41, 20, 16, 2, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 3, 5, 14, 4, 23, 47, 37, 39, 38, 36, 45, 15, 43, 33, 34, 35, 48, 31]"
v9-edge-memory-final-50runs,v9,berlin52,5,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8039,7542,497,6.589763988332008,no,151.3213794259991,49142,83102,54,2224,177722,6,114939,459748,4,6,0,0,0,0,0,57356,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215748,3978000,90117,176840,176840,0,1146,3003,8.133291285766768,101.4588724270527,4129,100.0,229014786,4129,176840,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697176,"[0, 21, 30, 17, 16, 2, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 26, 11, 27, 25, 46, 28, 29, 1, 6, 41, 20, 22, 19, 49, 15, 43, 45, 24, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 33, 34, 35, 48, 31]"
v9-edge-memory-final-50runs,v9,berlin52,6,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,8271,7542,729,9.665871121718377,no,94.01798768700064,49189,83267,9,2513,177478,3,48505,194019,1,3,0,0,0,0,0,54539,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214032,3978000,90014,176814,176814,0,1113,3003,8.15017685350283,103.0060402456819,4105,100.0,229012134,4105,176814,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428624,"[0, 21, 17, 30, 20, 41, 1, 6, 16, 2, 40, 7, 8, 9, 18, 44, 31, 48, 35, 34, 33, 38, 39, 36, 37, 23, 47, 45, 24, 3, 5, 4, 14, 42, 32, 50, 11, 10, 51, 13, 12, 26, 27, 25, 46, 28, 29, 22, 19, 49, 15, 43]"
v9-edge-memory-final-50runs,v9,berlin52,7,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7596,7542,54,0.7159904534606205,no,164.58609031199921,48627,83730,183,2601,177216,10,132927,531702,5,10,0,0,0,0,0,52250,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241904,3978000,89964,176202,176202,0,1646,3006,8.178092680469748,95.16508325671673,4600,100.0,227544252,4600,176202,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764032,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34, 35, 38, 39, 37, 36, 45, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48]"
v9-edge-memory-final-50runs,v9,berlin52,8,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7775,7542,233,3.0893662158578628,no,68.11437994699918,48531,83472,173,2714,177113,1,19552,78208,0,1,0,0,0,0,0,33811,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248612,3978000,89689,175734,175734,0,1779,3002,8.066584744861462,93.65372096463975,4609,100.0,226911750,4609,175734,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292081,"[0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 15, 28, 46, 25, 27, 26, 12, 13, 51, 10, 50, 11, 24, 45, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 42, 32, 9, 8, 7, 40, 18, 44, 31, 48]"
v9-edge-memory-final-50runs,v9,berlin52,9,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7745,7542,203,2.6915937417130733,no,136.57512317400142,48469,84095,70,2612,177318,7,99290,397156,3,7,0,0,0,0,0,68899,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237692,3978000,90036,176211,176211,0,1566,3005,8.134629440997832,98.6277928165665,4451,100.0,227753760,4451,176211,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646129,"[0, 21, 31, 48, 35, 34, 33, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 2, 16, 17, 30, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 45, 43]"
v9-edge-memory-final-50runs,v9,berlin52,10,52,60,3000,0.08,0.06,0.0005,0.06,0.0005,,,,,,180060,7966,7542,424,5.62185096791302,no,134.46694882599877,49162,83666,109,2423,177468,5,95146,380583,1,5,0,0,0,0,0,74189,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230516,3978000,89797,176105,176105,0,1428,3005,8.267448004018068,99.99546293404504,4338,100.0,227763042,4338,176105,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634842,"[0, 21, 31, 44, 18, 7, 9, 8, 40, 2, 16, 17, 30, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 45, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 42, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 33, 34, 35, 48]"
