experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,best_route
baseline_parameters_v1,dj38,1,38,50,2500,0.1,0.07,0.0005,125050,10294,6656,3638,54.65745192307692,no,5.322016643000097,7583,107163,103735,73,21192,"[0, 1, 5, 6, 15, 16, 17, 18, 26, 30, 35, 33, 32, 27, 23, 21, 36, 37, 34, 28, 20, 9, 13, 7, 8, 12, 14, 19, 22, 29, 31, 25, 24, 11, 10, 4, 2, 3]"
baseline_parameters_v1,dj38,2,38,50,2500,0.1,0.07,0.0005,125050,9724,6656,3068,46.09375,no,4.9467208400019445,6048,110833,108005,75,16920,"[0, 1, 27, 26, 30, 35, 33, 32, 37, 36, 34, 25, 24, 22, 20, 13, 9, 3, 2, 4, 6, 5, 12, 14, 18, 17, 16, 15, 11, 10, 8, 7, 23, 21, 19, 29, 31, 28]"
baseline_parameters_v1,dj38,3,38,50,2500,0.1,0.07,0.0005,125050,10554,6656,3898,58.56370192307692,no,5.499232246002066,8114,106205,101818,95,23087,"[0, 1, 3, 2, 4, 5, 21, 34, 36, 37, 35, 30, 27, 23, 14, 12, 6, 7, 8, 15, 16, 17, 18, 24, 25, 29, 31, 28, 22, 19, 11, 10, 26, 33, 32, 20, 13, 9]"
baseline_parameters_v1,dj38,4,38,50,2500,0.1,0.07,0.0005,125050,9106,6656,2450,36.80889423076923,no,4.793717939999624,5486,112163,110046,70,14884,"[0, 1, 9, 13, 20, 28, 25, 22, 19, 14, 12, 21, 32, 33, 35, 30, 26, 18, 17, 16, 10, 11, 15, 23, 27, 36, 37, 34, 31, 29, 24, 8, 7, 6, 5, 4, 2, 3]"
baseline_parameters_v1,dj38,5,38,50,2500,0.1,0.07,0.0005,125050,9839,6656,3183,47.82151442307692,no,5.0344811440008925,6545,109834,107023,62,17915,"[0, 1, 2, 4, 6, 8, 11, 10, 26, 27, 23, 21, 22, 24, 25, 30, 35, 33, 32, 37, 36, 34, 13, 3, 5, 7, 15, 16, 17, 18, 12, 14, 19, 29, 31, 28, 20, 9]"
baseline_parameters_v1,dj38,6,38,50,2500,0.1,0.07,0.0005,125050,8772,6656,2116,31.790865384615383,no,4.894142045999615,5402,111925,109356,58,15586,"[0, 1, 3, 2, 4, 6, 5, 14, 21, 23, 36, 37, 34, 31, 29, 28, 25, 24, 22, 19, 12, 7, 8, 10, 11, 15, 16, 17, 18, 27, 26, 30, 35, 33, 32, 20, 13, 9]"
baseline_parameters_v1,dj38,7,38,50,2500,0.1,0.07,0.0005,125050,8957,6656,2301,34.5703125,no,5.160979750999104,6298,109751,106657,76,18267,"[0, 1, 12, 14, 19, 22, 24, 13, 9, 20, 28, 29, 25, 21, 23, 16, 17, 18, 26, 30, 35, 33, 32, 37, 36, 34, 31, 27, 15, 11, 10, 8, 7, 6, 5, 4, 2, 3]"
baseline_parameters_v1,dj38,8,38,50,2500,0.1,0.07,0.0005,125050,10655,6656,3999,60.08112980769231,no,5.004508833997534,6461,110111,107763,57,17180,"[0, 1, 32, 33, 37, 36, 34, 13, 9, 3, 2, 4, 5, 6, 7, 15, 16, 17, 18, 26, 30, 35, 27, 23, 21, 22, 19, 14, 12, 8, 10, 11, 24, 25, 29, 31, 28, 20]"
baseline_parameters_v1,dj38,9,38,50,2500,0.1,0.07,0.0005,125050,9854,6656,3198,48.046875,no,5.126248183998541,6140,110180,107648,59,17293,"[0, 1, 19, 22, 24, 25, 36, 37, 35, 30, 26, 5, 2, 4, 6, 10, 11, 16, 18, 17, 15, 8, 7, 12, 14, 13, 9, 20, 28, 29, 31, 34, 32, 33, 27, 23, 21, 3]"
baseline_parameters_v1,dj38,10,38,50,2500,0.1,0.07,0.0005,125050,10629,6656,3973,59.69050480769231,no,5.110961102000147,6788,109258,107072,69,17859,"[0, 20, 28, 19, 5, 6, 4, 2, 3, 1, 9, 13, 15, 16, 17, 18, 26, 30, 35, 33, 32, 37, 36, 34, 23, 21, 14, 12, 7, 8, 11, 10, 27, 31, 29, 25, 24, 22]"
