experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v11-all,v11,dj38,1,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,44.90106850200027,28666,66146,129,2437,122434,5,23576,94295,4,5,0,0,0,0,0,32870,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200412,1757500,62557,121702,121702,0,2772,2502,7.750609439093352,148.83028216463165,5001,100.0,82040803,5001,121702,0,adaptive_memory_escape,129,129,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252225,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-all,v11,dj38,2,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,37.398895510999864,28890,65809,33,2453,122514,4,13091,52358,3,4,0,0,0,0,0,27718,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193154,1757500,62289,120549,120549,0,2581,2502,7.433071777941638,140.20682046304822,4852,100.0,81334991,4852,120549,0,adaptive_memory_escape,33,33,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205134,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-all,v11,dj38,3,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,38.729525185000966,28949,65951,21,2628,122351,2,14212,56848,0,2,0,0,0,0,0,25413,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163286,1757500,62549,121640,121640,0,1794,2503,7.581558314451112,151.26460046037488,4193,100.0,82565241,4193,121640,0,adaptive_memory_escape,21,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207315,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-all,v11,dj38,4,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,39.74140012499993,28531,66374,200,2246,122554,3,16254,65014,2,3,0,0,0,0,0,44887,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197866,1757500,62614,121445,121445,0,2705,2502,7.434417724626055,144.44712421260652,4961,100.0,81888252,4961,121445,0,adaptive_memory_escape,200,200,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234957,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-all,v11,dj38,5,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,36.736421675999736,28986,65933,53,2415,122532,2,10939,43753,1,2,0,0,0,0,0,23230,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192964,1757500,62557,121549,121549,0,2576,2502,7.767184813851415,147.117639799587,4871,100.0,82024634,4871,121549,0,adaptive_memory_escape,53,53,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192037,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-all,v11,dj38,6,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,35.74823106400072,28570,66460,142,2416,122442,2,10939,43753,1,2,0,0,0,0,0,26439,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189354,1757500,62508,121550,121550,0,2481,2502,7.457906216870106,140.83045660222132,4792,100.0,82080874,4792,121550,0,adaptive_memory_escape,142,142,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195246,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-all,v11,dj38,7,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,42.29690181100159,28779,66222,98,2465,122437,4,19741,78959,3,4,0,0,0,0,0,24467,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197942,1757500,62566,122077,122077,0,2707,2502,7.628822400245812,147.4803034150577,4971,100.0,82325518,4971,122077,0,adaptive_memory_escape,98,98,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228484,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-all,v11,dj38,8,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,45.118690081999375,28776,65606,347,2342,122311,5,23576,94295,4,5,0,0,0,0,0,21183,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193610,1757500,62435,121416,121416,0,2593,2502,7.538688749959465,145.65875996573763,4850,100.0,81945898,4850,121416,0,adaptive_memory_escape,347,347,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240538,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-all,v11,dj38,9,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,42.076884868998604,28765,66441,132,2668,122200,4,19609,78433,3,4,0,0,0,0,0,22321,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195054,1757500,62842,122477,122477,0,2631,2502,7.6580887050093756,147.70222980641265,4901,100.0,82655928,4901,122477,0,adaptive_memory_escape,132,132,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225812,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-all,v11,dj38,10,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,42.044932633001736,28906,66082,106,2348,122546,3,18045,72177,1,3,0,0,0,0,0,21198,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192280,1757500,62323,121315,121315,0,2557,2503,7.501218677800492,149.83766228413634,4756,100.0,81940977,4756,121315,0,adaptive_memory_escape,106,106,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218431,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
