experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_b_mode,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v11-finale,v11,dj38,1,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,41.96045971700005,28895,65910,405,2409,122186,4,20523,82085,3,4,0,0,0,0,0,25636,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189506,1757500,63807,126568,126568,0,2485,2502,7.707025869286592,141.1318974780355,4794,100.0,85607122,4794,126568,0,adaptive_memory_escape,mini_reconstruction,2409,2409,0,7227,0,2409,7227,0,0,405,405,0,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232779,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-finale,v11,dj38,2,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,41.62902963900342,28847,66054,217,2341,122442,4,20523,82085,3,4,0,0,0,0,0,28517,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186162,1757500,63649,125850,125850,0,2397,2502,7.452020453390601,143.88009535160907,4730,100.0,85147360,4730,125850,0,adaptive_memory_escape,mini_reconstruction,2341,2341,0,7023,0,2341,7023,0,0,217,217,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235660,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-finale,v11,dj38,3,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,38.76366983600019,28892,65890,257,2825,121918,4,15730,62915,3,4,0,0,0,0,0,28924,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196536,1757500,63908,127081,127081,0,2670,2502,7.691167565648341,143.9196732792471,4911,100.0,85885510,4911,127081,0,adaptive_memory_escape,mini_reconstruction,2825,2825,0,8475,0,2825,8475,0,0,257,257,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216897,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-finale,v11,dj38,4,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,35.493846343997575,28631,66072,52,2486,122462,2,10939,43753,1,2,0,0,0,0,0,21425,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196726,1757500,63577,126049,126049,0,2675,2502,7.4793370939950075,141.50426421471016,4979,100.0,85112210,4979,126049,0,adaptive_memory_escape,mini_reconstruction,2486,2486,0,7458,0,2486,7458,0,0,52,52,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190232,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-finale,v11,dj38,5,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,35.43344954599888,28601,66465,216,2462,122322,2,10939,43753,1,2,0,0,0,0,0,22988,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195738,1757500,63787,126492,126492,0,2649,2502,7.793752944083461,144.2172153179648,4899,100.0,85479879,4899,126492,0,adaptive_memory_escape,mini_reconstruction,2462,2462,0,7386,0,2462,7386,0,0,216,216,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191795,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-finale,v11,dj38,6,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,37.54987451899797,28711,66316,240,2565,122195,5,14155,56614,4,5,0,0,0,0,0,19649,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188062,1757500,63944,127024,127024,0,2447,2502,7.544950668927065,147.40005825670738,4758,100.0,85952998,4758,127024,0,adaptive_memory_escape,mini_reconstruction,2565,2565,0,7695,0,2565,7695,0,0,240,240,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201323,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-finale,v11,dj38,7,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,34.94502257400018,28619,66410,118,2434,122448,2,10157,40627,1,2,0,0,0,0,0,28504,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196612,1757500,63516,125933,125933,0,2672,2502,7.571170435380758,144.80025886781067,4946,100.0,85053861,4946,125933,0,adaptive_memory_escape,mini_reconstruction,2434,2434,0,7302,0,2434,7302,0,0,118,118,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194185,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-finale,v11,dj38,8,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,40.31557481699929,28549,66837,124,2819,122057,3,18045,72177,1,3,0,0,0,0,0,24307,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158574,1757500,63788,127352,127352,0,1670,2503,7.485845952542313,150.62492932973177,4043,100.0,86686227,4043,127352,0,adaptive_memory_escape,mini_reconstruction,2819,2819,0,8457,0,2819,8457,0,0,124,124,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221540,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-finale,v11,dj38,9,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,41.42968675500015,29268,65590,372,2397,122231,4,19847,79383,3,4,0,0,0,0,0,28641,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198550,1757500,64092,126899,126899,0,2723,2502,7.7260241226619275,142.8037573188126,4961,100.0,85722414,4961,126899,0,adaptive_memory_escape,mini_reconstruction,2397,2397,0,7191,0,2397,7191,0,0,372,372,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233082,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v11-finale,v11,dj38,10,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,42.06472609000048,28806,66135,121,2413,122466,4,20523,82085,3,4,0,0,0,0,0,29398,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203718,1757500,63410,125687,125687,0,2859,2502,7.716621668254029,146.42093454374756,5067,100.0,84795860,5067,125687,0,adaptive_memory_escape,mini_reconstruction,2413,2413,0,7239,0,2413,7239,0,0,121,121,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236541,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
