experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v5_all,v5,dj38,1,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,125050,6656,6656,0,0.0,yes,25.220336702999703,31289,67587,35897,1391,87712,2,10939,43753,1,2,0,0,0,0,0,28296,103,197103,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v5_all,v5,dj38,2,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,125050,6656,6656,0,0.0,yes,31.991088913000567,31677,66854,35689,1508,87803,4,20523,82085,3,4,0,0,0,0,0,31586,110,238729,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v5_all,v5,dj38,3,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,125050,6656,6656,0,0.0,yes,31.438081551999858,31926,66609,34879,1346,88775,4,19609,78433,3,4,0,0,0,0,0,27530,111,231021,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v5_all,v5,dj38,4,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,125050,6656,6656,0,0.0,yes,29.42379035399972,31772,66951,35443,1374,88183,3,16222,64886,2,3,0,0,0,0,0,23011,87,212953,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v5_all,v5,dj38,5,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,125050,6656,6656,0,0.0,yes,24.723478118999992,31851,66899,34962,1412,88626,2,10157,40627,1,2,0,0,0,0,0,26334,100,192015,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v5_all,v5,dj38,6,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,125050,6656,6656,0,0.0,yes,26.527952115999142,31800,66767,35900,1350,87750,4,13091,52358,3,4,0,0,0,0,0,21306,97,198722,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v5_all,v5,dj38,7,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,125050,6656,6656,0,0.0,yes,24.731272537999757,31862,66691,35360,1408,88232,2,10939,43753,1,2,0,0,0,0,0,27787,103,196594,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v5_all,v5,dj38,8,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,125050,6656,6656,0,0.0,yes,30.076177187000212,31534,67167,35642,1518,87840,4,19528,78109,3,4,0,0,0,0,0,27292,98,230459,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v5_all,v5,dj38,9,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,125050,6656,6656,0,0.0,yes,23.509744290000526,31696,66871,35074,1396,88530,2,10157,40627,1,2,0,0,0,0,0,28034,98,193715,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v5_all,v5,dj38,10,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,125050,6656,6656,0,0.0,yes,27.092326542999217,31759,66985,36087,1216,87697,4,15709,62831,3,4,0,0,0,0,0,22374,82,210263,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
