experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v9-edge-memory-final-50runs,v9,dj38,1,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,38.339035176000834,29207,65742,204,2398,122398,3,12318,49268,2,3,0,0,0,0,0,27821,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186694,1757500,62399,121676,121676,0,2411,2502,7.581089096535,143.45767447976593,4664,100.0,82259436,4664,121676,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202145,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v9-edge-memory-final-50runs,v9,dj38,2,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,39.37914492900018,28781,66187,431,2406,122163,4,13091,52358,3,4,0,0,0,0,0,27718,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195016,1757500,61955,120048,120048,0,2630,2502,7.537205993199453,142.72821704651471,4917,100.0,80937093,4917,120048,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205134,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v9-edge-memory-final-50runs,v9,dj38,3,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,41.019517910001014,28896,66017,263,2413,122324,4,15709,62831,3,4,0,0,0,0,0,34090,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195890,1757500,62054,120222,120222,0,2653,2502,7.681699478454481,146.15107051953885,4855,100.0,81103001,4855,120222,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221979,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v9-edge-memory-final-50runs,v9,dj38,4,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,43.249457324000105,28647,66111,489,2351,122160,3,16254,65014,2,3,0,0,0,0,0,44887,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203110,1757500,62334,121011,121011,0,2843,2502,7.440695317894393,143.98418325606764,5079,100.0,81500196,5079,121011,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234957,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v9-edge-memory-final-50runs,v9,dj38,5,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,37.248497278000286,28471,66552,118,2662,122220,2,10157,40627,1,2,0,0,0,0,0,22895,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189506,1757500,62314,121176,121176,0,2485,2502,7.702520094181491,155.86166402587972,4739,100.0,81855211,4739,121176,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188576,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v9-edge-memory-final-50runs,v9,dj38,6,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,43.7585722040003,29012,65591,111,2503,122386,4,19741,78959,3,4,0,0,0,0,0,29235,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187188,1757500,62222,121086,121086,0,2424,2502,7.6188069951203286,144.94730191764532,4717,100.0,81807407,4717,121086,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233252,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v9-edge-memory-final-50runs,v9,dj38,7,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,43.94611359699957,29115,65348,116,2418,122466,4,19741,78959,3,4,0,0,0,0,0,24467,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204820,1757500,62246,121098,121098,0,2888,2502,7.576554560614271,139.68649358370905,5122,100.0,81531128,5122,121098,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228484,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v9-edge-memory-final-50runs,v9,dj38,8,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,43.298357403999034,28473,66786,315,2746,121939,3,18045,72177,1,3,0,0,0,0,0,28887,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173052,1757500,62245,121170,121170,0,2051,2503,7.512731510619142,150.74558058925476,4369,100.0,82111103,4369,121170,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226120,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v9-edge-memory-final-50runs,v9,dj38,9,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,47.356571693999285,28680,66316,382,2405,122213,4,19741,78959,3,4,0,0,0,0,0,26778,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198436,1757500,62574,121714,121714,0,2720,2502,7.5326248874966755,152.01791084016628,4959,100.0,82078765,4959,121714,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230795,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
v9-edge-memory-final-50runs,v9,dj38,10,38,50,2500,0.1,0.07,0.0005,0.07,0.0005,,,,,,125050,6656,6656,0,0.0,yes,39.06018151200078,28845,66143,257,2286,122457,4,13091,52358,3,4,0,0,0,0,0,23813,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197866,1757500,62084,120870,120870,0,2705,2502,7.570907520309992,144.93136427566807,4914,100.0,81517068,4914,120870,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201229,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21, 23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9]"
