seed,best_fitness,best_route,accepted_worse,rejected_worse,case_a,case_b,general
1,9.414213562373096,"[0, 1, 4, 2, 5, 8, 7, 6, 3]",422,7936,7940,29,2031
2,9.414213562373096,"[0, 1, 4, 2, 5, 8, 7, 6, 3]",481,7864,7921,24,2055
3,9.414213562373096,"[0, 1, 2, 5, 8, 4, 7, 6, 3]",502,7757,7734,27,2239
4,9.414213562373096,"[0, 1, 2, 5, 8, 7, 6, 3, 4]",452,8389,8487,23,1490
5,9.414213562373096,"[0, 1, 2, 4, 5, 8, 7, 6, 3]",504,7824,7814,25,2161
6,9.414213562373096,"[0, 1, 2, 5, 8, 7, 6, 3, 4]",420,8439,8465,29,1506
7,9.414213562373096,"[0, 1, 4, 2, 5, 8, 7, 6, 3]",571,7964,7755,27,2218
8,9.414213562373096,"[0, 1, 2, 5, 4, 8, 7, 6, 3]",557,7673,7727,24,2249
9,9.414213562373096,"[0, 1, 4, 2, 5, 8, 7, 6, 3]",556,7846,7799,20,2181
10,9.414213562373096,"[0, 1, 4, 2, 5, 8, 7, 6, 3]",423,7951,7930,28,2042
11,9.414213562373096,"[0, 1, 2, 5, 8, 7, 6, 4, 3]",414,7929,7977,25,1998
12,9.414213562373096,"[0, 1, 4, 2, 5, 8, 7, 6, 3]",444,7908,7804,25,2171
13,9.414213562373096,"[0, 1, 2, 5, 8, 7, 4, 6, 3]",475,7865,7913,30,2057
14,9.414213562373096,"[0, 1, 2, 5, 8, 7, 6, 3, 4]",454,8357,8379,29,1592
15,9.414213562373096,"[0, 1, 2, 5, 8, 7, 6, 3, 4]",459,8348,8310,33,1657
16,10.0,"[0, 1, 4, 3, 6, 7, 8, 5, 2]",699,8508,8550,27,1423
17,9.414213562373096,"[0, 1, 2, 4, 5, 8, 7, 6, 3]",504,7754,7836,27,2137
18,10.0,"[0, 1, 4, 3, 6, 7, 8, 5, 2]",672,8525,8557,24,1419
19,10.0,"[0, 1, 4, 3, 6, 7, 8, 5, 2]",664,8579,8621,24,1355
20,9.414213562373096,"[0, 1, 2, 5, 8, 7, 6, 3, 4]",404,8558,8564,24,1412
21,9.414213562373096,"[0, 1, 2, 5, 8, 7, 6, 4, 3]",413,7974,8068,25,1907
22,9.414213562373096,"[0, 1, 2, 5, 8, 4, 7, 6, 3]",484,7753,7829,21,2150
23,9.414213562373096,"[0, 1, 2, 5, 4, 8, 7, 6, 3]",534,7745,7812,24,2164
24,9.414213562373096,"[0, 1, 4, 2, 5, 8, 7, 6, 3]",420,7910,7918,32,2050
25,9.414213562373096,"[0, 1, 2, 5, 8, 7, 6, 3, 4]",455,8387,8440,26,1534
26,9.414213562373096,"[0, 1, 2, 5, 8, 7, 6, 3, 4]",433,8485,8543,24,1433
27,9.414213562373096,"[0, 1, 2, 5, 8, 4, 7, 6, 3]",496,7794,7851,22,2127
28,9.414213562373096,"[0, 1, 2, 5, 8, 7, 4, 6, 3]",484,7796,7772,26,2202
29,9.414213562373096,"[0, 1, 2, 5, 8, 4, 7, 6, 3]",563,7673,7688,25,2287
30,9.414213562373096,"[0, 1, 2, 5, 4, 8, 7, 6, 3]",518,7803,7814,23,2163
