experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,best_route
baseline_parameters_v1,grid_9,1,9,20,700,0.1,0.08,0.001,14020,10.0,9.414213562373096,0.5857864376269042,6.222361897208136,no,0.2241870010002458,639,12613,12628,26,1346,"[0, 3, 4, 1, 2, 5, 8, 7, 6]"
baseline_parameters_v1,grid_9,2,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.2552330009966681,397,11454,11407,26,2567,"[0, 1, 4, 2, 5, 8, 7, 6, 3]"
baseline_parameters_v1,grid_9,3,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.24889040000198293,386,11511,11565,31,2404,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
baseline_parameters_v1,grid_9,4,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.23432710099950782,435,12135,12214,23,1763,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
baseline_parameters_v1,grid_9,5,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.2572249009972438,466,11366,11392,26,2582,"[0, 1, 2, 4, 5, 8, 7, 6, 3]"
baseline_parameters_v1,grid_9,6,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.23314980099894456,396,12236,12304,29,1667,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
baseline_parameters_v1,grid_9,7,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.25714970099943457,465,11308,11316,28,2656,"[0, 1, 2, 4, 5, 8, 7, 6, 3]"
baseline_parameters_v1,grid_9,8,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.23403700099879643,436,12140,12059,23,1918,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
baseline_parameters_v1,grid_9,9,9,20,700,0.1,0.08,0.001,14020,10.0,9.414213562373096,0.5857864376269042,6.222361897208136,no,0.22130940100032603,671,12574,12577,21,1402,"[0, 3, 4, 1, 2, 5, 8, 7, 6]"
baseline_parameters_v1,grid_9,10,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.25376170099843876,385,12253,12213,32,1755,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
baseline_parameters_v1,grid_9,11,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.25376410099852365,399,11452,11564,25,2411,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
baseline_parameters_v1,grid_9,12,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.27348080100273364,473,11369,11283,32,2685,"[0, 1, 2, 4, 5, 8, 7, 6, 3]"
baseline_parameters_v1,grid_9,13,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.2580880009991233,469,11325,11404,26,2570,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
baseline_parameters_v1,grid_9,14,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.23816960000112886,428,12136,12240,25,1735,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
baseline_parameters_v1,grid_9,15,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.2638626009975269,522,11255,11125,41,2834,"[0, 1, 2, 4, 5, 8, 7, 6, 3]"
baseline_parameters_v1,grid_9,16,9,20,700,0.1,0.08,0.001,14020,10.0,9.414213562373096,0.5857864376269042,6.222361897208136,no,0.24515720100316685,653,12605,12637,26,1337,"[0, 1, 4, 3, 6, 7, 8, 5, 2]"
baseline_parameters_v1,grid_9,17,9,20,700,0.1,0.08,0.001,14020,10.0,9.414213562373096,0.5857864376269042,6.222361897208136,no,0.2265778010005306,662,12566,12574,27,1399,"[0, 1, 4, 3, 6, 7, 8, 5, 2]"
baseline_parameters_v1,grid_9,18,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.2622365009992791,487,11251,11178,24,2798,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
baseline_parameters_v1,grid_9,19,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.2753885009988153,528,11221,11173,41,2786,"[0, 1, 2, 5, 4, 8, 7, 6, 3]"
baseline_parameters_v1,grid_9,20,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.22949270100070862,362,12367,12412,23,1565,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
baseline_parameters_v1,grid_9,21,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.2582507010010886,408,11511,11531,24,2445,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
baseline_parameters_v1,grid_9,22,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.25897290099965176,468,11324,11316,24,2660,"[0, 1, 2, 5, 8, 4, 7, 6, 3]"
baseline_parameters_v1,grid_9,23,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.23997280199910165,433,12130,12099,25,1876,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
baseline_parameters_v1,grid_9,24,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.25268370199773926,371,11491,11488,40,2472,"[0, 1, 4, 2, 5, 8, 7, 6, 3]"
baseline_parameters_v1,grid_9,25,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.22923420099687064,429,12148,12230,23,1747,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
baseline_parameters_v1,grid_9,26,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.23428700199656305,426,12256,12266,24,1710,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
baseline_parameters_v1,grid_9,27,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.2636408019970986,487,11247,11219,23,2758,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
baseline_parameters_v1,grid_9,28,9,20,700,0.1,0.08,0.001,14020,10.0,9.414213562373096,0.5857864376269042,6.222361897208136,no,0.22498440200070036,658,12587,12499,31,1470,"[0, 3, 4, 1, 2, 5, 8, 7, 6]"
baseline_parameters_v1,grid_9,29,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.25110520199814346,518,11262,11370,26,2604,"[0, 1, 2, 5, 8, 4, 7, 6, 3]"
baseline_parameters_v1,grid_9,30,9,20,700,0.1,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.25556410100034554,516,11317,11234,27,2739,"[0, 1, 2, 5, 4, 8, 7, 6, 3]"
