experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,best_route
verification_grid9_wi29,grid_9,1,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.19024130099933245,422,7936,7940,29,2031,"[0, 1, 4, 2, 5, 8, 7, 6, 3]"
verification_grid9_wi29,grid_9,2,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.19182810000347672,481,7864,7921,24,2055,"[0, 1, 4, 2, 5, 8, 7, 6, 3]"
verification_grid9_wi29,grid_9,3,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.1978419010010839,502,7757,7734,27,2239,"[0, 1, 2, 5, 8, 4, 7, 6, 3]"
verification_grid9_wi29,grid_9,4,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.1855095999999321,452,8389,8487,23,1490,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
verification_grid9_wi29,grid_9,5,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.213054600997566,504,7824,7814,25,2161,"[0, 1, 2, 4, 5, 8, 7, 6, 3]"
verification_grid9_wi29,grid_9,6,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.1764882010029396,420,8439,8465,29,1506,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
verification_grid9_wi29,grid_9,7,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.19840339999791468,571,7964,7755,27,2218,"[0, 1, 4, 2, 5, 8, 7, 6, 3]"
verification_grid9_wi29,grid_9,8,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.1940889010002138,557,7673,7727,24,2249,"[0, 1, 2, 5, 4, 8, 7, 6, 3]"
verification_grid9_wi29,grid_9,9,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.1943455999971775,556,7846,7799,20,2181,"[0, 1, 4, 2, 5, 8, 7, 6, 3]"
verification_grid9_wi29,grid_9,10,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.19140410099862493,423,7951,7930,28,2042,"[0, 1, 4, 2, 5, 8, 7, 6, 3]"
verification_grid9_wi29,grid_9,11,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.1875423999990744,414,7929,7977,25,1998,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
verification_grid9_wi29,grid_9,12,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.1950204009990557,444,7908,7804,25,2171,"[0, 1, 4, 2, 5, 8, 7, 6, 3]"
verification_grid9_wi29,grid_9,13,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.1961714999997639,475,7865,7913,30,2057,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
verification_grid9_wi29,grid_9,14,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.1803440010007762,454,8357,8379,29,1592,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
verification_grid9_wi29,grid_9,15,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.18189889999848674,459,8348,8310,33,1657,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
verification_grid9_wi29,grid_9,16,9,20,500,0.1,0.1,0.001,10020,10.0,9.414213562373096,0.5857864376269042,6.222361897208136,no,0.1714821009991283,699,8508,8550,27,1423,"[0, 1, 4, 3, 6, 7, 8, 5, 2]"
verification_grid9_wi29,grid_9,17,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.19616649999807123,504,7754,7836,27,2137,"[0, 1, 2, 4, 5, 8, 7, 6, 3]"
verification_grid9_wi29,grid_9,18,9,20,500,0.1,0.1,0.001,10020,10.0,9.414213562373096,0.5857864376269042,6.222361897208136,no,0.17016870099905645,672,8525,8557,24,1419,"[0, 1, 4, 3, 6, 7, 8, 5, 2]"
verification_grid9_wi29,grid_9,19,9,20,500,0.1,0.1,0.001,10020,10.0,9.414213562373096,0.5857864376269042,6.222361897208136,no,0.17186649999712245,664,8579,8621,24,1355,"[0, 1, 4, 3, 6, 7, 8, 5, 2]"
verification_grid9_wi29,grid_9,20,9,20,500,0.1,0.1,0.001,10020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.17176950100110844,404,8558,8564,24,1412,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
