experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v11-all,v11,grid_9,1,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0156531229986285,1159,10400,1507,611,11882,1,30,120,0,1,0,0,0,0,0,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14382,25200,7709,13999,13999,0,896,702,3.02944845724125,1.5573493108554677,1427,36.0,452592,1427,13999,0,adaptive_memory_escape,1507,1507,0,2502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14198,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
v11-all,v11,grid_9,2,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0281860239992966,1198,10359,1673,597,11730,1,30,120,0,1,0,0,0,0,0,66,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14319,25200,7788,14183,14183,0,889,702,2.997327529846635,1.5820204894944125,1406,36.0,459972,1406,14183,0,adaptive_memory_escape,1673,1673,0,2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14208,"[0, 1, 2, 5, 4, 8, 7, 6, 3]"
v11-all,v11,grid_9,3,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.022398023000278,1137,10550,952,890,12158,1,30,120,0,1,0,0,0,0,0,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14175,25200,7440,13686,13686,0,873,702,3.1373093021301357,1.5481639207129378,1398,36.0,442368,1398,13686,0,adaptive_memory_escape,952,952,0,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14188,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
v11-all,v11,grid_9,4,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373094,9.414213562373096,-1.7763568394002505e-15,-1.8868881905335425e-14,yes,1.0253484229979222,1184,10498,685,575,12740,1,30,120,0,1,0,0,0,0,0,101,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13572,25200,7302,13416,13416,0,806,702,3.1250687086695814,1.549087610494493,1318,36.0,435528,1318,13416,0,adaptive_memory_escape,685,685,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14243,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v11-all,v11,grid_9,5,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0133848229997966,1170,10399,2092,594,11314,1,30,120,0,1,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14508,25200,7983,14517,14517,0,910,702,2.932321574475192,1.5604532781102727,1450,36.0,470412,1450,14517,0,adaptive_memory_escape,2092,2092,0,3672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14170,"[0, 1, 2, 4, 5, 8, 7, 6, 3]"
v11-all,v11,grid_9,6,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.9800155220000306,1221,10401,1830,852,11318,1,30,120,0,1,0,0,0,0,0,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13743,25200,7886,14335,14335,0,825,702,2.7950397820198667,1.5889021069683245,1342,36.0,467748,1342,14335,0,adaptive_memory_escape,1830,1830,0,3068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14200,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
v11-all,v11,grid_9,7,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.9978871200000867,1132,10470,1333,638,12029,2,60,240,0,2,0,0,0,0,0,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15174,25200,7593,13464,13464,0,983,703,3.1691910184861753,1.5879567061581332,1467,36.0,431892,1467,13464,0,adaptive_memory_escape,1333,1333,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14352,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
v11-all,v11,grid_9,8,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.000642319999315,1174,10391,1266,655,12079,1,30,120,0,1,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14292,25200,7659,13763,13763,0,886,702,3.0086403357428924,1.581224740270926,1428,36.0,444060,1428,13763,0,adaptive_memory_escape,1266,1266,0,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14188,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
v11-all,v11,grid_9,9,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373094,9.414213562373096,-1.7763568394002505e-15,-1.8868881905335425e-14,yes,0.9886133200016047,1141,10419,1559,761,11680,1,30,120,0,1,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15453,25200,7743,13920,13920,0,1015,702,3.173440135207331,1.5575484194510363,1504,36.0,446976,1504,13920,0,adaptive_memory_escape,1559,1559,0,2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14176,"[0, 1, 2, 5, 4, 8, 7, 6, 3]"
v11-all,v11,grid_9,10,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.9853767200002039,1207,10381,1601,733,11666,2,60,240,0,2,0,0,0,0,0,99,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14121,25200,7769,14048,14048,0,866,703,3.016832873659689,1.5598816462397604,1380,36.0,456048,1380,14048,0,adaptive_memory_escape,1601,1601,0,2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14363,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
