experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_b_mode,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v11-finale,v11,grid_9,1,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0523905100017146,1204,10595,1403,2011,10586,1,30,120,0,1,0,0,0,0,0,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12231,25200,8730,18288,18288,0,657,702,2.8158937256455308,1.5730164821306696,1274,36.0,612504,1274,18288,0,adaptive_memory_escape,mini_reconstruction,2011,2011,0,6033,0,2011,6033,0,0,1403,1403,0,2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14201,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
v11-finale,v11,grid_9,2,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.038855210001202,1111,10630,1300,2247,10453,1,30,120,0,1,0,0,0,0,0,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13581,25200,8765,18344,18344,0,807,702,2.9247304817914412,1.583563591636508,1424,36.0,609120,1424,18344,0,adaptive_memory_escape,mini_reconstruction,2247,2247,0,6741,0,2247,6741,0,0,1300,1300,0,2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14217,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
v11-finale,v11,grid_9,3,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.044709210000292,1148,10655,1226,1698,11076,1,30,120,0,1,0,0,0,0,0,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13248,25200,8379,17060,17060,0,770,702,2.991019956480774,1.5547441312911885,1353,36.0,565452,1353,17060,0,adaptive_memory_escape,mini_reconstruction,1698,1698,0,5094,0,1698,5094,0,0,1226,1226,0,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14200,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
v11-finale,v11,grid_9,4,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0717234110015852,1141,10654,583,1987,11430,1,30,120,0,1,0,0,0,0,0,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12717,25200,8282,17556,17556,0,711,702,3.037132732567275,1.55183214723441,1273,36.0,586188,1273,17556,0,adaptive_memory_escape,mini_reconstruction,1987,1987,0,5961,0,1987,5961,0,0,583,583,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14200,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
v11-finale,v11,grid_9,5,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0526664099998015,1061,10692,1729,1750,10521,1,30,120,0,1,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14076,25200,8647,17626,17626,0,862,702,2.9583954318409367,1.5610296549482434,1411,36.0,583740,1411,17626,0,adaptive_memory_escape,mini_reconstruction,1750,1750,0,5250,0,1750,5250,0,0,1729,1729,0,2916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14169,"[0, 1, 2, 5, 4, 8, 7, 6, 3]"
v11-finale,v11,grid_9,6,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0806657100001757,1013,10945,1023,2594,10383,1,30,120,0,1,0,0,0,0,0,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12438,25200,8850,19282,19282,0,680,702,2.8519181788620678,1.5877155255362243,1276,36.0,648216,1276,19282,0,adaptive_memory_escape,mini_reconstruction,2594,2594,0,7782,0,2594,7782,0,0,1023,1023,0,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14205,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
v11-finale,v11,grid_9,7,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0561468100022466,1136,10638,987,2518,10495,1,30,120,0,1,0,0,0,0,0,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13347,25200,8720,18742,18742,0,781,702,3.0506537945735044,1.588380470804161,1358,36.0,625824,1358,18742,0,adaptive_memory_escape,mini_reconstruction,2518,2518,0,7554,0,2518,7554,0,0,987,987,0,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14204,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
v11-finale,v11,grid_9,8,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0688007110002218,1139,10655,1050,2355,10595,1,30,120,0,1,0,0,0,0,0,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12690,25200,8624,18569,18569,0,708,702,2.9504789297986016,1.5553458357132044,1300,36.0,621684,1300,18569,0,adaptive_memory_escape,mini_reconstruction,2355,2355,0,7065,0,2355,7065,0,0,1050,1050,0,1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14198,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v11-finale,v11,grid_9,9,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.020174308996502,1154,10470,1710,1525,10765,1,30,120,0,1,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14022,25200,8604,17208,17208,0,856,702,3.081097702166106,1.5504023363035622,1418,36.0,568440,1418,17208,0,adaptive_memory_escape,mini_reconstruction,1525,1525,0,4575,0,1525,4575,0,0,1710,1710,0,2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14182,"[0, 1, 2, 5, 8, 4, 7, 6, 3]"
v11-finale,v11,grid_9,10,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.080336910999904,1156,10628,683,2415,10902,1,30,120,0,1,0,0,0,0,0,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12600,25200,8514,18292,18292,0,698,702,2.970117387646595,1.5563830652641657,1292,36.0,612000,1292,18292,0,adaptive_memory_escape,mini_reconstruction,2415,2415,0,7245,0,2415,7245,0,0,683,683,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14220,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
