experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v5_all,v5,grid_9,1,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373092,9.414213562373096,-3.552713678800501e-15,-3.773776381067085e-14,yes,0.4921292250000988,850,9593,7445,76,6479,1,30,120,0,1,0,0,0,0,0,101,4,14243,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
v5_all,v5,grid_9,2,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.6102338820001023,909,8217,4836,384,8780,1,30,120,0,1,0,0,0,0,0,49,1,14191,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
v5_all,v5,grid_9,3,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373094,9.414213562373096,-1.7763568394002505e-15,-1.8868881905335425e-14,yes,0.632247773999552,980,8050,4255,387,9358,1,30,120,0,1,0,0,0,0,0,73,3,14215,"[0, 1, 2, 5, 8, 4, 7, 6, 3]"
v5_all,v5,grid_9,4,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.6264403770001081,938,7931,4345,401,9254,1,30,120,0,1,0,0,0,0,0,84,6,14226,"[0, 1, 2, 5, 8, 4, 7, 6, 3]"
v5_all,v5,grid_9,5,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.5776337159986724,771,9077,6066,204,7730,1,30,120,0,1,0,0,0,0,0,51,1,14193,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v5_all,v5,grid_9,6,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.49551782100024866,821,9594,7369,85,6546,1,30,120,0,1,0,0,0,0,0,76,3,14218,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
v5_all,v5,grid_9,7,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.49657251999997243,854,9647,7574,77,6349,2,60,240,0,2,0,0,0,0,0,88,2,14352,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
v5_all,v5,grid_9,8,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373092,9.414213562373096,-3.552713678800501e-15,-3.773776381067085e-14,yes,0.5625598240003455,806,9062,6054,308,7638,1,30,120,0,1,0,0,0,0,0,57,2,14199,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v5_all,v5,grid_9,9,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.5859393240007194,805,9120,5729,309,7962,1,30,120,0,1,0,0,0,0,0,39,1,14181,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v5_all,v5,grid_9,10,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.5744761240002845,811,8990,5944,270,7786,1,30,120,0,1,0,0,0,0,0,86,3,14228,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v5_all,v5,grid_9,11,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.5756304240003374,753,9153,6085,246,7669,1,30,120,0,1,0,0,0,0,0,98,4,14240,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v5_all,v5,grid_9,12,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.7018058289995679,960,8192,3988,406,9606,1,30,120,0,1,0,0,0,0,0,65,3,14207,"[0, 1, 2, 5, 8, 4, 7, 6, 3]"
v5_all,v5,grid_9,13,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.5948346240002138,810,9151,6022,260,7718,1,30,120,0,1,0,0,0,0,0,87,3,14229,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v5_all,v5,grid_9,14,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.5779951240001537,756,9131,6223,266,7511,1,30,120,0,1,0,0,0,0,0,57,3,14199,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v5_all,v5,grid_9,15,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.6304969269986032,809,9103,5795,239,7966,1,30,120,0,1,0,0,0,0,0,83,3,14225,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v5_all,v5,grid_9,16,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.6336506259995076,899,7836,4778,255,8967,1,30,120,0,1,0,0,0,0,0,37,1,14179,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
v5_all,v5,grid_9,17,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.6509435269999813,733,8178,4490,413,9097,2,60,240,0,2,0,0,0,0,0,76,3,14340,"[0, 1, 4, 2, 5, 8, 7, 6, 3]"
v5_all,v5,grid_9,18,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.6366997370005265,892,7934,4591,244,9165,1,30,120,0,1,0,0,0,0,0,64,3,14206,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
v5_all,v5,grid_9,19,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.6560025569997379,945,7975,4004,481,9515,1,30,120,0,1,0,0,0,0,0,52,2,14194,"[0, 1, 2, 5, 8, 4, 7, 6, 3]"
v5_all,v5,grid_9,20,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.5988981509999576,891,7950,4777,273,8950,1,30,120,0,1,0,0,0,0,0,42,1,14184,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
v5_all,v5,grid_9,21,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.6366995549997227,813,8305,4890,430,8680,1,30,120,0,1,0,0,0,0,0,62,3,14204,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
v5_all,v5,grid_9,22,9,20,700,0.1,0.08,0.001,0.08,0.001,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,0.5084794430003967,883,9588,7347,72,6581,1,30,120,0,1,0,0,0,0,0,44,1,14186,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
