experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v9-edge-memory-final-50runs,v9,grid_9,1,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.1190088130006188,1100,10382,575,750,12675,1,30,120,0,1,0,0,0,0,0,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16389,25200,6692,12424,12424,0,1119,702,3.20972931759313,1.5543107250103882,1523,36.0,392436,1523,12424,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14198,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
v9-edge-memory-final-50runs,v9,grid_9,2,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.1613908130002528,1251,10018,425,773,12802,1,30,120,0,1,0,0,0,0,0,66,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15759,25200,6748,12498,12498,0,1049,702,3.2488756281183075,1.570843504884567,1463,36.0,397260,1463,12498,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14208,"[0, 1, 2, 5, 4, 8, 7, 6, 3]"
v9-edge-memory-final-50runs,v9,grid_9,3,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.315749314999266,1201,10313,693,705,12602,1,30,120,0,1,0,0,0,0,0,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15237,25200,6581,12211,12211,0,991,702,3.2449667805411555,1.5464203742604334,1430,36.0,388116,1430,12211,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14188,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
v9-edge-memory-final-50runs,v9,grid_9,4,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373094,9.414213562373096,-1.7763568394002505e-15,-1.8868881905335425e-14,yes,1.3313517149999825,1230,10231,676,754,12570,1,30,120,0,1,0,0,0,0,0,101,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14751,25200,6553,12269,12269,0,937,702,3.1883051970085567,1.5462237143842852,1399,36.0,391320,1399,12269,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14243,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v9-edge-memory-final-50runs,v9,grid_9,5,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.3069653149996157,1152,10169,546,757,12697,1,30,120,0,1,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17433,25200,6700,12360,12360,0,1235,702,3.3279678239176587,1.550146437815307,1566,36.0,388584,1566,12360,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14177,"[0, 1, 2, 5, 4, 8, 7, 6, 3]"
v9-edge-memory-final-50runs,v9,grid_9,6,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.1233356129996537,1135,10366,532,584,12884,1,30,120,0,1,0,0,0,0,0,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16848,25200,6652,12244,12244,0,1170,702,3.2507890650273663,1.5867386980994467,1547,36.0,385092,1547,12244,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14200,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
v9-edge-memory-final-50runs,v9,grid_9,7,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0860290119999263,1144,10244,567,750,12683,2,60,240,0,2,0,0,0,0,0,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16497,25200,6653,12280,12280,0,1130,703,3.3800662762256857,1.5735768494959912,1504,36.0,387936,1504,12280,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14352,"[0, 1, 2, 5, 4, 8, 7, 6, 3]"
v9-edge-memory-final-50runs,v9,grid_9,8,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0571466119999968,1190,10311,675,802,12523,1,30,120,0,1,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15363,25200,6674,12382,12382,0,1005,702,3.2140872548563633,1.5500912264955762,1436,36.0,394056,1436,12382,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14186,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v9-edge-memory-final-50runs,v9,grid_9,9,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.059018312000262,1158,10142,416,551,13033,1,30,120,0,1,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16317,25200,6871,12638,12638,0,1111,702,3.2988945548745745,1.5439332880393586,1488,36.0,401400,1488,12638,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14177,"[0, 1, 2, 5, 8, 4, 7, 6, 3]"
v9-edge-memory-final-50runs,v9,grid_9,10,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.1032471120015543,1184,10386,726,574,12700,2,60,240,0,2,0,0,0,0,0,99,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14355,25200,6539,12221,12221,0,892,703,3.0855677710273173,1.5487022928329806,1357,36.0,391104,1357,12221,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14363,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
