experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v11-all,v11,rectangle_6,1,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.09578510199935408,172,1568,758,139,1103,1,2,8,0,1,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548,3000,1383,1850,1850,0,56,202,2.0787051442901325,2.802970172791047,241,15.0,24135,241,1850,0,adaptive_memory_escape,758,758,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,"[0, 1, 2, 3, 4, 5]"
v11-all,v11,rectangle_6,2,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.09542870199948084,184,1530,623,195,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,3000,1318,1852,1852,0,39,201,2.1402218793597414,2.7460229948466552,231,15.0,24315,231,1852,0,adaptive_memory_escape,623,623,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 1, 2, 3, 4, 5]"
v11-all,v11,rectangle_6,3,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.0931057019988657,167,1579,701,184,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506,3000,1350,1887,1887,0,50,201,2.0655693896813623,2.762060573406149,238,15.0,24735,238,1887,0,adaptive_memory_escape,701,701,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 1, 2, 3, 4, 5]"
v11-all,v11,rectangle_6,4,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.09242040200115298,167,1575,725,141,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470,3000,1363,1845,1845,0,44,201,2.034251221193462,2.7925834575357786,231,15.0,24210,231,1845,0,adaptive_memory_escape,725,725,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 1, 2, 3, 4, 5]"
v11-all,v11,rectangle_6,5,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.0947056020013406,184,1561,655,195,1150,1,2,8,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506,3000,1296,1778,1778,0,49,202,2.2715810957875795,2.723343061648335,236,15.0,23130,236,1778,0,adaptive_memory_escape,655,655,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,"[0, 1, 2, 3, 4, 5]"
v11-all,v11,rectangle_6,6,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.09498670300308731,189,1533,695,130,1175,1,2,8,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,3000,1353,1872,1872,0,44,202,2.289363496431932,2.7396219767482966,239,15.0,24495,239,1872,0,adaptive_memory_escape,695,695,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,"[0, 1, 2, 3, 4, 5]"
v11-all,v11,rectangle_6,7,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.09424720199967851,150,1602,657,229,1114,1,2,8,0,1,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,3000,1317,1859,1859,0,44,202,2.2125464429490234,2.750992508319195,234,15.0,24375,234,1859,0,adaptive_memory_escape,657,657,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,"[0, 1, 2, 3, 4, 5]"
v11-all,v11,rectangle_6,8,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.09695830199780175,147,1618,769,132,1099,1,2,8,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,3000,1360,1805,1805,0,50,202,2.078909006487863,2.7685598935123394,237,15.0,23520,237,1805,0,adaptive_memory_escape,769,769,0,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,"[0, 1, 2, 3, 4, 5]"
v11-all,v11,rectangle_6,9,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.10028120200149715,171,1581,734,101,1165,1,2,8,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518,3000,1384,1911,1911,0,51,202,2.313670874604026,2.7693107903003877,240,15.0,25065,240,1911,0,adaptive_memory_escape,734,734,0,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,"[0, 1, 2, 3, 4, 5]"
v11-all,v11,rectangle_6,10,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.10325100300178747,161,1593,573,180,1247,1,2,8,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494,3000,1259,1810,1810,0,47,202,2.2803236409756407,2.792512270118662,234,15.0,23640,234,1810,0,adaptive_memory_escape,573,573,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,"[0, 1, 2, 3, 4, 5]"
