experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_b_mode,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v11-finale,v11,rectangle_6,1,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.1033586009980354,155,1608,689,158,1153,1,2,8,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488,3000,1412,2171,2171,0,46,202,2.322007094905612,2.7449644211592537,242,15.0,28935,242,2171,0,adaptive_memory_escape,mini_reconstruction,158,158,0,474,0,158,474,0,0,689,689,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031,"[0, 1, 2, 3, 4, 5]"
v11-finale,v11,rectangle_6,2,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.10170750099860015,175,1542,567,163,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,3000,1350,2139,2139,0,43,201,2.5057751806064843,2.7097970480262368,230,15.0,28635,230,2139,0,adaptive_memory_escape,mini_reconstruction,163,163,0,489,0,163,489,0,0,567,567,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 1, 2, 3, 4, 5]"
v11-finale,v11,rectangle_6,3,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.09567690100084292,163,1617,749,91,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506,3000,1418,2038,2038,0,50,201,2.1547107578759648,2.758016610333738,241,15.0,26955,241,2038,0,adaptive_memory_escape,mini_reconstruction,91,91,0,273,0,91,273,0,0,749,749,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 1, 2, 3, 4, 5]"
v11-finale,v11,rectangle_6,4,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.09897120100140455,143,1632,695,243,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446,3000,1465,2349,2349,0,40,201,2.286304564139846,2.7400679909896164,234,15.0,31725,234,2349,0,adaptive_memory_escape,mini_reconstruction,243,243,0,729,0,243,729,0,0,695,695,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 1, 2, 3, 4, 5]"
v11-finale,v11,rectangle_6,5,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.09862640099890996,159,1576,740,200,1060,1,2,8,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,3000,1494,2354,2354,0,53,202,2.3777453722082655,2.705265578790003,243,15.0,31665,243,2354,0,adaptive_memory_escape,mini_reconstruction,200,200,0,600,0,200,600,0,0,740,740,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,"[0, 1, 2, 3, 4, 5]"
v11-finale,v11,rectangle_6,6,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.10254070099836099,176,1536,623,227,1150,1,2,8,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494,3000,1462,2421,2421,0,47,202,2.8548164760270796,2.6789282758919373,234,15.0,32805,234,2421,0,adaptive_memory_escape,mini_reconstruction,227,227,0,681,0,227,681,0,0,623,623,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,"[0, 1, 2, 3, 4, 5]"
v11-finale,v11,rectangle_6,7,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.10226220099866623,175,1564,544,230,1226,1,2,8,0,1,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,3000,1372,2279,2279,0,41,202,2.796423551304413,2.69961697907332,237,15.0,30630,237,2279,0,adaptive_memory_escape,mini_reconstruction,230,230,0,690,0,230,690,0,0,544,544,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033,"[0, 1, 2, 3, 4, 5]"
v11-finale,v11,rectangle_6,8,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.09489100100108772,142,1645,808,179,1013,1,2,8,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542,3000,1494,2257,2257,0,55,202,2.294728818508587,2.7697502859719134,244,15.0,30195,244,2257,0,adaptive_memory_escape,mini_reconstruction,179,179,0,537,0,179,537,0,0,808,808,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,"[0, 1, 2, 3, 4, 5]"
v11-finale,v11,rectangle_6,9,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.09842900099829421,162,1596,719,158,1123,1,2,8,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1554,3000,1447,2158,2158,0,57,202,2.412048697542082,2.7476457111295653,243,15.0,28725,243,2158,0,adaptive_memory_escape,mini_reconstruction,158,158,0,474,0,158,474,0,0,719,719,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,"[0, 1, 2, 3, 4, 5]"
v11-finale,v11,rectangle_6,10,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.09736710099969059,157,1602,782,171,1047,1,2,8,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548,3000,1483,2237,2237,0,56,202,2.2190846390411814,2.7836753733528536,243,15.0,29910,243,2237,0,adaptive_memory_escape,mini_reconstruction,171,171,0,513,0,171,513,0,0,782,782,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,"[0, 1, 2, 3, 4, 5]"
