experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v5_all,v5,rectangle_6,1,6,10,200,0.1,0.1,0.001,0.1,0.001,2010,10.0,10.0,0.0,0.0,yes,0.04216138500123634,153,1655,1572,11,417,1,2,8,0,1,0,0,0,0,0,13,1,2033,"[0, 1, 2, 3, 4, 5]"
v5_all,v5,rectangle_6,2,6,10,200,0.1,0.1,0.001,0.1,0.001,2010,10.0,10.0,0.0,0.0,yes,0.04099278499961656,143,1682,1559,14,427,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 1, 2, 3, 4, 5]"
v5_all,v5,rectangle_6,3,6,10,200,0.1,0.1,0.001,0.1,0.001,2010,10.0,10.0,0.0,0.0,yes,0.04094458500003384,138,1696,1554,11,435,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 1, 2, 3, 4, 5]"
v5_all,v5,rectangle_6,4,6,10,200,0.1,0.1,0.001,0.1,0.001,2010,10.0,10.0,0.0,0.0,yes,0.03814098699876922,136,1709,1631,17,352,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 1, 2, 3, 4, 5]"
v5_all,v5,rectangle_6,5,6,10,200,0.1,0.1,0.001,0.1,0.001,2010,10.0,10.0,0.0,0.0,yes,0.041354484999828856,135,1676,1558,13,429,1,2,8,0,1,0,0,0,0,0,18,2,2038,"[0, 1, 2, 3, 4, 5]"
v5_all,v5,rectangle_6,6,6,10,200,0.1,0.1,0.001,0.1,0.001,2010,10.0,10.0,0.0,0.0,yes,0.04259898499913106,158,1653,1508,19,473,1,2,8,0,1,0,0,0,0,0,9,0,2029,"[0, 1, 2, 3, 4, 5]"
v5_all,v5,rectangle_6,7,6,10,200,0.1,0.1,0.001,0.1,0.001,2010,10.0,10.0,0.0,0.0,yes,0.04086408500006655,153,1658,1579,10,411,1,2,8,0,1,0,0,0,0,0,14,2,2034,"[0, 1, 2, 3, 4, 5]"
v5_all,v5,rectangle_6,8,6,10,200,0.1,0.1,0.001,0.1,0.001,2010,10.0,10.0,0.0,0.0,yes,0.04019808599878161,141,1682,1600,15,385,1,2,8,0,1,0,0,0,0,0,9,0,2029,"[0, 1, 2, 3, 4, 5]"
v5_all,v5,rectangle_6,9,6,10,200,0.1,0.1,0.001,0.1,0.001,2010,10.0,10.0,0.0,0.0,yes,0.03912128599949938,136,1688,1610,14,376,1,2,8,0,1,0,0,0,0,0,9,0,2029,"[0, 1, 2, 3, 4, 5]"
v5_all,v5,rectangle_6,10,6,10,200,0.1,0.1,0.001,0.1,0.001,2010,10.47213595499958,10.0,0.4721359549995796,4.721359549995796,no,0.04157028500048909,166,1640,1527,12,461,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 4, 3, 2, 1, 5]"
