experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v9-edge-memory-final-50runs,v9,rectangle_6,1,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.07708690099934756,164,1590,913,162,925,1,2,8,0,1,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662,3000,543,1008,1008,0,75,202,3.2698109833924334,2.6572347302745443,217,15.0,11865,217,1008,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033,"[0, 1, 2, 3, 4, 5]"
v9-edge-memory-final-50runs,v9,rectangle_6,2,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.07976830100051302,160,1586,761,167,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572,3000,601,1100,1100,0,61,201,3.2850426835015787,2.6624051366889843,225,15.0,13125,225,1100,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 1, 2, 3, 4, 5]"
v9-edge-memory-final-50runs,v9,rectangle_6,3,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.07992140099850076,156,1596,824,163,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608,3000,563,1039,1039,0,67,201,3.31491888140326,2.6687878364730016,209,15.0,12450,209,1039,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 1, 2, 3, 4, 5]"
v9-edge-memory-final-50runs,v9,rectangle_6,4,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.07208620100027474,149,1638,1069,65,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,3000,457,847,847,0,74,201,3.2337070614110828,2.6433111975126504,194,15.0,9795,194,847,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,"[0, 1, 2, 3, 4, 5]"
v9-edge-memory-final-50runs,v9,rectangle_6,5,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.07489040099972044,139,1638,1056,121,823,1,2,8,0,1,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632,3000,455,842,842,0,70,202,3.6116648897921513,2.675955567270029,190,15.0,9780,190,842,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038,"[0, 1, 2, 3, 4, 5]"
v9-edge-memory-final-50runs,v9,rectangle_6,6,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.07470140099940181,161,1610,970,67,963,1,2,8,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,3000,505,914,914,0,68,202,3.4992046554135254,2.6807626622393324,193,15.0,10815,193,914,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,"[0, 1, 2, 3, 4, 5]"
v9-edge-memory-final-50runs,v9,rectangle_6,7,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.07037569999920379,153,1617,967,77,956,1,2,8,0,1,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644,3000,482,865,865,0,72,202,3.664972571965811,2.69477559014816,204,15.0,9915,204,865,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034,"[0, 1, 2, 3, 4, 5]"
v9-edge-memory-final-50runs,v9,rectangle_6,8,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.06791530100053933,137,1651,1067,97,836,1,2,8,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686,3000,475,846,846,0,79,202,3.4544585094452613,2.6743523780128444,195,15.0,9765,195,846,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,"[0, 1, 2, 3, 4, 5]"
v9-edge-memory-final-50runs,v9,rectangle_6,9,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.06985130099928938,138,1643,1059,79,862,1,2,8,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,3000,498,912,912,0,74,202,3.764892749003086,2.6680121674664425,196,15.0,10740,196,912,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,"[0, 1, 2, 3, 4, 5]"
v9-edge-memory-final-50runs,v9,rectangle_6,10,6,10,200,0.1,0.1,0.001,0.1,0.001,,,,,,2010,10.0,10.0,0.0,0.0,yes,0.07213250099994184,137,1648,921,114,965,1,2,8,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626,3000,523,961,961,0,69,202,3.408325227277964,2.6697590976826957,199,15.0,11430,199,961,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,"[0, 1, 2, 3, 4, 5]"
