experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,best_route
baseline_parameters_v1,square_4,1,4,10,100,0.1,0.1,0.001,1010,4.0,4.0,0.0,0.0,yes,0.012089899999409681,19,620,960,16,24,"[0, 1, 2, 3]"
baseline_parameters_v1,square_4,2,4,10,100,0.1,0.1,0.001,1010,4.0,4.0,0.0,0.0,yes,0.013331099999049911,24,628,957,14,29,"[0, 1, 2, 3]"
baseline_parameters_v1,square_4,3,4,10,100,0.1,0.1,0.001,1010,4.0,4.0,0.0,0.0,yes,0.011630000000877772,16,646,960,18,22,"[0, 1, 2, 3]"
baseline_parameters_v1,square_4,4,4,10,100,0.1,0.1,0.001,1010,4.0,4.0,0.0,0.0,yes,0.011420800001360476,22,591,963,12,25,"[0, 1, 2, 3]"
baseline_parameters_v1,square_4,5,4,10,100,0.1,0.1,0.001,1010,4.0,4.0,0.0,0.0,yes,0.011637900002824608,22,631,957,13,30,"[0, 1, 2, 3]"
baseline_parameters_v1,square_4,6,4,10,100,0.1,0.1,0.001,1010,4.0,4.0,0.0,0.0,yes,0.011374300000170479,22,592,963,12,25,"[0, 1, 2, 3]"
baseline_parameters_v1,square_4,7,4,10,100,0.1,0.1,0.001,1010,4.0,4.0,0.0,0.0,yes,0.011471699999674456,15,631,962,14,24,"[0, 1, 2, 3]"
baseline_parameters_v1,square_4,8,4,10,100,0.1,0.1,0.001,1010,4.0,4.0,0.0,0.0,yes,0.01172009999936563,17,609,962,12,26,"[0, 1, 2, 3]"
baseline_parameters_v1,square_4,9,4,10,100,0.1,0.1,0.001,1010,4.0,4.0,0.0,0.0,yes,0.013112101001752308,32,591,943,15,42,"[0, 1, 2, 3]"
baseline_parameters_v1,square_4,10,4,10,100,0.1,0.1,0.001,1010,4.0,4.0,0.0,0.0,yes,0.01619840000057593,17,639,963,11,26,"[0, 1, 2, 3]"
