experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v11-all,v11,square_4,1,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.02802969999902416,34,869,903,24,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,600,962,1027,1027,0,43,101,1.2217347256454547,1.374284504267032,137,6.0,5340,137,1027,0,adaptive_memory_escape,903,903,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-all,v11,square_4,2,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.027489201002026675,37,871,908,16,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,600,954,997,997,0,42,101,1.0417370525110015,1.3847159064769263,134,6.0,5178,134,997,0,adaptive_memory_escape,908,908,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-all,v11,square_4,3,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.026867001000937307,32,873,905,24,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,600,952,1006,1006,0,40,101,1.081557361250458,1.380450627865556,135,6.0,5226,135,1006,0,adaptive_memory_escape,905,905,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-all,v11,square_4,4,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.02651519999926677,25,906,931,14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,600,975,1017,1017,0,29,101,1.0334016163448794,1.3844814187612697,125,6.0,5352,125,1017,0,adaptive_memory_escape,931,931,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-all,v11,square_4,5,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.026896701001533074,30,877,907,14,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,600,944,982,982,0,37,101,0.8887924176788956,1.3893270041449859,128,6.0,5124,128,982,0,adaptive_memory_escape,907,907,0,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-all,v11,square_4,6,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.027362900000298396,27,890,917,11,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,600,957,1003,1003,0,33,101,0.9196779680954832,1.3873702108733528,126,6.0,5262,126,1003,0,adaptive_memory_escape,917,917,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-all,v11,square_4,7,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.026996700999006862,40,850,890,21,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,944,996,996,0,49,101,1.1517419774035225,1.378032257226057,143,6.0,5118,143,996,0,adaptive_memory_escape,890,890,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-all,v11,square_4,8,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.026962401003402192,26,885,911,21,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,600,958,1003,1003,0,35,101,1.021227236862608,1.3840664137656908,127,6.0,5256,127,1003,0,adaptive_memory_escape,911,911,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-all,v11,square_4,9,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.02679830000124639,33,888,921,17,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,600,956,1000,1000,0,40,101,0.8851318707242132,1.3897749621930922,135,6.0,5190,135,1000,0,adaptive_memory_escape,921,921,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-all,v11,square_4,10,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.025953100997867296,24,911,935,14,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,600,969,1004,1004,0,30,101,0.8675614651054948,1.3915225803705946,125,6.0,5274,125,1004,0,adaptive_memory_escape,935,935,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
