experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_b_mode,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v11-finale,v11,square_4,1,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.029811000000336207,34,860,894,34,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,600,964,1067,1067,0,43,101,1.3590584516199318,1.3629706474403502,136,6.0,5586,136,1067,0,adaptive_memory_escape,mini_reconstruction,34,34,0,102,0,34,102,0,0,894,894,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-finale,v11,square_4,2,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.027158099997905083,33,866,899,26,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,600,962,1052,1052,0,38,101,1.3484751667430332,1.367358606173106,131,6.0,5526,131,1052,0,adaptive_memory_escape,mini_reconstruction,26,26,0,78,0,26,78,0,0,899,899,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-finale,v11,square_4,3,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.02668679999987944,28,888,916,19,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,600,972,1052,1052,0,36,101,1.161503872610924,1.372870953961341,128,6.0,5544,128,1052,0,adaptive_memory_escape,mini_reconstruction,19,19,0,57,0,19,57,0,0,916,916,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-finale,v11,square_4,4,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.026906000999588287,27,885,912,21,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,600,977,1066,1066,0,31,101,1.3769586967159726,1.3668082578613616,125,6.0,5646,125,1066,0,adaptive_memory_escape,mini_reconstruction,21,21,0,63,0,21,63,0,0,912,912,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-finale,v11,square_4,5,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.026802200001839083,29,869,898,21,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,600,952,1029,1029,0,36,101,1.1929813723470692,1.3747646516709047,128,6.0,5406,128,1029,0,adaptive_memory_escape,mini_reconstruction,21,21,0,63,0,21,63,0,0,898,898,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-finale,v11,square_4,6,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.027280300000711577,29,854,883,25,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,600,947,1029,1029,0,35,101,1.2681957270153366,1.3707392526196598,127,6.0,5412,127,1029,0,adaptive_memory_escape,mini_reconstruction,25,25,0,75,0,25,75,0,0,883,883,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-finale,v11,square_4,7,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.02891549999912968,33,860,893,23,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,600,957,1043,1043,0,42,101,1.260016394568166,1.3685428436071352,132,6.0,5466,132,1043,0,adaptive_memory_escape,mini_reconstruction,23,23,0,69,0,23,69,0,0,893,893,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-finale,v11,square_4,8,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.027753701000619913,26,881,907,24,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,600,973,1061,1061,0,35,101,1.286098113679555,1.3681464555304792,131,6.0,5580,131,1061,0,adaptive_memory_escape,mini_reconstruction,24,24,0,72,0,24,72,0,0,907,907,0,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-finale,v11,square_4,9,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.030745900003239512,34,871,905,24,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,600,964,1049,1049,0,41,101,1.29825586092727,1.369198933097096,132,6.0,5502,132,1049,0,adaptive_memory_escape,mini_reconstruction,24,24,0,72,0,24,72,0,0,905,905,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v11-finale,v11,square_4,10,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.026827699999557808,24,916,940,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,600,980,1039,1039,0,30,101,0.9770148227925806,1.3839149764824838,125,6.0,5484,125,1039,0,adaptive_memory_escape,mini_reconstruction,17,17,0,51,0,17,51,0,0,940,940,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
