experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v9-edge-memory-final-50runs,v9,square_4,1,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.01632620000054885,32,889,921,16,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,600,40,83,83,0,41,101,6.8176089777321565,1.0798483975658975,33,6.0,300,33,83,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v9-edge-memory-final-50runs,v9,square_4,2,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.016974700998616754,40,859,899,17,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,600,54,102,102,0,45,101,7.961183637536822,1.069035593728849,47,6.0,330,47,102,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v9-edge-memory-final-50runs,v9,square_4,3,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.01629289999982575,35,865,900,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,600,51,117,117,0,43,101,7.076302664639939,1.088507171447242,42,6.0,450,42,117,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v9-edge-memory-final-50runs,v9,square_4,4,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.017404000000169617,27,899,926,14,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,600,44,83,83,0,31,101,7.6015659851921935,1.0798483975658975,36,6.0,282,36,83,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v9-edge-memory-final-50runs,v9,square_4,5,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.01718540000001667,36,868,904,20,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,600,47,94,94,0,43,101,7.035435924153215,1.0881305451857644,38,6.0,336,38,94,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v9-edge-memory-final-50runs,v9,square_4,6,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.016956400000708527,27,901,928,12,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,600,39,82,82,0,33,101,6.84489783380358,1.0808221585118232,34,6.0,288,34,82,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v9-edge-memory-final-50runs,v9,square_4,7,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.015882801000770996,37,866,903,16,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,600,45,81,81,0,46,101,7.675922958088582,1.0613649722034213,36,6.0,270,36,81,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v9-edge-memory-final-50runs,v9,square_4,8,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.01591759999973874,27,892,919,18,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,600,43,86,86,0,36,101,6.8075930043201005,1.1011451722073833,34,6.0,312,34,86,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v9-edge-memory-final-50runs,v9,square_4,9,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.016122600000016973,35,887,922,13,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,600,29,65,65,0,42,101,6.37985277484799,1.101960261507223,25,6.0,240,25,65,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
v9-edge-memory-final-50runs,v9,square_4,10,4,10,100,0.1,0.1,0.001,0.1,0.001,,,,,,1010,4.0,4.0,0.0,0.0,yes,0.016615799999271985,25,898,923,16,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,600,40,74,74,0,31,101,6.778802667464888,1.0951571697343592,31,6.0,258,31,74,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,"[0, 1, 2, 3]"
