experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,best_route
verification_grid9_wi29,wi29,1,29,20,500,0.1,0.1,0.001,10020,39679,27603,12076,43.74886787668007,no,0.45917990200177883,958,7553,6877,27,3096,"[0, 1, 5, 11, 16, 27, 25, 19, 13, 8, 7, 9, 10, 12, 15, 23, 26, 24, 28, 20, 22, 21, 17, 18, 14, 6, 2, 3, 4]"
verification_grid9_wi29,wi29,2,29,20,500,0.1,0.1,0.001,10020,34253,27603,6650,24.091584248088974,no,0.46811470100146835,905,7509,6748,20,3232,"[0, 1, 4, 3, 2, 6, 8, 13, 16, 12, 7, 11, 17, 21, 22, 20, 28, 27, 19, 15, 23, 26, 24, 25, 18, 14, 10, 9, 5]"
verification_grid9_wi29,wi29,3,29,20,500,0.1,0.1,0.001,10020,39699,27603,12096,43.821323769155526,no,0.46754261199748726,942,7489,6794,30,3176,"[0, 1, 14, 18, 25, 19, 16, 10, 9, 7, 4, 3, 2, 6, 8, 12, 17, 21, 22, 20, 28, 27, 24, 26, 23, 15, 13, 11, 5]"
verification_grid9_wi29,wi29,4,29,20,500,0.1,0.1,0.001,10020,39607,27603,12004,43.48802666376843,no,0.4717099129993585,948,7546,6907,24,3069,"[0, 1, 15, 23, 26, 24, 25, 19, 16, 27, 28, 22, 20, 14, 10, 9, 7, 4, 3, 2, 6, 8, 12, 13, 17, 21, 18, 11, 5]"
verification_grid9_wi29,wi29,5,29,20,500,0.1,0.1,0.001,10020,29205,27603,1602,5.803716987283991,no,0.45087431200227,766,8047,6852,36,3112,"[0, 1, 4, 7, 3, 2, 6, 8, 12, 13, 16, 17, 25, 19, 15, 23, 26, 24, 27, 28, 20, 22, 21, 18, 14, 11, 10, 9, 5]"
verification_grid9_wi29,wi29,6,29,20,500,0.1,0.1,0.001,10020,43319,27603,15716,56.935840307212985,no,0.44976971199866966,937,7537,6899,26,3075,"[0, 1, 4, 3, 2, 15, 23, 26, 24, 11, 9, 10, 14, 18, 21, 17, 6, 8, 13, 16, 20, 22, 28, 27, 25, 19, 12, 7, 5]"
verification_grid9_wi29,wi29,7,29,20,500,0.1,0.1,0.001,10020,32768,27603,5165,18.7117342317864,no,0.44399801200052025,792,7696,7070,28,2902,"[0, 1, 5, 11, 16, 25, 27, 28, 20, 22, 21, 18, 14, 17, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 4, 7, 9, 10]"
verification_grid9_wi29,wi29,8,29,20,500,0.1,0.1,0.001,10020,32832,27603,5229,18.943593087707857,no,0.4406843120013946,847,7804,7102,25,2873,"[0, 1, 4, 3, 2, 6, 7, 9, 10, 11, 8, 12, 13, 16, 20, 28, 27, 19, 15, 23, 26, 24, 25, 22, 21, 17, 18, 14, 5]"
verification_grid9_wi29,wi29,9,29,20,500,0.1,0.1,0.001,10020,43581,27603,15978,57.88501249864145,no,0.48175491299844,1095,7158,6430,24,3546,"[0, 1, 5, 16, 25, 27, 28, 20, 22, 21, 10, 9, 11, 13, 19, 24, 26, 23, 15, 8, 6, 2, 3, 12, 17, 18, 14, 7, 4]"
verification_grid9_wi29,wi29,10,29,20,500,0.1,0.1,0.001,10020,38940,27603,11337,41.07162264971199,no,0.4479780120018404,938,7652,7098,24,2878,"[0, 1, 9, 10, 16, 25, 27, 28, 20, 22, 21, 17, 18, 14, 11, 12, 8, 6, 2, 3, 4, 7, 13, 15, 23, 26, 24, 19, 5]"
verification_grid9_wi29,wi29,11,29,20,500,0.1,0.1,0.001,10020,37293,27603,9690,35.10487990435822,no,0.44996761299989885,867,7677,7082,21,2897,"[0, 1, 5, 7, 15, 23, 26, 24, 28, 20, 22, 21, 17, 18, 14, 11, 12, 13, 16, 27, 25, 19, 8, 6, 2, 3, 4, 9, 10]"
verification_grid9_wi29,wi29,12,29,20,500,0.1,0.1,0.001,10020,38159,27603,10556,38.24222004854545,no,0.4380737119972764,896,7765,7249,21,2730,"[0, 1, 5, 7, 13, 20, 21, 22, 28, 27, 25, 19, 16, 17, 18, 14, 12, 11, 9, 10, 15, 23, 26, 24, 8, 6, 2, 3, 4]"
verification_grid9_wi29,wi29,13,29,20,500,0.1,0.1,0.001,10020,33976,27603,6373,23.088070137303916,no,0.4490016119998472,888,7758,7177,21,2802,"[0, 1, 10, 14, 18, 17, 21, 22, 20, 28, 24, 26, 23, 15, 19, 25, 27, 16, 13, 6, 2, 3, 4, 7, 8, 12, 11, 9, 5]"
verification_grid9_wi29,wi29,14,29,20,500,0.1,0.1,0.001,10020,31906,27603,4303,15.588885266094264,no,0.4279215110000223,664,8172,7685,23,2292,"[0, 1, 5, 2, 6, 8, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 11, 7, 3, 4, 9, 10]"
verification_grid9_wi29,wi29,15,29,20,500,0.1,0.1,0.001,10020,32671,27603,5068,18.36032315328044,no,0.48119161300201085,835,7528,6771,34,3195,"[0, 1, 4, 11, 12, 13, 16, 19, 25, 27, 28, 22, 21, 18, 14, 17, 20, 24, 26, 23, 15, 8, 6, 2, 3, 7, 9, 10, 5]"
verification_grid9_wi29,wi29,16,29,20,500,0.1,0.1,0.001,10020,32876,27603,5273,19.10299605115386,no,0.5665918160011643,1199,6880,5711,22,4267,"[0, 1, 5, 9, 10, 4, 7, 3, 6, 2, 8, 12, 13, 17, 21, 20, 22, 28, 27, 25, 19, 15, 23, 26, 24, 16, 18, 14, 11]"
verification_grid9_wi29,wi29,17,29,20,500,0.1,0.1,0.001,10020,31325,27603,3722,13.484041589682281,no,0.5062118139976519,780,7868,7116,28,2856,"[0, 1, 4, 3, 7, 11, 14, 18, 21, 22, 20, 28, 19, 15, 23, 26, 24, 25, 27, 17, 16, 13, 12, 8, 6, 2, 9, 10, 5]"
verification_grid9_wi29,wi29,18,29,20,500,0.1,0.1,0.001,10020,32494,27603,4891,17.71908850487266,no,0.45181091199992807,721,8013,7499,26,2475,"[0, 1, 5, 4, 3, 2, 7, 9, 10, 11, 14, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 13, 16, 17, 18, 12, 8, 6]"
verification_grid9_wi29,wi29,19,29,20,500,0.1,0.1,0.001,10020,30669,27603,3066,11.107488316487338,no,0.44304181200277526,789,7845,7207,27,2766,"[0, 1, 4, 7, 3, 2, 6, 8, 15, 23, 26, 24, 27, 28, 20, 22, 21, 18, 14, 17, 16, 25, 19, 13, 12, 11, 10, 9, 5]"
verification_grid9_wi29,wi29,20,29,20,500,0.1,0.1,0.001,10020,36395,27603,8792,31.851610332210267,no,0.4870825280013378,887,7650,6979,23,2998,"[0, 1, 3, 2, 6, 8, 13, 19, 15, 23, 26, 24, 25, 27, 28, 22, 20, 16, 12, 7, 4, 9, 10, 14, 18, 21, 17, 11, 5]"
verification_grid9_wi29,wi29,21,29,20,500,0.1,0.1,0.001,10020,36624,27603,9021,32.681230301054235,no,0.4763786350013106,858,7617,6954,26,3020,"[0, 1, 5, 7, 12, 15, 23, 26, 24, 19, 25, 27, 28, 18, 14, 10, 9, 4, 3, 2, 6, 8, 13, 16, 20, 22, 21, 17, 11]"
verification_grid9_wi29,wi29,22,29,20,500,0.1,0.1,0.001,10020,45119,27603,17516,63.45687063000398,no,0.498387236999406,1034,7449,7077,24,2899,"[0, 1, 2, 15, 23, 26, 24, 19, 13, 8, 6, 3, 4, 7, 12, 17, 20, 22, 21, 18, 14, 10, 9, 16, 25, 27, 28, 11, 5]"
verification_grid9_wi29,wi29,23,29,20,500,0.1,0.1,0.001,10020,45847,27603,18244,66.09426511611056,no,0.5188386379995791,1174,7091,6406,26,3568,"[0, 1, 4, 7, 19, 25, 27, 28, 22, 17, 12, 6, 8, 13, 16, 20, 21, 18, 14, 10, 9, 3, 2, 15, 23, 26, 24, 11, 5]"
verification_grid9_wi29,wi29,24,29,20,500,0.1,0.1,0.001,10020,31240,27603,3637,13.176104046661594,no,0.4792438350013981,777,7617,6737,25,3238,"[0, 1, 4, 3, 2, 6, 8, 7, 9, 10, 11, 12, 13, 15, 23, 26, 24, 25, 19, 16, 21, 22, 28, 27, 20, 17, 18, 14, 5]"
verification_grid9_wi29,wi29,25,29,20,500,0.1,0.1,0.001,10020,36147,27603,8544,30.95315726551462,no,0.4495844329976535,852,7784,7155,25,2820,"[0, 1, 4, 3, 2, 6, 8, 23, 26, 24, 25, 27, 28, 20, 22, 21, 18, 14, 10, 9, 11, 12, 13, 15, 19, 16, 17, 7, 5]"
verification_grid9_wi29,wi29,26,29,20,500,0.1,0.1,0.001,10020,33967,27603,6364,23.055464985689962,no,0.4962480369977129,863,7471,6528,26,3446,"[0, 1, 4, 3, 2, 8, 15, 23, 26, 24, 19, 25, 27, 28, 20, 22, 21, 18, 14, 11, 7, 6, 12, 13, 16, 17, 10, 9, 5]"
verification_grid9_wi29,wi29,27,29,20,500,0.1,0.1,0.001,10020,35135,27603,7532,27.286889106256567,no,0.6436698469988187,1194,6648,4924,37,5039,"[0, 1, 5, 10, 9, 7, 3, 2, 6, 8, 26, 24, 23, 15, 12, 13, 16, 20, 21, 22, 28, 27, 25, 19, 17, 18, 14, 11, 4]"
verification_grid9_wi29,wi29,28,29,20,500,0.1,0.1,0.001,10020,36725,27603,9122,33.04713255805528,no,0.4422616320007364,777,7897,7254,23,2723,"[0, 1, 5, 9, 4, 3, 2, 12, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 7, 11, 17, 18, 14, 10]"
verification_grid9_wi29,wi29,29,29,20,500,0.1,0.1,0.001,10020,30788,27603,3185,11.538600876716298,no,0.4556892340006016,721,7789,7013,24,2963,"[0, 1, 5, 4, 3, 2, 6, 8, 7, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 24, 26, 23, 15, 19, 13, 12]"
verification_grid9_wi29,wi29,30,29,20,500,0.1,0.1,0.001,10020,32583,27603,4980,18.041517226388436,no,0.46899203400244005,794,7918,7417,27,2556,"[0, 1, 4, 3, 2, 6, 8, 7, 9, 10, 11, 16, 20, 22, 21, 18, 14, 17, 28, 27, 25, 24, 26, 23, 15, 19, 13, 12, 5]"
