trial_number,changed_parameter,ana_experiment,max_iterations,population_size,rho,temperature_start,temperature_min,total_ant_updates,mean_fitness,best_gap_percent,mean_gap_percent,worst_gap_percent,gap_standard_deviation,score,accepted_as_current,new_global_best,tuning_temperature,runtime_seconds,cache_hit
0,initial,v5,10000,20,0.1,0.01,0.001,200000,28119.4,0.5325508096945984,1.8708111437162627,3.575698293663732,1.4241352659884516,2.2268449602133757,yes,yes,,63.471127308000064,no
1,temperature_min,v5,10000,20,0.1,0.01,0.0003,200000,28259.4,0.5325508096945984,2.378002391044452,5.093649241024527,1.776098110745049,2.8220269187307143,yes,no,5.0,56.22203534099992,no
2,temperature_start,v5,10000,20,0.1,0.03,0.0003,200000,28035.6,0.5325508096945984,1.5672209542441038,3.575698293663732,1.242670309085255,1.8778885315154175,yes,yes,4.202239692272257,92.06576999999993,no
3,rho,v5,10000,20,0.15,0.03,0.0003,200000,27838.2,0.0,0.8520812955113575,1.5976524290837952,0.7144918871698056,1.030704267303809,yes,yes,3.531763686261686,82.24002214600011,no
4,temperature_min,v5,10000,20,0.15,0.03,0.0001,200000,27838.2,0.0,0.8520812955113575,1.5976524290837952,0.7144918871698056,1.030704267303809,yes,no,2.9682635092269276,82.53853349399992,no
5,temperature_start,v5,10000,20,0.15,0.01,0.0001,200000,27922,0.0,1.1556714849835164,3.1156033764445894,1.239840262620854,1.4656315506387299,no,no,2.4946709471193467,56.35296968600005,no
6,temperature_start,v5,10000,20,0.15,0.01,0.0001,200000,27922,0.0,1.1556714849835164,3.1156033764445894,1.239840262620854,1.4656315506387299,yes,no,2.0966410546286682,0.0,yes
7,rho,v5,10000,20,0.2,0.01,0.0001,200000,27922,0.5325508096945984,1.1556714849835164,1.5976524290837952,0.5697586047399704,1.298111136168509,yes,no,1.7621176520416308,51.27755503100002,no
8,population_size,v5,6666,30,0.2,0.01,0.0001,199980,27846.2,0.0,0.8810636525015397,1.7425642140347064,0.7541349771771165,1.0695973967958188,yes,no,1.480968147972587,53.61258306800005,no
9,rho,v5,6666,30,0.15,0.01,0.0001,199980,28043.6,0.0,1.5962033112342862,4.108249103358331,1.582009744784,1.9917057474302862,yes,no,1.2446766268802676,55.33404842200002,no
10,population_size,v5,10000,20,0.15,0.01,0.0001,200000,27922,0.0,1.1556714849835164,3.1156033764445894,1.239840262620854,1.4656315506387299,yes,no,1.0460859051039608,0.0,yes
11,temperature_start,v5,10000,20,0.15,0.03,0.0001,200000,27838.2,0.0,0.8520812955113575,1.5976524290837952,0.7144918871698056,1.030704267303809,yes,no,0.8791807423908827,0.0,yes
12,population_size,v5,6666,30,0.15,0.03,0.0001,199980,27955.4,0.0,1.276672825417527,4.108249103358331,1.735539079392008,1.710557595265529,yes,no,0.7389056424712716,82.90190084000005,no
13,temperature_min,v5,6666,30,0.15,0.03,0.0003,199980,27955.4,0.0,1.276672825417527,4.108249103358331,1.735539079392008,1.710557595265529,yes,no,0.621011723927342,82.75420797599986,no
14,population_size,v5,10000,20,0.15,0.03,0.0003,200000,27838.2,0.0,0.8520812955113575,1.5976524290837952,0.7144918871698056,1.030704267303809,yes,no,0.5219280231307794,0.0,yes
15,rho,v5,10000,20,0.2,0.03,0.0003,200000,27838.2,0.0,0.8520812955113575,1.5976524290837952,0.7144918871698056,1.030704267303809,yes,no,0.43865333106187077,79.85452254000006,no
16,population_size,v5,6666,30,0.2,0.03,0.0003,199980,27758,0.0,0.5615331666847807,1.7425642140347064,0.7118906663617579,0.7395058332752202,yes,yes,0.3686652877871272,75.9050486839999,no
17,population_size,v5,10000,20,0.2,0.03,0.0003,200000,27838.2,0.0,0.8520812955113575,1.5976524290837952,0.7144918871698056,1.030704267303809,no,no,0.3098439811004081,0.0,yes
18,rho,v5,6666,30,0.15,0.03,0.0003,199980,27955.4,0.0,1.276672825417527,4.108249103358331,1.735539079392008,1.710557595265529,no,no,0.2604077351583579,0.0,yes
19,rho,v5,6666,30,0.15,0.03,0.0003,199980,27955.4,0.0,1.276672825417527,4.108249103358331,1.735539079392008,1.710557595265529,no,no,0.21885914417143465,0.0,yes
20,rho,v5,6666,30,0.15,0.03,0.0003,199980,27955.4,0.0,1.276672825417527,4.108249103358331,1.735539079392008,1.710557595265529,no,no,0.18393971653078783,0.0,yes
21,temperature_min,v5,6666,30,0.2,0.03,0.0001,199980,27758,0.0,0.5615331666847807,1.7425642140347064,0.7118906663617579,0.7395058332752202,yes,no,0.15459175555819676,77.62619138199989,no
22,population_size,v5,10000,20,0.2,0.03,0.0001,200000,27838.2,0.0,0.8520812955113575,1.5976524290837952,0.7144918871698056,1.030704267303809,no,no,0.12992632226094097,76.22164788400005,no
23,population_size,v5,10000,20,0.2,0.03,0.0001,200000,27838.2,0.0,0.8520812955113575,1.5976524290837952,0.7144918871698056,1.030704267303809,no,no,0.10919630969517649,0.0,yes
24,temperature_start,v5,6666,30,0.2,0.1,0.0001,199980,27875.6,0.0,0.9875738144404594,2.130203238778394,0.9034664373271847,1.2134404237722556,no,no,0.0917738133701449,118.39003852400015,no
25,temperature_start,v5,6666,30,0.2,0.01,0.0001,199980,27846.2,0.0,0.8810636525015397,1.7425642140347064,0.7541349771771165,1.0695973967958188,no,no,0.07713111225104186,0.0,yes
26,temperature_min,v5,6666,30,0.2,0.03,0.0003,199980,27758,0.0,0.5615331666847807,1.7425642140347064,0.7118906663617579,0.7395058332752202,yes,no,0.06482468428208699,0.0,yes
27,temperature_min,v5,6666,30,0.2,0.03,0.0001,199980,27758,0.0,0.5615331666847807,1.7425642140347064,0.7118906663617579,0.7395058332752202,yes,no,0.05448177226584068,0.0,yes
28,population_size,v5,5000,40,0.2,0.03,0.0001,200000,28056.6,0.0,1.6432996413433323,3.575698293663732,1.7773778965259874,2.0876441154748293,no,no,0.04578909318417073,73.28758865600003,no
29,population_size,v5,5000,40,0.2,0.03,0.0001,200000,28056.6,0.0,1.6432996413433323,3.575698293663732,1.7773778965259874,2.0876441154748293,no,no,0.03848334897033505,0.0,yes
30,population_size,v5,5000,40,0.2,0.03,0.0001,200000,28056.6,0.0,1.6432996413433323,3.575698293663732,1.7773778965259874,2.0876441154748293,no,no,0.032343251306941316,0.0,yes
31,temperature_min,v5,6666,30,0.2,0.03,0.0003,199980,27758,0.0,0.5615331666847807,1.7425642140347064,0.7118906663617579,0.7395058332752202,yes,no,0.027182818883833067,0.0,yes
32,temperature_start,v5,6666,30,0.2,0.01,0.0003,199980,27846.2,0.0,0.8810636525015397,1.7425642140347064,0.7541349771771165,1.0695973967958188,no,no,0.022845744092298226,51.80502287200011,no
33,population_size,v5,5000,40,0.2,0.03,0.0003,200000,28056.6,0.0,1.6432996413433323,3.575698293663732,1.7773778965259874,2.0876441154748293,no,no,0.019200658524830015,72.32407318300011,no
34,temperature_start,v5,6666,30,0.2,0.01,0.0003,199980,27846.2,0.0,0.8810636525015397,1.7425642140347064,0.7541349771771165,1.0695973967958188,no,no,0.01613715387416127,0.0,yes
35,rho,v5,6666,30,0.15,0.03,0.0003,199980,27955.4,0.0,1.276672825417527,4.108249103358331,1.735539079392008,1.710557595265529,no,no,0.0135624377060611,0.0,yes
36,population_size,v5,10000,20,0.2,0.03,0.0003,200000,27838.2,0.0,0.8520812955113575,1.5976524290837952,0.7144918871698056,1.030704267303809,no,no,0.011398522810475967,0.0,yes
37,temperature_min,v5,6666,30,0.2,0.03,0.0001,199980,27758,0.0,0.5615331666847807,1.7425642140347064,0.7118906663617579,0.7395058332752202,yes,no,0.009579864997490563,0.0,yes
38,population_size,v5,5000,40,0.2,0.03,0.0001,200000,28056.6,0.0,1.6432996413433323,3.575698293663732,1.7773778965259874,2.0876441154748293,no,no,0.008051377787812907,0.0,yes
39,temperature_min,v5,6666,30,0.2,0.03,0.0003,199980,27758,0.0,0.5615331666847807,1.7425642140347064,0.7118906663617579,0.7395058332752202,yes,no,0.0067667638634853165,0.0,yes
40,temperature_min,v5,6666,30,0.2,0.03,0.001,199980,27758,0.0,0.5615331666847807,1.7425642140347064,0.7118906663617579,0.7395058332752202,yes,no,0.0056871127390743115,77.4771963610001,no
41,rho,v5,6666,30,0.15,0.03,0.001,199980,27955.4,0.0,1.276672825417527,4.108249103358331,1.735539079392008,1.710557595265529,no,no,0.004779722177313052,85.28218457799994,no
42,rho,v5,6666,30,0.15,0.03,0.001,199980,27955.4,0.0,1.276672825417527,4.108249103358331,1.735539079392008,1.710557595265529,no,no,0.004017107650307775,0.0,yes
43,rho,v5,6666,30,0.15,0.03,0.001,199980,27955.4,0.0,1.276672825417527,4.108249103358331,1.735539079392008,1.710557595265529,no,no,0.0033761698432507774,0.0,yes
44,rho,v5,6666,30,0.15,0.03,0.001,199980,27955.4,0.0,1.276672825417527,4.108249103358331,1.735539079392008,1.710557595265529,no,no,0.0028374949846322033,0.0,yes
