trial_number,changed_parameter,ana_experiment,max_iterations,population_size,rho,temperature_start,temperature_min,total_ant_updates,mean_fitness,best_gap_percent,mean_gap_percent,worst_gap_percent,gap_standard_deviation,score,accepted_as_current,new_global_best,tuning_temperature,runtime_seconds,cache_hit
0,initial,v8,10000,20,0.1,0.01,0.001,200000,27926.4,0.5325508096945984,1.1716117813281166,2.130203238778394,0.8750702744621174,1.3903793499436459,yes,yes,,71.50546730000133,no
1,temperature_min,v8,10000,20,0.1,0.01,0.0003,200000,27926.4,0.5325508096945984,1.1716117813281166,2.130203238778394,0.8750702744621174,1.3903793499436459,yes,no,5.0,70.44805919999999,no
2,temperature_start,v8,10000,20,0.1,0.03,0.0003,200000,27926.4,0.5325508096945984,1.1716117813281166,2.130203238778394,0.8750702744621174,1.3903793499436459,yes,no,3.193650393601462,98.56046960000094,no
3,rho,v8,10000,20,0.15,0.03,0.0003,200000,28014.6,0.5325508096945984,1.4911422671448757,2.130203238778394,0.8750702744621174,1.709909835760405,yes,no,2.0398805673101545,88.3613433999999,no
4,rho,v8,10000,20,0.2,0.03,0.0003,200000,28014.6,0.5325508096945984,1.4911422671448757,2.130203238778394,0.8750702744621174,1.709909835760405,yes,no,1.30293307533801,85.15611899999931,no
5,population_size,v8,6666,30,0.2,0.03,0.0003,199980,27897,0.0,1.065101619389197,2.130203238778394,0.9963113354631189,1.3141794532549766,yes,yes,0.8322225457779198,84.89603780000107,no
6,temperature_start,v8,6666,30,0.2,0.01,0.0003,199980,27955.8,0.0,1.2781219432670363,2.130203238778394,0.9674265885280541,1.51997859039905,yes,no,0.5315655721775329,62.74103560000003,no
7,rho,v8,6666,30,0.15,0.01,0.0003,199980,27955.8,0.0,1.2781219432670363,2.130203238778394,0.9674265885280541,1.51997859039905,yes,no,0.3395269197619528,67.42352129999927,no
8,population_size,v8,5000,40,0.15,0.01,0.0003,200000,27691.2,0.0,0.3195304858167591,0.5325508096945984,0.29169009148737246,0.3924530086886022,yes,yes,0.21686605618721055,66.6910164999972,no
9,rho,v8,5000,40,0.1,0.01,0.0003,200000,27691.2,0.0,0.3195304858167591,0.5325508096945984,0.29169009148737246,0.3924530086886022,yes,no,0.13851887314021635,72.89472389999719,no
10,rho,v8,5000,40,0.05,0.01,0.0003,200000,27691.2,0.0,0.3195304858167591,0.5325508096945984,0.29169009148737246,0.3924530086886022,yes,no,0.08847617074509659,78.76256509999803,no
11,rho,v8,5000,40,0.1,0.01,0.0003,200000,27691.2,0.0,0.3195304858167591,0.5325508096945984,0.29169009148737246,0.3924530086886022,yes,no,0.05651239150488558,0.0,yes
12,temperature_start,v8,5000,40,0.1,0.003,0.0003,200000,27691.2,0.0,0.3195304858167591,0.5325508096945984,0.29169009148737246,0.3924530086886022,yes,no,0.03609616427458753,65.84437430000253,no
13,temperature_min,v8,5000,40,0.1,0.003,0.001,200000,27691.2,0.0,0.3195304858167591,0.5325508096945984,0.29169009148737246,0.3924530086886022,yes,no,0.023055705848607912,67.68310199999905,no
14,population_size,v8,4000,50,0.1,0.003,0.001,200000,27897,0.0,1.065101619389197,2.130203238778394,0.9963113354631189,1.3141794532549766,no,no,0.014726372811633233,65.10717819999991,no
15,rho,v8,5000,40,0.05,0.003,0.001,200000,27691.2,0.0,0.3195304858167591,0.5325508096945984,0.29169009148737246,0.3924530086886022,yes,no,0.009406177265238872,72.35301520000212,no
16,temperature_start,v8,5000,40,0.05,0.01,0.001,200000,27691.2,0.0,0.3195304858167591,0.5325508096945984,0.29169009148737246,0.3924530086886022,yes,no,0.006008008345083048,86.35782889999973,no
17,temperature_min,v8,5000,40,0.05,0.01,0.0003,200000,27691.2,0.0,0.3195304858167591,0.5325508096945984,0.29169009148737246,0.3924530086886022,yes,no,0.0038374956432070703,0.0,yes
18,rho,v8,5000,40,0.1,0.01,0.0003,200000,27691.2,0.0,0.3195304858167591,0.5325508096945984,0.29169009148737246,0.3924530086886022,yes,no,0.00245112389427443,0.0,yes
19,rho,v8,5000,40,0.15,0.01,0.0003,200000,27691.2,0.0,0.3195304858167591,0.5325508096945984,0.29169009148737246,0.3924530086886022,yes,no,0.0015656065579430973,0.0,yes
20,population_size,v8,6666,30,0.15,0.01,0.0003,199980,27955.8,0.0,1.2781219432670363,2.130203238778394,0.9674265885280541,1.51997859039905,no,no,0.001,0.0,yes
