experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v10-case-a-adaptive-safe,v10,wi29,1,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,38.98682819100031,23424,151800,5877,9296,184807,2,5800,23200,0,2,0,0,0,0,0,9679,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428330,2706396,102715,188804,188804,0,8101,6669,5.845809208760813,1013.5095813648016,13762,100.0,71067052,13762,188804,0,adaptive_memory_escape_safe,5877,5877,0,5877,0,5763,0,0,0,0,0,0,0,0,0,0,0,0,5877,5877,0,0,0,0,0,0,0,0,0,0,232893,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-adaptive-safe,v10,wi29,2,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27750,27603,147,0.5325508096945984,no,40.752982085999975,22654,153259,6674,9397,183909,3,8340,33358,1,3,0,0,0,0,0,7195,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430592,2706396,103731,190274,190274,0,8179,6669,5.841313460961274,1003.5142373629608,13765,100.0,71662654,13765,190274,0,adaptive_memory_escape_safe,6674,6674,0,6674,0,6353,0,0,0,0,0,0,0,0,0,0,0,0,6674,6674,0,0,0,0,0,0,0,0,0,0,240569,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-adaptive-safe,v10,wi29,3,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,40.819089730001,23132,152490,6240,9569,184171,2,5800,23200,0,2,0,0,0,0,0,9146,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422472,2706396,103002,189763,189763,0,7899,6669,5.869386257147756,1075.6117103966526,13593,100.0,71525020,13593,189763,0,adaptive_memory_escape_safe,6240,6240,0,6240,0,6143,0,0,0,0,0,0,0,0,0,0,0,0,6240,6240,0,0,0,0,0,0,0,0,0,0,232360,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-adaptive-safe,v10,wi29,4,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,41.50650625800154,22680,153398,8955,9389,181636,3,7506,30023,1,3,0,0,0,0,0,9068,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423284,2706396,104623,191227,191227,0,7927,6669,5.959553405893106,1137.1757649285928,13652,100.0,72095450,13652,191227,0,adaptive_memory_escape_safe,8955,8955,0,8955,0,5836,0,0,0,0,0,0,0,0,0,0,0,0,8955,8955,0,0,0,0,0,0,0,0,0,0,239107,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v10-case-a-adaptive-safe,v10,wi29,5,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,46.581124674999955,22454,153647,5947,9313,184720,5,11996,47982,2,5,0,0,0,0,0,11293,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439930,2706396,102932,189406,189406,0,8500,6670,5.855743092803007,1043.079453660391,14021,100.0,71206310,14021,189406,0,adaptive_memory_escape_safe,5947,5947,0,5947,0,5788,0,0,0,0,0,0,0,0,0,0,0,0,5947,5947,0,0,0,0,0,0,0,0,0,0,259295,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-adaptive-safe,v10,wi29,6,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,39.3160882810007,22918,152997,5551,8740,185689,2,5800,23200,0,2,0,0,0,0,0,9734,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426271,2706396,102976,189971,189971,0,8030,6669,5.741202285545314,1010.0881871443536,13656,100.0,71583890,13656,189971,0,adaptive_memory_escape_safe,5551,5551,0,5551,0,6477,0,0,0,0,0,0,0,0,0,0,0,0,5551,5551,0,0,0,0,0,0,0,0,0,0,232948,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-adaptive-safe,v10,wi29,7,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,39.75773624900103,23959,150651,8263,9716,182001,3,7506,30023,1,3,0,0,0,0,0,9701,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425459,2706396,104509,190381,190381,0,8002,6669,5.859757931637625,1068.4002395196999,13705,100.0,71730456,13705,190381,0,adaptive_memory_escape_safe,8263,8263,0,8263,0,6182,0,0,0,0,0,0,0,0,0,0,0,0,8263,8263,0,0,0,0,0,0,0,0,0,0,239740,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v10-case-a-adaptive-safe,v10,wi29,8,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,42.24724722300016,22783,153444,5059,9518,185403,3,8700,34800,0,3,0,0,0,0,0,9862,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435493,2706396,101881,189299,189299,0,8347,6670,6.065080092920956,1101.592137306589,14102,100.0,71129982,14102,189299,0,adaptive_memory_escape_safe,5059,5059,0,5059,0,5017,0,0,0,0,0,0,0,0,0,0,0,0,5059,5059,0,0,0,0,0,0,0,0,0,0,244678,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-adaptive-safe,v10,wi29,9,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,39.521534599000006,23207,152361,5727,9224,185029,2,5800,23200,0,2,0,0,0,0,0,9528,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440249,2706396,102680,188741,188741,0,8512,6669,5.893090701566221,1022.8823202165931,14056,100.0,70922110,14056,188741,0,adaptive_memory_escape_safe,5727,5727,0,5727,0,6127,0,0,0,0,0,0,0,0,0,0,0,0,5727,5727,0,0,0,0,0,0,0,0,0,0,232742,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-adaptive-safe,v10,wi29,10,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,42.23010930000055,22835,152947,5310,8727,185943,3,8700,34800,0,3,0,0,0,0,0,7992,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436160,2706396,102954,190269,190269,0,8370,6670,5.975143525601536,1081.235603277465,13996,100.0,71566838,13996,190269,0,adaptive_memory_escape_safe,5310,5310,0,5310,0,5721,0,0,0,0,0,0,0,0,0,0,0,0,5310,5310,0,0,0,0,0,0,0,0,0,0,242808,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
