experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v10-case-a-double-bridge,v10,wi29,1,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,25.517429010000342,16180,166759,94014,3019,102947,2,5800,23200,0,2,0,0,0,0,0,9704,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250473,2706396,52919,101322,101322,0,1968,6669,5.509198407797809,1007.5098004382069,8481,100.0,37693446,8481,101322,0,double_bridge_escape,94014,94014,0,0,0,6386,0,0,0,0,0,0,0,0,0,0,0,0,94014,94014,0,0,0,0,0,0,232918,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-double-bridge,v10,wi29,2,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,29.413833787999465,16930,165492,79635,3735,116610,3,8700,34800,0,3,0,0,0,0,0,8913,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255954,2706396,60255,115314,115314,0,2156,6670,5.5324205820744465,1059.0755849246405,8695,100.0,43287314,8695,115314,0,double_bridge_escape,79635,79635,0,0,0,5520,0,0,0,0,0,0,0,0,0,0,0,0,79635,79635,0,0,0,0,0,0,243729,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-double-bridge,v10,wi29,3,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,31.989270069001577,18956,161589,67227,4058,128695,4,11600,46400,0,4,0,0,0,0,0,9071,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266597,2706396,66324,126930,126930,0,2522,6671,5.538775094337692,1046.9817537225242,9029,100.0,47867806,9029,126930,0,double_bridge_escape,67227,67227,0,0,0,3508,0,0,0,0,0,0,0,0,0,0,0,0,67227,67227,0,0,0,0,0,0,255489,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-double-bridge,v10,wi29,4,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,25.820980597000016,15687,167962,97622,2813,99545,3,7506,30023,1,3,0,0,0,0,0,9464,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235567,2706396,51420,98478,98478,0,1454,6669,5.402847700687294,1037.0725035033206,7993,100.0,36736910,7993,98478,0,double_bridge_escape,97622,97622,0,0,0,6375,0,0,0,0,0,0,0,0,0,0,0,0,97622,97622,0,0,0,0,0,0,239503,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v10-case-a-double-bridge,v10,wi29,5,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,31.638417352000033,18038,163520,72337,3855,123788,4,10383,41529,2,4,0,0,0,0,0,10415,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263581,2706396,63908,122842,122842,0,2420,6669,5.698665847956636,1052.0333924879112,8934,100.0,46246648,8934,122842,0,double_bridge_escape,72337,72337,0,0,0,5153,0,0,0,0,0,0,0,0,0,0,0,0,72337,72337,0,0,0,0,0,0,251962,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-double-bridge,v10,wi29,6,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,28.352692020000177,17329,164644,82251,3680,114049,3,8700,34800,0,3,0,0,0,0,0,10182,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252387,2706396,58619,112292,112292,0,2033,6670,5.567195810888655,1009.3761265272682,8620,100.0,42090832,8620,112292,0,double_bridge_escape,82251,82251,0,0,0,5371,0,0,0,0,0,0,0,0,0,0,0,0,82251,82251,0,0,0,0,0,0,244998,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-double-bridge,v10,wi29,7,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,28.13156741900093,17421,164381,75935,4243,119802,2,5800,23200,0,2,0,0,0,0,0,7621,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262827,2706396,62118,119190,119190,0,2394,6669,5.557232590418723,1026.3901334004531,8927,100.0,44766778,8927,119190,0,double_bridge_escape,75935,75935,0,0,0,6264,0,0,0,0,0,0,0,0,0,0,0,0,75935,75935,0,0,0,0,0,0,230835,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-double-bridge,v10,wi29,8,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,29.694594991000486,17241,164771,75702,4065,120213,3,8700,34800,0,3,0,0,0,0,0,9465,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258680,2706396,62161,119255,119255,0,2250,6670,5.684333264193278,1006.6600058697749,8725,100.0,44875180,8725,119255,0,double_bridge_escape,75702,75702,0,0,0,5687,0,0,0,0,0,0,0,0,0,0,0,0,75702,75702,0,0,0,0,0,0,244281,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-double-bridge,v10,wi29,9,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,26.868816849000723,16371,166175,82696,3758,113526,2,4416,17663,1,2,0,0,0,0,0,8024,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264915,2706396,58595,112421,112421,0,2467,6668,5.658439551365969,1111.5506266622783,8924,100.0,42019782,8924,112421,0,double_bridge_escape,82696,82696,0,0,0,6663,0,0,0,0,0,0,0,0,0,0,0,0,82696,82696,0,0,0,0,0,0,225701,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v10-case-a-double-bridge,v10,wi29,10,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,32.903788237999834,16986,165231,60948,5764,133268,3,8700,34800,0,3,0,0,0,0,0,7418,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282605,2706396,69542,133640,133640,0,3075,6670,5.968529540961108,1074.064067644418,9375,100.0,50451590,9375,133640,0,double_bridge_escape,60948,60948,0,0,0,3278,0,0,0,0,0,0,0,0,0,0,0,0,60948,60948,0,0,0,0,0,0,242234,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
