experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v10-case-a-ga-lite,v10,wi29,1,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,41.86238186299852,22972,143436,10850,8724,180406,3,8700,34800,0,3,0,0,0,0,0,9732,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700466,2706396,94481,178681,178681,0,17484,6670,5.968134436153233,997.0124467626664,22579,100.0,63377412,22579,178681,0,ga_edge_recombination_lite,10850,10850,0,0,0,5327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10850,10850,0,8607,2243,244548,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-ga-lite,v10,wi29,2,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,38.85384107800019,22257,148821,10262,9354,180364,2,5800,23200,0,2,0,0,0,0,0,8165,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581827,2706396,94652,179310,179310,0,13394,6669,5.94041413113397,999.5894261335118,18809,100.0,65163406,18809,179310,0,ga_edge_recombination_lite,10262,10262,0,0,0,6356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10262,10262,0,10262,0,231379,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-ga-lite,v10,wi29,3,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,41.679630884998915,22847,144225,9670,8723,181587,3,6401,25603,1,3,0,0,0,0,0,9805,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672539,2706396,95229,180160,180160,0,16522,6669,6.100064227102371,1075.433819937833,21898,100.0,64254372,21898,180160,0,ga_edge_recombination_lite,9670,9670,0,0,0,5532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9670,9670,0,9670,0,235424,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-ga-lite,v10,wi29,4,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,42.077682931998424,21933,150782,12236,11522,176222,4,10406,41623,1,4,0,0,0,0,0,9959,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489317,2706396,94228,179278,179278,0,10203,6670,6.1723300611576155,1050.6566728767611,15823,100.0,66362730,15823,179278,0,ga_edge_recombination_lite,12236,12236,0,0,0,4456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12236,12236,0,12236,0,251600,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v10-case-a-ga-lite,v10,wi29,5,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,42.30497888799982,23053,145658,9333,9519,181128,3,7133,28531,1,3,0,0,0,0,0,13014,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623587,2706396,95249,181063,181063,0,14834,6669,6.141259247526984,1068.7053180384728,20405,100.0,65227148,20405,181063,0,ga_edge_recombination_lite,9333,9333,0,0,0,4410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9333,9333,0,9333,0,241561,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-ga-lite,v10,wi29,6,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,43.01743804600119,22008,143992,11731,8476,179773,2,5800,23200,0,2,0,0,0,0,0,10117,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741646,2706396,93859,177668,177668,0,18905,6669,6.15617278903237,1082.012911722989,24067,100.0,62362006,24067,177668,0,ga_edge_recombination_lite,11731,11731,0,0,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11731,11731,0,10217,1514,233331,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-ga-lite,v10,wi29,7,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,43.89913286299998,23258,146390,8483,9707,181790,4,11600,46400,0,4,0,0,0,0,0,9486,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585945,2706396,95676,181216,181216,0,13534,6671,5.973794353176067,1010.8430160692212,18831,100.0,65928310,18831,181216,0,ga_edge_recombination_lite,8483,8483,0,0,0,5818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8483,8483,0,8483,0,255904,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-ga-lite,v10,wi29,8,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,41.45644449400061,23373,140366,12250,8503,179227,2,5800,23200,0,2,0,0,0,0,0,7697,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760728,2706396,93585,176873,176873,0,19563,6669,5.921733878346974,992.4464955080764,24679,100.0,61790764,24679,176873,0,ga_edge_recombination_lite,12250,12250,0,0,0,6488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12250,12250,0,8883,3367,230911,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-ga-lite,v10,wi29,9,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,46.685015930999725,21224,146510,10696,9287,179997,4,11600,46400,0,4,0,0,0,0,0,12581,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697334,2706396,94426,179238,179238,0,17375,6671,6.246229055408,1101.9041107354467,22548,100.0,63616140,22548,179238,0,ga_edge_recombination_lite,10696,10696,0,0,0,5355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10696,10696,0,9596,1100,258999,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-ga-lite,v10,wi29,10,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,44.614169329001015,21688,148402,10244,9502,180234,4,11600,46400,0,4,0,0,0,0,0,7838,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607289,2706396,94836,179915,179915,0,14270,6671,6.097960984325311,1026.577066948281,19711,100.0,65042824,19711,179915,0,ga_edge_recombination_lite,10244,10244,0,0,0,5590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10244,10244,0,10244,0,254256,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
