experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v10-case-a-memory-complement,v10,wi29,1,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,36.16280159099915,22666,152371,22768,7581,169631,2,5800,23200,0,2,0,0,0,0,0,9532,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421631,2706396,111067,212815,212815,0,7870,6669,5.269621739365724,1009.5497638794258,13690,100.0,80844750,13690,212815,0,memory_complement,22768,22768,0,45536,0,6158,22768,45536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232746,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-memory-complement,v10,wi29,2,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,38.84937782099951,22070,153259,24175,7371,168434,3,8700,34800,0,3,0,0,0,0,0,10814,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426619,2706396,111852,214561,214561,0,8041,6670,5.473835881105776,1133.5914961246451,13907,100.0,81465524,13907,214561,0,memory_complement,24175,24175,0,48350,0,5311,24175,48350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245630,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v10-case-a-memory-complement,v10,wi29,3,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,38.10874734199933,22038,153344,21315,7908,170757,3,8700,34800,0,3,0,0,0,0,0,7407,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416614,2706396,110577,211482,211482,0,7696,6670,5.403125041669036,1012.5947361950426,13563,100.0,80355114,13563,211482,0,memory_complement,21315,21315,0,42630,0,6160,21315,42630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242223,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-memory-complement,v10,wi29,4,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,38.324080365000555,22040,153549,21605,7633,170742,3,7506,30023,1,3,0,0,0,0,0,9256,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421486,2706396,110923,212777,212777,0,7865,6669,5.435724973693744,1148.4814853109124,13732,100.0,80812270,13732,212777,0,memory_complement,21605,21605,0,43210,0,6154,21605,43210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239295,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v10-case-a-memory-complement,v10,wi29,5,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,40.75420666399987,22748,152428,20440,7872,171668,5,11996,47982,2,5,0,0,0,0,0,10605,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413917,2706396,110003,211328,211328,0,7603,6670,5.463285135363177,1101.292654073289,13517,100.0,80311266,13517,211328,0,memory_complement,20440,20440,0,40880,0,3918,20440,40880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258607,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-memory-complement,v10,wi29,6,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,37.99392398300006,22030,153824,21484,7789,170707,3,8700,34800,0,3,0,0,0,0,0,10597,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416411,2706396,110795,212356,212356,0,7689,6670,5.3684413854694295,1007.869144267174,13478,100.0,80744468,13478,212356,0,memory_complement,21484,21484,0,42968,0,5148,21484,42968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245413,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-memory-complement,v10,wi29,7,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,36.015106603001186,22746,151774,24218,8404,167358,2,5800,23200,0,2,0,0,0,0,0,9020,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409422,2706396,112314,215356,215356,0,7449,6669,5.248696919579483,1070.35215178588,13334,100.0,82020932,13334,215356,0,memory_complement,24218,24218,0,48436,0,6149,24218,48436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232234,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v10-case-a-memory-complement,v10,wi29,8,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,37.220039893998546,22464,152764,20628,7503,171849,2,5800,23200,0,2,0,0,0,0,0,9652,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419572,2706396,110168,211528,211528,0,7799,6669,5.5257927167388585,1104.8325517189214,13606,100.0,80356332,13606,211528,0,memory_complement,20628,20628,0,41256,0,5417,20628,41256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232866,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-memory-complement,v10,wi29,9,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,36.907004556000174,21816,154028,22834,7238,169908,2,5800,23200,0,2,0,0,0,0,0,8421,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422907,2706396,111351,213133,213133,0,7914,6669,5.494994639600692,1040.1835051352912,13710,100.0,80965738,13710,213133,0,memory_complement,22834,22834,0,45668,0,5810,22834,45668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231635,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-memory-complement,v10,wi29,10,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27750,27603,147,0.5325508096945984,no,38.29264937699918,20806,155882,22684,8010,169286,2,5800,23200,0,2,0,0,0,0,0,6886,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444019,2706396,111144,213049,213049,0,8642,6669,5.688434313786824,1130.746049030974,14493,100.0,80613736,14493,213049,0,memory_complement,22684,22684,0,45368,0,5687,22684,45368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230100,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
