experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v10-case-a-suspicious-edge,v10,wi29,1,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,37.39096015799987,22957,152767,5736,10012,184232,2,5800,23200,0,2,0,0,0,0,0,9374,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415802,2706396,102365,189049,189049,0,7669,6669,5.743891175851181,1007.5314283598432,13343,100.0,71336636,13343,189049,0,suspicious_edge_replacement,5736,5736,0,5736,0,5960,0,0,0,5736,5736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232588,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-suspicious-edge,v10,wi29,2,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,40.813163376999,21999,154636,4969,9817,185194,3,8700,34800,0,3,0,0,0,0,0,12511,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443207,2706396,102597,189602,189602,0,8613,6670,6.140167307596702,1116.6971392706828,14222,100.0,71204280,14222,189602,0,suspicious_edge_replacement,4969,4969,0,4969,0,5908,0,0,0,4969,4969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247327,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-suspicious-edge,v10,wi29,3,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,40.389523895999446,21291,156078,4557,10584,184839,3,8700,34800,0,3,0,0,0,0,0,6960,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416469,2706396,102282,191177,191177,0,7691,6670,6.218738400590883,1076.4844515815187,13510,100.0,72132802,13510,191177,0,suspicious_edge_replacement,4557,4557,0,4557,0,3144,0,0,0,4557,4557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241776,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-suspicious-edge,v10,wi29,4,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,37.9550771610011,23628,151343,9442,9459,181079,3,7506,30023,1,3,0,0,0,0,0,9523,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427170,2706396,104854,190513,190513,0,8061,6669,5.781438823342578,1066.320161878717,13699,100.0,71786484,13699,190513,0,suspicious_edge_replacement,9442,9442,0,9442,0,6268,0,0,0,9442,9442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239562,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v10-case-a-suspicious-edge,v10,wi29,5,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28737,27603,1134,4.108249103358331,no,39.08563581999988,23129,152554,7098,9771,183111,3,7483,29929,2,3,0,0,0,0,0,8988,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430940,2706396,103522,189903,189903,0,8192,6668,6.032362050777358,1063.382195120667,13852,100.0,71476706,13852,189903,0,suspicious_edge_replacement,7098,7098,0,7098,0,6666,0,0,0,7098,7098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238933,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 8, 6, 2, 3, 7, 4]"
v10-case-a-suspicious-edge,v10,wi29,6,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,39.132930437999676,22104,154627,3253,10630,186097,2,5800,23200,0,2,0,0,0,0,0,9840,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440974,2706396,101541,191012,191012,0,8537,6669,6.301339624960961,1052.3661550059683,14173,100.0,71796634,14173,191012,0,suspicious_edge_replacement,3253,3253,0,3253,0,6363,0,0,0,3253,3253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233054,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-suspicious-edge,v10,wi29,7,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27750,27603,147,0.5325508096945984,no,37.40637012499974,22607,153533,7896,9392,182692,2,5800,23200,0,2,0,0,0,0,0,7423,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447064,2706396,104141,190233,190233,0,8747,6669,6.092128090842388,1077.2844879700158,14310,100.0,71424738,14310,190233,0,suspicious_edge_replacement,7896,7896,0,7896,0,6325,0,0,0,7896,7896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230637,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-suspicious-edge,v10,wi29,8,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27750,27603,147,0.5325508096945984,no,36.1050351319991,22317,153945,8021,9969,181990,1,2900,11600,0,1,0,0,0,0,0,7801,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452226,2706396,103768,189896,189896,0,8926,6668,6.116661096130754,1092.271817205207,14545,100.0,71192506,14545,189896,0,suspicious_edge_replacement,8021,8021,0,8021,0,6666,0,0,0,8021,8021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219413,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v10-case-a-suspicious-edge,v10,wi29,9,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,37.46759615699921,23039,152850,8445,9591,181944,2,5800,23200,0,2,0,0,0,0,0,10428,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430882,2706396,104329,190726,190726,0,8189,6669,5.979594740965818,1150.431891823873,13955,100.0,71769026,13955,190726,0,suspicious_edge_replacement,8445,8445,0,8445,0,6184,0,0,0,8445,8445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233642,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v10-case-a-suspicious-edge,v10,wi29,10,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,39.804730981999455,21429,155919,4748,10840,184392,3,8700,34800,0,3,0,0,0,0,0,7183,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432187,2706396,102660,190991,190991,0,8233,6670,6.082113940485342,1092.3074699854967,13957,100.0,71875804,13957,190991,0,suspicious_edge_replacement,4748,4748,0,4748,0,4270,0,0,0,4748,4748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241999,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
