experiment,benchmark,case_a_mode,case_b_mode,seed,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,valid_route,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_invalid_routes,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_memory_direction_calls,case_b_memory_direction_insertions,case_b_memory_direction_fallbacks,case_b_memory_direction_invalid_routes,case_b_anti_similarity_calls,case_b_anti_similarity_high_similarity,case_b_anti_similarity_insertions,case_b_anti_similarity_fallbacks,case_b_anti_similarity_invalid_routes,mean_case_b_similarity_to_global_best,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,memory_failed_insertions,total_fitness_evaluations,best_route
v11-adaptiveA-caseB-anti-similarity,wi29,adaptive_memory_escape,anti_similarity_memory_direction,1,27750,27603,147,0.5325508096945984,no,35.78480317699723,yes,20105,20105,0,0,4916,4916,0,4916,0,0,0,0,0,4916,2781,4916,0,0,0.7832762829326064,0,0,0,0,0,218811,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-anti-similarity,wi29,adaptive_memory_escape,anti_similarity_memory_direction,2,27603,27603,0,0.0,yes,39.11696561000281,yes,14906,14906,0,0,6595,6595,0,6595,0,0,0,0,0,6595,4163,6595,0,0,0.8013019267470229,0,0,0,0,0,243238,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-anti-similarity,wi29,adaptive_memory_escape,anti_similarity_memory_direction,3,27603,27603,0,0.0,yes,37.52876717000254,yes,15209,15209,0,0,6068,6068,0,6068,0,0,0,0,0,6068,3722,6068,0,0,0.7988259495829028,0,0,0,0,0,230208,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-anti-similarity,wi29,adaptive_memory_escape,anti_similarity_memory_direction,4,28191,27603,588,2.130203238778394,no,34.814061678000144,yes,20832,20832,0,0,5885,5885,0,5885,0,0,0,0,0,5885,3527,5885,0,0,0.800158204669962,0,0,0,0,0,219781,"[0, 1, 5, 9, 10, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v11-adaptiveA-caseB-anti-similarity,wi29,adaptive_memory_escape,anti_similarity_memory_direction,5,27603,27603,0,0.0,yes,42.387972731001355,yes,15950,15950,0,0,6861,6861,0,6861,0,0,0,0,0,6861,4638,6861,0,0,0.8070855258859292,0,0,0,0,0,270685,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-anti-similarity,wi29,adaptive_memory_escape,anti_similarity_memory_direction,6,27603,27603,0,0.0,yes,35.46877694700015,yes,17279,17279,0,0,5900,5900,0,5900,0,0,0,0,0,5900,3673,5900,0,0,0.7998129748685098,0,0,0,0,0,221188,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-anti-similarity,wi29,adaptive_memory_escape,anti_similarity_memory_direction,7,27603,27603,0,0.0,yes,36.04267846999937,yes,17502,17502,0,0,6476,6476,0,6476,0,0,0,0,0,6476,4154,6476,0,0,0.8063992247236589,0,0,0,0,0,217864,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-anti-similarity,wi29,adaptive_memory_escape,anti_similarity_memory_direction,8,27603,27603,0,0.0,yes,38.97695425300117,yes,9769,9769,0,0,5088,5088,0,5088,0,0,0,0,0,5088,2582,5088,0,0,0.7850046085447671,0,0,0,0,0,234369,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-anti-similarity,wi29,adaptive_memory_escape,anti_similarity_memory_direction,9,28044,27603,441,1.5976524290837952,no,37.158881278999615,yes,23133,23133,0,0,5210,5210,0,5210,0,0,0,0,0,5210,3052,5210,0,0,0.7934608511483489,0,0,0,0,0,231390,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v11-adaptiveA-caseB-anti-similarity,wi29,adaptive_memory_escape,anti_similarity_memory_direction,10,27603,27603,0,0.0,yes,37.57891191299859,yes,17983,17983,0,0,7053,7053,0,7053,0,0,0,0,0,7053,4700,7053,0,0,0.8088903230222477,0,0,0,0,0,241534,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
