experiment,benchmark,case_a_mode,case_b_mode,seed,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,valid_route,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_invalid_routes,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_memory_direction_calls,case_b_memory_direction_insertions,case_b_memory_direction_fallbacks,case_b_memory_direction_invalid_routes,case_b_anti_similarity_calls,case_b_anti_similarity_high_similarity,case_b_anti_similarity_insertions,case_b_anti_similarity_fallbacks,case_b_anti_similarity_invalid_routes,mean_case_b_similarity_to_global_best,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,memory_failed_insertions,total_fitness_evaluations,best_route
v11-adaptiveA-caseB-mini-reconstruction,wi29,adaptive_memory_escape,mini_reconstruction,1,27603,27603,0,0.0,yes,38.61613009700159,yes,18585,18585,0,0,12725,12725,0,38175,0,0,0,0,0,0,0,0,0,0,0.0,12725,38175,0,0,0,243484,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-mini-reconstruction,wi29,adaptive_memory_escape,mini_reconstruction,2,27603,27603,0,0.0,yes,36.8205690270006,yes,19990,19990,0,0,12072,12072,0,36216,0,0,0,0,0,0,0,0,0,0,0.0,12072,36216,0,0,0,233057,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-mini-reconstruction,wi29,adaptive_memory_escape,mini_reconstruction,3,27603,27603,0,0.0,yes,42.38632307900116,yes,10926,10926,0,0,11154,11154,0,33462,0,0,0,0,0,0,0,0,0,0,0.0,11154,33462,0,0,0,257922,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-mini-reconstruction,wi29,adaptive_memory_escape,mini_reconstruction,4,27603,27603,0,0.0,yes,38.16727941600038,yes,16930,16930,0,0,10812,10812,0,32436,0,0,0,0,0,0,0,0,0,0,0.0,10812,32436,0,0,0,230796,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-mini-reconstruction,wi29,adaptive_memory_escape,mini_reconstruction,5,27603,27603,0,0.0,yes,38.93144823599869,yes,18988,18988,0,0,10291,10291,0,30873,0,0,0,0,0,0,0,0,0,0,0.0,10291,30873,0,0,0,239874,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-mini-reconstruction,wi29,adaptive_memory_escape,mini_reconstruction,6,27603,27603,0,0.0,yes,38.672318293996796,yes,18503,18503,0,0,13093,13093,0,39279,0,0,0,0,0,0,0,0,0,0,0.0,13093,39279,0,0,0,245503,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-mini-reconstruction,wi29,adaptive_memory_escape,mini_reconstruction,7,27603,27603,0,0.0,yes,38.60780128699844,yes,20778,20778,0,0,12756,12756,0,38268,0,0,0,0,0,0,0,0,0,0,0.0,12756,38268,0,0,0,230227,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-mini-reconstruction,wi29,adaptive_memory_escape,mini_reconstruction,8,27603,27603,0,0.0,yes,37.160366684998735,yes,16764,16764,0,0,11048,11048,0,33144,0,0,0,0,0,0,0,0,0,0,0.0,11048,33144,0,0,0,223918,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-mini-reconstruction,wi29,adaptive_memory_escape,mini_reconstruction,9,27603,27603,0,0.0,yes,40.69946098700166,yes,6757,6757,0,0,13893,13893,0,41679,0,0,0,0,0,0,0,0,0,0,0.0,13893,41679,0,0,0,233955,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-adaptiveA-caseB-mini-reconstruction,wi29,adaptive_memory_escape,mini_reconstruction,10,27603,27603,0,0.0,yes,37.48793114699947,yes,19336,19336,0,0,12136,12136,0,36408,0,0,0,0,0,0,0,0,0,0,0.0,12136,36408,0,0,0,231398,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
