experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v11-all,v11,wi29,1,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,38.01290459200027,22316,153158,12219,9130,178631,2,5800,23200,0,2,0,0,0,0,0,9679,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436073,2706396,106154,203270,203270,0,8368,6669,6.063011654283868,1053.3675997441826,14129,100.0,76791246,14129,203270,0,adaptive_memory_escape,12219,12219,0,24434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232893,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-all,v11,wi29,2,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,40.17762707200018,21039,155389,16849,9978,173153,4,11240,44958,1,4,0,0,0,0,0,8058,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388368,2706396,108278,208242,208242,0,6722,6670,5.867925916470323,1021.7033835633541,12770,100.0,79361632,12770,208242,0,adaptive_memory_escape,16849,16849,0,33655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253034,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-all,v11,wi29,3,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,37.700280370001565,22638,152661,22163,7377,170440,2,5800,23200,0,2,0,0,0,0,0,9146,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428185,2706396,110910,212014,212014,0,8096,6669,5.401834713179356,1023.8335062778873,13843,100.0,80457426,13843,212014,0,adaptive_memory_escape,22163,22163,0,44314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232360,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-all,v11,wi29,4,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,40.36990825000248,21948,153926,16945,9942,173093,4,10406,41623,1,4,0,0,0,0,0,9670,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392167,2706396,108928,209749,209749,0,6853,6670,5.630530276934955,1150.548641471473,12793,100.0,79964136,12793,209749,0,adaptive_memory_escape,16945,16945,0,33841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251311,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-all,v11,wi29,5,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,40.9194035670007,21781,154058,21876,7331,170773,5,11996,47982,2,5,0,0,0,0,0,11293,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426619,2706396,111000,212455,212455,0,8041,6670,5.455345965368211,1053.3990727448165,13815,100.0,80647840,13815,212455,0,adaptive_memory_escape,21876,21876,0,43732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259295,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-all,v11,wi29,6,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,36.801265434001834,21968,153782,21791,7995,170194,2,5800,23200,0,2,0,0,0,0,0,9734,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415976,2706396,110812,212375,212375,0,7675,6669,5.414657717899798,1030.3488169511477,13464,100.0,80757866,13464,212375,0,adaptive_memory_escape,21791,21791,0,43578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232948,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-all,v11,wi29,7,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,39.373009106999234,22920,152220,14668,8935,176377,3,7506,30023,1,3,0,0,0,0,0,9701,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429403,2706396,107549,206211,206211,0,8138,6669,5.9746208332716115,1133.1660580667374,14029,100.0,78025892,14029,206211,0,adaptive_memory_escape,14668,14668,0,29327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239740,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v11-all,v11,wi29,8,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,39.396997420000844,21997,153856,20063,7574,172343,3,8700,34800,0,3,0,0,0,0,0,9637,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423023,2706396,109852,210957,210957,0,7917,6670,5.5356533332517115,1120.5249932450688,13777,100.0,80055080,13777,210957,0,adaptive_memory_escape,20063,20063,0,40105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244453,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-all,v11,wi29,9,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,39.13446553800168,21990,154169,11468,8264,180248,2,5800,23200,0,2,0,0,0,0,0,9528,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436595,2706396,105324,202027,202027,0,8386,6669,6.1362826732007045,1051.7964430496913,14172,100.0,76269130,14172,202027,0,adaptive_memory_escape,11468,11468,0,22929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232742,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v11-all,v11,wi29,10,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,39.0083936719966,21796,154041,19421,7605,172954,3,8700,34800,0,3,0,0,0,0,0,7992,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417368,2706396,109633,210160,210160,0,7722,6670,5.567866970282258,1076.7056909021699,13541,100.0,79827314,13541,210160,0,adaptive_memory_escape,19421,19421,0,38837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242808,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
