experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,best_route
baseline_parameters_v1,v2,wi29,1,29,30,6666,0.15,0.01,0.0001,200010,28239,27603,636,2.304097380719487,no,12.139707199996337,6471,186138,171200,330,28450,"[0, 1, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4, 5]"
baseline_parameters_v1,v2,wi29,2,29,30,6666,0.15,0.01,0.0001,200010,28104,27603,501,1.8150201065101619,no,10.49785519996658,6798,185775,170659,358,28963,"[0, 1, 4, 3, 2, 6, 8, 12, 13, 15, 23, 26, 24, 19, 25, 27, 28, 22, 21, 20, 16, 17, 18, 14, 11, 7, 9, 10, 5]"
baseline_parameters_v1,v2,wi29,3,29,30,6666,0.15,0.01,0.0001,200010,30249,27603,2646,9.585914574502771,no,11.013052899972536,6785,185495,170242,359,29379,"[0, 1, 5, 4, 2, 6, 8, 12, 13, 16, 20, 21, 22, 28, 27, 25, 24, 26, 23, 15, 19, 17, 18, 14, 10, 9, 11, 7, 3]"
baseline_parameters_v1,v2,wi29,4,29,30,6666,0.15,0.01,0.0001,200010,30214,27603,2611,9.459116762670725,no,9.904417099896818,6043,187514,175618,402,23960,"[0, 1, 4, 3, 2, 6, 8, 7, 10, 11, 12, 13, 16, 19, 15, 23, 26, 24, 25, 27, 28, 20, 22, 21, 17, 18, 14, 9, 5]"
baseline_parameters_v1,v2,wi29,5,29,30,6666,0.15,0.01,0.0001,200010,27945,27603,342,1.2389957613302902,no,20.05871410004329,7375,184888,168767,459,30754,"[0, 1, 5, 4, 7, 3, 2, 6, 8, 12, 13, 16, 19, 15, 23, 26, 24, 25, 27, 28, 20, 22, 21, 17, 18, 14, 11, 9, 10]"
baseline_parameters_v1,v2,wi29,6,29,30,6666,0.15,0.01,0.0001,200010,28590,27603,987,3.575698293663732,no,19.704334800015204,7533,184000,168933,441,30606,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 7, 4]"
baseline_parameters_v1,v2,wi29,7,29,30,6666,0.15,0.01,0.0001,200010,30954,27603,3351,12.13998478426258,no,23.225081999902613,8253,182622,165667,540,33773,"[0, 1, 5, 9, 10, 11, 8, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 7, 6, 2, 3, 4]"
baseline_parameters_v1,v2,wi29,8,29,30,6666,0.15,0.01,0.0001,200010,27798,27603,195,0.7064449516356918,no,28.15121519996319,7669,184126,168653,477,30850,"[0, 1, 5, 4, 7, 3, 2, 6, 8, 12, 13, 15, 23, 26, 24, 19, 25, 27, 28, 22, 21, 20, 16, 17, 18, 14, 11, 9, 10]"
baseline_parameters_v1,v2,wi29,9,29,30,6666,0.15,0.01,0.0001,200010,28269,27603,666,2.4127812194326705,no,25.97191990003921,6546,185932,170750,365,28865,"[0, 1, 10, 9, 7, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 4, 5]"
baseline_parameters_v1,v2,wi29,10,29,30,6666,0.15,0.01,0.0001,200010,29315,27603,1712,6.202224395898996,no,30.805847199982964,6948,185500,171135,296,28549,"[0, 1, 4, 2, 6, 8, 12, 13, 15, 23, 26, 24, 19, 25, 27, 28, 22, 21, 20, 16, 17, 18, 14, 10, 9, 11, 7, 3, 5]"
