experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,two_opt_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v3-opt2,v3,wi29,1,29,30,12000,0.15,0.01,0.0001,360030,28084,27603,481,1.7425642140347064,no,14.803886798999883,12319,334681,313158,727,46115,2,9171,67,369203,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 4]"
v3-opt2,v3,wi29,2,29,30,12000,0.15,0.01,0.0001,360030,28502,27603,899,3.2568923667717278,no,15.329874504000145,12403,335233,313879,572,45549,2,8073,58,368105,"[0, 1, 5, 9, 10, 11, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-opt2,v3,wi29,3,29,30,12000,0.15,0.01,0.0001,360030,28943,27603,1340,4.854544795855523,no,16.077145270000074,11964,336063,315718,725,43557,2,6316,51,366348,"[0, 1, 5, 9, 10, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v3-opt2,v3,wi29,4,29,30,12000,0.15,0.01,0.0001,360030,27750,27603,147,0.5325508096945984,no,14.955147069999839,11954,336107,315280,470,44250,2,10122,62,370154,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-opt2,v3,wi29,5,29,30,12000,0.15,0.01,0.0001,360030,28590,27603,987,3.575698293663732,no,15.28554896799983,13397,332647,309036,585,50379,2,9350,60,369382,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 7, 4]"
v3-opt2,v3,wi29,6,29,30,12000,0.15,0.01,0.0001,360030,29218,27603,1615,5.850813317393037,no,15.65365120399997,14504,331262,306085,823,53092,2,9280,62,369312,"[0, 1, 5, 10, 9, 7, 11, 12, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 8, 6, 2, 3, 4]"
v3-opt2,v3,wi29,7,29,30,12000,0.15,0.01,0.0001,360030,27603,27603,0,0.0,yes,15.305080093000015,12982,333436,311598,490,47912,1,6457,45,366488,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-opt2,v3,wi29,8,29,30,12000,0.15,0.01,0.0001,360030,29260,27603,1657,6.002970691591494,no,15.496082173000104,14482,331252,306708,847,52445,1,6692,49,366723,"[0, 1, 5, 10, 9, 7, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 4]"
v3-opt2,v3,wi29,9,29,30,12000,0.15,0.01,0.0001,360030,28779,27603,1176,4.260406477556788,no,15.556719633000057,13694,332638,309335,507,50158,1,8118,53,368149,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v3-opt2,v3,wi29,10,29,30,12000,0.15,0.01,0.0001,360030,28779,27603,1176,4.260406477556788,no,15.878750925000077,13632,332714,309617,598,49785,1,6752,49,366783,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
