experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v4-sa-trigger-3,v4,wi29,1,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28084,27603,481,1.7425642140347064,no,9.015087867000148,6829,185880,173638,409,25933,2,11,0,11,2,0,9171,67,209183,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 4]"
v4-sa-trigger-3,v4,wi29,2,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28502,27603,899,3.2568923667717278,no,8.74392120399989,6881,186054,173887,292,25801,3,18,1,17,2,1,9296,61,209309,"[0, 1, 5, 9, 10, 11, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 12, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger-3,v4,wi29,3,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28590,27603,987,3.575698293663732,no,9.001205970999763,7469,184609,171544,347,28089,2,20,0,20,2,0,7452,47,207464,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger-3,v4,wi29,4,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,8.687272565999592,6730,186434,174526,253,25201,2,6,0,6,2,0,10122,62,210134,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger-3,v4,wi29,5,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28590,27603,987,3.575698293663732,no,9.12129525599994,7604,184307,171039,390,28551,2,13,0,13,2,0,9350,60,209362,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger-3,v4,wi29,6,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29499,27603,1896,6.868818606673187,no,10.007845078999708,8737,182578,167142,719,32119,1,22,0,22,1,0,8677,61,208688,"[0, 1, 5, 10, 9, 7, 11, 12, 14, 18, 17, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 16, 13, 8, 6, 2, 3, 4]"
v4-sa-trigger-3,v4,wi29,7,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27603,27603,0,0.0,yes,8.958986691000064,7328,184918,172471,315,27194,2,17,1,16,1,1,7424,48,207436,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger-3,v4,wi29,8,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29260,27603,1657,6.002970691591494,no,9.37141557599989,8221,183550,169140,517,30323,2,34,1,33,1,1,7689,52,207701,"[0, 1, 5, 10, 9, 7, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 4]"
v4-sa-trigger-3,v4,wi29,9,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,9.31046615699961,7575,184740,171598,331,28051,1,30,0,30,1,0,8118,53,208129,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger-3,v4,wi29,10,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,9.302850544000648,7475,184909,171649,390,27941,2,23,1,22,1,1,7773,52,207785,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
