experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v4-sa-trigger,v4,wi29,1,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29970,27603,2367,8.575154874470167,no,9.992925383000056,7687,188253,185135,196,14649,6725,11726,6724,5002,1,6724,3297636,5504,3504371,"[0, 1, 5, 10, 9, 7, 11, 12, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 8, 6, 2, 3, 4]"
v4-sa-trigger,v4,wi29,2,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29218,27603,1615,5.850813317393037,no,9.48878693000006,7514,188495,185444,242,14294,6475,11484,6474,5010,1,6474,3158033,5530,3364518,"[0, 1, 5, 10, 9, 7, 11, 12, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 8, 6, 2, 3, 4]"
v4-sa-trigger,v4,wi29,3,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28231,27603,628,2.2751150237293047,no,8.741731917999914,5917,190639,187494,199,12287,5120,9340,5119,4221,1,5119,2407704,2855,2612834,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 4]"
v4-sa-trigger,v4,wi29,4,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,8.846974839000268,6476,190253,187999,195,11786,5713,9726,5712,4014,1,5712,2670010,3552,2875733,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger,v4,wi29,5,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29260,27603,1657,6.002970691591494,no,9.71478691700031,7980,187918,184928,183,14869,6893,12061,6892,5169,1,6892,3448994,5784,3655897,"[0, 1, 5, 10, 9, 7, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 4]"
v4-sa-trigger,v4,wi29,6,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29218,27603,1615,5.850813317393037,no,9.583078976999786,7292,188710,185528,372,14080,6313,11270,6313,4957,0,6313,3046834,5203,3253157,"[0, 1, 5, 10, 9, 7, 11, 12, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 8, 6, 2, 3, 4]"
v4-sa-trigger,v4,wi29,7,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28231,27603,628,2.2751150237293047,no,8.658934908999981,5885,190701,187676,184,12120,5117,9278,5116,4162,1,5116,2416882,2864,2622009,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 4]"
v4-sa-trigger,v4,wi29,8,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,8.790806513000007,6306,190526,188691,144,11145,5543,9453,5542,3911,1,5542,2599835,3500,2805388,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger,v4,wi29,9,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,11.027555074999782,7349,189057,187085,164,12731,6444,10923,6444,4479,0,6444,3125431,4169,3331885,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger,v4,wi29,10,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,9.730109279000317,6385,190433,188076,220,11684,5672,9545,5670,3875,2,5670,2662807,3643,2868489,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
