experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v4-sa-trigger2,v4,wi29,1,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28084,27603,481,1.7425642140347064,no,8.715385160000551,6655,186383,174228,386,25366,189,5514,188,5326,1,188,119650,276,319849,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 4]"
v4-sa-trigger2,v4,wi29,2,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28502,27603,899,3.2568923667717278,no,8.713053415999639,6808,186409,174536,350,25094,187,5367,185,5182,2,185,108674,260,308871,"[0, 1, 5, 9, 10, 11, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 12, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger2,v4,wi29,3,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29009,27603,1406,5.093649241024527,no,8.9744578130003,7881,184047,170683,488,28809,260,6956,259,6697,1,259,157584,339,357854,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 24, 26, 23, 15, 19, 13, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger2,v4,wi29,4,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,8.595450054000139,6645,186736,175451,361,24168,193,5409,191,5218,2,191,112450,269,312653,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger2,v4,wi29,5,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28590,27603,987,3.575698293663732,no,8.976582059000066,7600,184546,171090,354,28536,235,6664,233,6431,2,233,145686,330,345931,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger2,v4,wi29,6,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29218,27603,1615,5.850813317393037,no,8.917832549000195,7691,184804,171177,421,28382,157,6045,156,5889,1,156,96318,288,296485,"[0, 1, 5, 10, 9, 7, 11, 12, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 8, 6, 2, 3, 4]"
v4-sa-trigger2,v4,wi29,7,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27603,27603,0,0.0,yes,10.026713277999988,7200,185364,173751,322,25907,199,6397,198,6199,1,198,120401,276,320610,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger2,v4,wi29,8,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29260,27603,1657,6.002970691591494,no,9.103784566000286,8262,183716,170511,351,29118,207,6420,206,6214,1,206,125504,370,325721,"[0, 1, 5, 10, 9, 7, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 4]"
v4-sa-trigger2,v4,wi29,9,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,9.161173706000227,7546,184994,172556,267,27157,186,5759,185,5574,1,185,109627,252,309823,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v4-sa-trigger2,v4,wi29,10,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,9.266334744000233,7580,184919,172012,270,27698,215,5875,214,5661,1,214,122705,278,322930,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
