experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v5-2opt-3opt-rho=0.5,v5,wi29,1,29,30,6666,0.5,0.01,0.0001,0.01,0.0001,200010,28084,27603,481,1.7425642140347064,no,8.769318986000144,2823,194029,188634,252,11094,2,3501,14003,1,2,0,0,0,0,0,9171,67,223188,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 4]"
v5-2opt-3opt-rho=0.5,v5,wi29,2,29,30,6666,0.5,0.01,0.0001,0.01,0.0001,200010,28022,27603,419,1.5179509473607942,no,11.447698042000411,3092,193447,187384,239,12357,3,7687,30747,1,3,0,0,0,0,0,8695,59,239458,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 24, 26, 23, 15, 19, 13, 12, 8, 6, 2, 3, 7, 4]"
v5-2opt-3opt-rho=0.5,v5,wi29,3,29,30,6666,0.5,0.01,0.0001,0.01,0.0001,200010,28044,27603,441,1.5976524290837952,no,9.113854159997572,2726,194130,189120,153,10707,2,4416,17663,1,2,0,0,0,0,0,6910,54,224587,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v5-2opt-3opt-rho=0.5,v5,wi29,4,29,30,6666,0.5,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,10.22794239599898,2782,194162,189098,256,10626,2,5800,23200,0,2,0,0,0,0,0,10497,63,233711,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v5-2opt-3opt-rho=0.5,v5,wi29,5,29,30,6666,0.5,0.01,0.0001,0.01,0.0001,200010,28231,27603,628,2.2751150237293047,no,10.455731964000734,2748,194245,188780,212,10988,3,6401,25603,1,3,0,0,0,0,0,8279,56,233898,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 4]"
v5-2opt-3opt-rho=0.5,v5,wi29,6,29,30,6666,0.5,0.01,0.0001,0.01,0.0001,200010,28191,27603,588,2.130203238778394,no,10.646867440002097,2576,194631,189738,191,10051,3,6965,27858,1,3,0,0,0,0,0,9537,63,237411,"[0, 1, 5, 9, 10, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v5-2opt-3opt-rho=0.5,v5,wi29,7,29,30,6666,0.5,0.01,0.0001,0.01,0.0001,200010,27603,27603,0,0.0,yes,8.23835200099711,2884,193903,188663,183,11134,1,2900,11600,0,1,0,0,0,0,0,6457,45,218069,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v5-2opt-3opt-rho=0.5,v5,wi29,8,29,30,6666,0.5,0.01,0.0001,0.01,0.0001,200010,28737,27603,1134,4.108249103358331,no,8.190643909998471,2895,194005,188761,225,10994,1,2900,11600,0,1,0,0,0,0,0,8192,58,219804,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 8, 6, 2, 3, 7, 4]"
v5-2opt-3opt-rho=0.5,v5,wi29,9,29,30,6666,0.5,0.01,0.0001,0.01,0.0001,200010,28590,27603,987,3.575698293663732,no,11.840304563000245,3209,193201,187163,285,12532,4,9096,36382,2,4,0,0,0,0,0,10477,56,246877,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 7, 4]"
v5-2opt-3opt-rho=0.5,v5,wi29,10,29,30,6666,0.5,0.01,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,8.229524131998915,3132,193481,187910,236,11834,1,2900,11600,0,1,0,0,0,0,0,6752,49,218364,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
