experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v5-2opt-3opt,v5,wi29,1,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28084,27603,481,1.7425642140347064,no,10.594234686000163,6807,185979,174179,349,25452,2,3501,14003,1,2,0,0,0,0,0,9171,67,223188,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 4]"
v5-2opt-3opt,v5,wi29,2,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27603,27603,0,0.0,yes,15.327726448000249,7212,185094,172050,492,27438,4,10587,42347,1,4,0,0,0,0,0,9672,61,252037,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v5-2opt-3opt,v5,wi29,3,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28044,27603,441,1.5976524290837952,no,11.304445800999929,6608,186279,175004,288,24688,2,4416,17663,1,2,0,0,0,0,0,6910,54,224587,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v5-2opt-3opt,v5,wi29,4,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,12.13677336300043,6779,186313,174459,323,25198,2,5800,23200,0,2,0,0,0,0,0,10122,62,233336,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v5-2opt-3opt,v5,wi29,5,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28737,27603,1134,4.108249103358331,no,13.262520178000159,7034,185839,173249,272,26459,3,7483,29929,2,3,0,0,0,0,0,8838,56,238783,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 8, 6, 2, 3, 7, 4]"
v5-2opt-3opt,v5,wi29,6,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28191,27603,588,2.130203238778394,no,12.33334038599969,5975,187966,177643,266,22071,3,6965,27858,1,3,0,0,0,0,0,9484,62,237358,"[0, 1, 5, 9, 10, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v5-2opt-3opt,v5,wi29,7,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27603,27603,0,0.0,yes,10.856305628999507,7338,184826,172043,314,27623,1,2900,11600,0,1,0,0,0,0,0,6457,45,218069,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v5-2opt-3opt,v5,wi29,8,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29260,27603,1657,6.002970691591494,no,10.870948865999708,8253,183486,169170,390,30420,1,2900,11600,0,1,0,0,0,0,0,6692,49,218304,"[0, 1, 5, 10, 9, 7, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 4]"
v5-2opt-3opt,v5,wi29,9,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,10.504734918000395,7542,184795,171688,314,27978,1,2900,11600,0,1,0,0,0,0,0,8118,53,219730,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v5-2opt-3opt,v5,wi29,10,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,10.606352217000676,7511,184815,171800,346,27834,1,2900,11600,0,1,0,0,0,0,0,6752,49,218364,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
