experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v5_all,v5,wi29,1,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,28084,27603,481,1.7425642140347064,no,14.233609814000374,19563,161952,134216,1366,64398,2,3501,14003,1,2,0,0,0,0,0,9171,67,223188,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 4]"
v5_all,v5,wi29,2,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,27603,27603,0,0.0,yes,18.05868057400039,19930,161313,133244,1236,65500,4,10587,42347,1,4,0,0,0,0,0,9447,60,251812,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v5_all,v5,wi29,3,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,27603,27603,0,0.0,yes,15.296180069000911,19952,161128,132969,1252,65759,2,5800,23200,0,2,0,0,0,0,0,7419,47,230633,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v5_all,v5,wi29,4,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,14.698077061000731,18892,163755,137462,1136,61382,2,5800,23200,0,2,0,0,0,0,0,10329,63,233543,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v5_all,v5,wi29,5,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,13.206967067999358,19269,163220,136352,1089,62539,1,2900,11600,0,1,0,0,0,0,0,9099,54,220711,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v5_all,v5,wi29,6,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,28191,27603,588,2.130203238778394,no,15.411688222000521,18900,163749,137162,1237,61581,3,6965,27858,1,3,0,0,0,0,0,9484,62,237358,"[0, 1, 5, 9, 10, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v5_all,v5,wi29,7,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,27603,27603,0,0.0,yes,13.455686352001067,19812,161503,133927,1193,64860,1,2900,11600,0,1,0,0,0,0,0,6457,45,218069,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v5_all,v5,wi29,8,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,29260,27603,1657,6.002970691591494,no,14.013084741998682,21193,159575,129490,1359,69131,1,2900,11600,0,1,0,0,0,0,0,6692,49,218304,"[0, 1, 5, 10, 9, 7, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 4]"
v5_all,v5,wi29,9,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,13.99542580600064,20604,160511,132132,1140,66708,1,2900,11600,0,1,0,0,0,0,0,8118,53,219730,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v5_all,v5,wi29,10,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,14.114680389000569,20578,160628,132213,1232,66535,1,2900,11600,0,1,0,0,0,0,0,6752,49,218364,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
