experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,total_fitness_evaluations,best_route
v7-2,v7,wi29,1,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,28084,27603,481,1.7425642140347064,no,17.993424470001628,19563,161952,134216,1366,64398,4,9301,37203,1,4,0,0,0,0,0,9925,67,0,0,0,0,0,0,0,0,0,1,20,7540,7540,20,10,10,19,0,0,1,0,254686,"[0, 1, 5, 10, 9, 7, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 4]"
v7-2,v7,wi29,2,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,27603,27603,0,0.0,yes,28.556501633000153,19930,161313,133244,1236,65500,10,27987,111947,1,10,0,0,0,0,0,11709,60,0,0,0,0,0,0,0,0,0,3,60,22620,22544,60,30,30,57,0,0,3,0,346306,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v7-2,v7,wi29,3,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,27603,27603,0,0.0,yes,22.51996733499982,19952,161128,132969,1252,65759,6,17400,69600,0,6,0,0,0,0,0,8927,47,0,0,0,0,0,0,0,0,0,2,40,15080,15042,40,20,20,38,0,0,2,0,293629,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v7-2,v7,wi29,4,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,27750,27603,147,0.5325508096945984,no,22.089286220001668,18892,163755,137462,1136,61382,6,17400,69600,0,6,0,0,0,0,0,11837,63,0,0,0,0,0,0,0,0,0,2,40,15080,15042,40,20,20,38,0,0,2,0,296539,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v7-2,v7,wi29,5,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,27750,27603,147,0.5325508096945984,no,17.10580887800097,19269,163220,136352,1089,62539,3,8700,34800,0,3,0,0,0,0,0,9853,54,0,0,0,0,0,0,0,0,0,1,20,7540,7540,20,10,10,19,0,0,1,0,252209,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v7-2,v7,wi29,6,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,28191,27603,588,2.130203238778394,no,22.74673594900014,18900,163749,137162,1237,61581,7,18565,74258,1,7,0,0,0,0,0,10992,62,0,0,0,0,0,0,0,0,0,2,40,15080,15042,40,20,20,38,0,0,2,0,300354,"[0, 1, 5, 9, 10, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v7-2,v7,wi29,7,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,27603,27603,0,0.0,yes,17.43764338099936,19812,161503,133927,1193,64860,3,8700,34800,0,3,0,0,0,0,0,7211,45,0,0,0,0,0,0,0,0,0,1,20,7540,7540,20,10,10,19,0,0,1,0,249567,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v7-2,v7,wi29,8,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,29260,27603,1657,6.002970691591494,no,17.942467187000148,21193,159575,129490,1359,69131,3,8700,34800,0,3,0,0,0,0,0,7446,49,0,0,0,0,0,0,0,0,0,1,20,7540,7540,20,10,10,19,0,0,1,0,249802,"[0, 1, 5, 10, 9, 7, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 4]"
v7-2,v7,wi29,9,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,28779,27603,1176,4.260406477556788,no,17.66147577099764,20604,160511,132132,1140,66708,3,8700,34800,0,3,0,0,0,0,0,8872,53,0,0,0,0,0,0,0,0,0,1,20,7540,7540,20,10,10,19,0,0,1,0,251228,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v7-2,v7,wi29,10,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,28779,27603,1176,4.260406477556788,no,17.685227861002204,20578,160628,132213,1232,66535,3,8700,34800,0,3,0,0,0,0,0,7506,49,0,0,0,0,0,0,0,0,0,1,20,7540,7540,20,10,10,19,0,0,1,0,249862,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
