experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,total_fitness_evaluations,best_route
v8-vnd-third,v8,wi29,1,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,27603,27603,0,0.0,yes,16.628324654997414,19786,161493,134491,1187,64302,2,3501,14003,1,2,0,0,0,0,0,9171,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,15778,238970,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v8-vnd-third,v8,wi29,2,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,28191,27603,588,2.130203238778394,no,16.78351690600175,18739,164211,138473,1127,60380,2,4787,19147,1,2,0,0,0,0,0,8318,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,0,16286,243770,"[0, 1, 5, 9, 10, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v8-vnd-third,v8,wi29,3,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,27750,27603,147,0.5325508096945984,no,15.663978369000688,19415,162951,136919,1231,61830,1,2900,11600,0,1,0,0,0,0,0,6764,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,15847,234227,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v8-vnd-third,v8,wi29,4,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,28191,27603,588,2.130203238778394,no,15.099688379999861,18441,164468,138923,1087,59970,1,2900,11600,0,1,0,0,0,0,0,9745,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14969,236329,"[0, 1, 5, 9, 10, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v8-vnd-third,v8,wi29,5,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,27750,27603,147,0.5325508096945984,no,15.548313879000489,19269,163220,136352,1089,62539,1,2900,11600,0,1,0,0,0,0,0,9099,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14463,235176,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v8-vnd-third,v8,wi29,6,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,28191,27603,588,2.130203238778394,no,16.126720919000945,18855,163646,137579,1205,61196,2,4065,16258,1,2,0,0,0,0,0,9107,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15208,240590,"[0, 1, 5, 9, 10, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v8-vnd-third,v8,wi29,7,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,27603,27603,0,0.0,yes,16.012380578999,19812,161503,133927,1193,64860,1,2900,11600,0,1,0,0,0,0,0,6457,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14463,232534,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v8-vnd-third,v8,wi29,8,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,28779,27603,1176,4.260406477556788,no,16.426550992997363,20801,160162,132029,1055,66896,1,2900,11600,0,1,0,0,0,0,0,6692,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,15778,234086,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v8-vnd-third,v8,wi29,9,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,28779,27603,1176,4.260406477556788,no,16.43623875599951,20604,160511,132132,1140,66708,1,2900,11600,0,1,0,0,0,0,0,8118,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14463,234195,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v8-vnd-third,v8,wi29,10,29,30,6666,0.2,0.03,0.0001,0.01,0.0001,,7,50,20,,200010,28779,27603,1176,4.260406477556788,no,16.32217996700274,20578,160628,132213,1232,66535,1,2900,11600,0,1,0,0,0,0,0,6752,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14463,232829,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
