experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,total_fitness_evaluations,best_route
v9-edge-memory-fast,v9,wi29,1,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,35.84389841099983,22753,153079,16759,7895,175326,2,5800,23200,0,2,0,0,0,0,0,9427,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401998,2706396,91394,173276,173276,0,7193,6669,5.939233155334231,1028.6333768092522,6666,100.0,67643660,232641,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast,v9,wi29,2,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,34.637163469999905,21866,155021,22009,7320,170651,3,6965,27858,1,3,0,0,0,0,0,7302,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389151,2706396,89234,169618,169618,0,6750,6669,6.131400807057711,1125.3163461425086,6666,100.0,66158512,235176,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v9-edge-memory-fast,v9,wi29,3,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,35.72563248300003,22493,153868,15871,8624,175485,3,8700,34800,0,3,0,0,0,0,0,7753,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399707,2706396,91889,174510,174510,0,7113,6670,5.97481330534323,1068.4237407598418,6666,100.0,68144664,242569,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast,v9,wi29,4,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28191,27603,588,2.130203238778394,no,33.85343345000001,22769,153289,24762,7104,168114,4,8671,34681,2,4,0,0,0,0,0,9022,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396459,2706396,87650,166051,166051,0,7002,6669,6.060585318250758,1032.529505995146,6666,100.0,64710310,243721,"[0, 1, 5, 9, 10, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v9-edge-memory-fast,v9,wi29,5,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,37.69625643099971,22032,154462,5720,12125,182135,3,8700,34800,0,3,0,0,0,0,0,8716,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427431,2706396,97098,186106,186106,0,8069,6670,6.5785025970407345,1122.8657915381557,6666,100.0,72852640,243532,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast,v9,wi29,6,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,34.34827539600019,23234,152386,16718,8441,174821,3,8700,34800,0,3,0,0,0,0,0,9904,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395328,2706396,91348,173235,173235,0,6962,6670,5.851770362822281,989.0232516523797,6666,100.0,67627014,244720,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast,v9,wi29,7,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,34.45171794299995,22361,154268,17222,7853,174905,3,7687,30747,1,3,0,0,0,0,0,11008,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401041,2706396,91366,173327,173327,0,7160,6669,5.941071341896278,1050.4057244399314,6666,100.0,67664366,241771,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast,v9,wi29,8,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,36.1924504589997,22702,153562,16681,8376,174923,4,11600,46400,0,4,0,0,0,0,0,9791,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406754,2706396,91659,173825,173825,0,7355,6671,5.825055738385336,1008.1101855314253,6666,100.0,67866554,256209,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast,v9,wi29,9,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,37.00564433499994,22824,153093,16878,8189,174913,3,7687,30747,1,3,0,0,0,0,0,10112,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399156,2706396,91367,173442,173442,0,7095,6669,5.963872478996726,1036.644336435235,6666,100.0,67711056,240875,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast,v9,wi29,10,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27750,27603,147,0.5325508096945984,no,34.77188597999975,20842,157080,19872,8219,171889,2,5800,23200,0,2,0,0,0,0,0,6617,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404028,2706396,89847,170907,170907,0,7263,6669,6.182824727251408,1088.9174755861375,6666,100.0,66681846,229831,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
